Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Tuesday 16/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-16,01:00,16,93,0,216,2,0.2
2019-07-16,02:00,16,95,0,211,3,0
2019-07-16,03:00,15,96,0,214,3,0
2019-07-16,04:00,15,96,0,210,3,0
2019-07-16,05:00,14,97,1,203,3,0
2019-07-16,06:00,15,95,21,202,4,0
2019-07-16,07:00,16,92,61,213,5,0.1
2019-07-16,08:00,16,87,110,223,5,0.1
2019-07-16,09:00,17,79,145,231,5,0.1
2019-07-16,10:00,18,72,182,240,6,0.1
2019-07-16,11:00,19,66,219,245,6,0
2019-07-16,12:00,20,62,237,250,7,0
2019-07-16,13:00,20,59,221,251,8,0
2019-07-16,14:00,20,60,224,256,9,0
2019-07-16,15:00,20,58,266,251,9,0
2019-07-16,16:00,19,63,215,256,9,0
2019-07-16,17:00,18,70,144,257,9,0
2019-07-16,18:00,18,72,116,255,9,0
2019-07-16,19:00,17,77,60,257,7,0
2019-07-16,20:00,16,82,26,253,7,0
2019-07-16,21:00,15,87,5,242,6,0
2019-07-16,22:00,15,88,0,225,5,0
2019-07-16,23:00,15,89,0,212,6,0
2019-07-17,00:00,15,90,0,215,6,0
2019-07-17,01:00,15,89,0,210,6,0
2019-07-17,02:00,15,89,0,204,7,0
2019-07-17,03:00,15,88,0,203,7,0.1
2019-07-17,04:00,14,90,0,197,8,0.1
2019-07-17,05:00,14,90,1,191,8,0.2
2019-07-17,06:00,15,89,12,198,9,0.3
2019-07-17,07:00,15,89,28,195,9,0.3
2019-07-17,08:00,15,92,43,195,9,1.1
2019-07-17,09:00,15,92,30,190,10,0.5
2019-07-17,10:00,16,88,78,187,10,0.3
2019-07-17,11:00,16,87,71,179,10,0.3
2019-07-17,12:00,17,84,93,188,13,0.2
2019-07-17,13:00,17,79,121,199,14,0.3
2019-07-17,14:00,17,89,74,228,11,1.1
2019-07-17,15:00,18,86,142,247,10,0.2
2019-07-17,16:00,17,84,143,261,12,0.3
2019-07-17,17:00,17,81,106,269,10,0
2019-07-17,18:00,17,78,133,265,10,0
2019-07-17,19:00,16,77,89,267,10,0
2019-07-17,20:00,15,78,38,269,8,0
2019-07-17,21:00,14,80,6,267,8,0
2019-07-17,22:00,14,83,0,266,7,0
2019-07-17,23:00,14,87,0,267,7,0
2019-07-18,00:00,14,90,0,268,7,0
2019-07-18,01:00,14,88,0,261,8,0.1
2019-07-18,02:00,14,86,0,261,8,0.1
2019-07-18,03:00,13,87,0,261,9,0.1
2019-07-18,04:00,13,85,0,260,8,0.1
2019-07-18,05:00,13,86,1,251,7,0.2
2019-07-18,06:00,14,82,21,251,8,0.1
2019-07-18,07:00,14,80,55,252,9,0.1
2019-07-18,08:00,15,76,95,259,11,0.2
2019-07-18,09:00,15,73,137,266,10,0.2
2019-07-18,10:00,16,70,166,266,11,0.2
2019-07-18,11:00,16,69,180,261,12,0.4
2019-07-18,12:00,16,69,211,262,13,0.4
2019-07-18,13:00,17,70,231,263,13,0.4
2019-07-18,14:00,17,71,226,262,13,0.4
2019-07-18,15:00,17,71,214,262,13,0.2
2019-07-18,16:00,17,71,192,261,12,0.1
2019-07-18,17:00,16,72,167,261,11,0.1
2019-07-18,18:00,16,74,104,258,10,0.1
2019-07-18,19:00,15,76,74,252,10,0
2019-07-18,20:00,15,81,30,242,8,0.1
2019-07-18,21:00,14,85,4,239,8,0.1
2019-07-18,22:00,14,85,0,230,7,0.1
2019-07-18,23:00,14,87,0,224,7,0.1
2019-07-19,00:00,14,89,0,219,6,0.1
2019-07-19,01:00,14,90,0,209,6,0.1
2019-07-19,02:00,14,90,0,187,6,0.1
2019-07-19,03:00,13,91,0,185,7,0
2019-07-19,04:00,13,92,0,178,6,0.3
2019-07-19,05:00,13,92,0,170,6,0.4
2019-07-19,06:00,13,93,5,148,7,1.6
2019-07-19,07:00,13,93,17,134,8,1.7
2019-07-19,08:00,14,91,27,133,9,0.3
2019-07-19,09:00,15,92,69,132,9,0.5
2019-07-19,10:00,16,87,108,152,12,0.2
2019-07-19,11:00,17,84,117,169,13,0
2019-07-19,12:00,19,78,139,189,11,0.2
2019-07-19,13:00,21,65,196,200,14,0.1
2019-07-19,14:00,21,62,254,207,15,0
2019-07-19,15:00,21,66,253,210,15,0
2019-07-19,16:00,20,68,224,220,16,0
2019-07-19,17:00,18,77,184,233,14,0
2019-07-19,18:00,17,81,129,243,13,0
