Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Wednesday 31/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-31,01:00,12,90,0,281,4,0
2019-07-31,02:00,12,94,0,291,4,0
2019-07-31,03:00,11,94,0,312,4,0
2019-07-31,04:00,13,90,0,293,2,0
2019-07-31,05:00,12,93,0,115,1,0
2019-07-31,06:00,13,91,7,158,1,0
2019-07-31,07:00,14,86,27,203,0,0
2019-07-31,08:00,14,81,45,222,1,0
2019-07-31,09:00,15,74,84,301,2,0
2019-07-31,10:00,16,69,151,309,2,0
2019-07-31,11:00,17,65,220,309,3,0
2019-07-31,12:00,18,62,214,305,4,0
2019-07-31,13:00,19,58,256,299,5,0
2019-07-31,14:00,19,61,209,286,7,0
2019-07-31,15:00,18,72,120,270,8,0
2019-07-31,16:00,18,75,66,289,7,0
2019-07-31,17:00,18,72,101,308,6,0
2019-07-31,18:00,17,75,38,322,6,0
2019-07-31,19:00,16,80,18,326,6,0
2019-07-31,20:00,16,81,14,325,5,0
2019-07-31,21:00,15,82,1,325,4,0
2019-07-31,22:00,14,86,0,322,4,0
2019-07-31,23:00,13,88,0,315,5,0
2019-08-01,00:00,13,91,0,331,4,0
2019-08-01,01:00,12,94,0,343,3,0
2019-08-01,02:00,11,97,0,355,3,0
2019-08-01,03:00,10,100,0,9,3,0
2019-08-01,04:00,10,100,0,40,3,0
2019-08-01,05:00,10,99,0,72,3,0
2019-08-01,06:00,11,98,13,80,2,0
2019-08-01,07:00,12,96,52,59,1,0
2019-08-01,08:00,14,88,105,29,2,0
2019-08-01,09:00,15,76,166,30,3,0
2019-08-01,10:00,17,65,203,27,2,0
2019-08-01,11:00,18,59,249,349,2,0
2019-08-01,12:00,19,54,272,319,2,0
2019-08-01,13:00,20,51,284,290,1,0
2019-08-01,14:00,20,48,272,271,2,0
2019-08-01,15:00,20,49,239,277,4,0
2019-08-01,16:00,21,49,227,295,4,0
2019-08-01,17:00,20,51,180,312,4,0
2019-08-01,18:00,20,55,133,340,3,0
2019-08-01,19:00,19,61,78,35,2,0
2019-08-01,20:00,18,69,27,127,1,0
2019-08-01,21:00,16,82,2,52,3,0
2019-08-01,22:00,15,80,0,82,4,0
2019-08-01,23:00,14,84,0,77,5,0
2019-08-02,00:00,14,84,0,77,5,0
2019-08-02,01:00,13,85,0,101,5,0
2019-08-02,02:00,13,86,0,109,5,0
2019-08-02,03:00,13,87,0,98,4,0
2019-08-02,04:00,12,90,0,94,4,0
2019-08-02,05:00,12,92,0,95,4,0
2019-08-02,06:00,13,91,13,112,4,0
2019-08-02,07:00,14,85,47,122,2,0
2019-08-02,08:00,17,79,86,123,2,0
2019-08-02,09:00,18,76,141,145,3,0
2019-08-02,10:00,20,68,202,156,3,0
2019-08-02,11:00,21,59,231,165,5,0
2019-08-02,12:00,21,56,239,175,6,0
2019-08-02,13:00,21,58,161,175,6,0
2019-08-02,14:00,22,56,207,162,6,0
2019-08-02,15:00,22,55,193,161,7,0
2019-08-02,16:00,22,54,147,169,6,0
2019-08-02,17:00,21,58,97,178,5,0
2019-08-02,18:00,21,64,94,189,5,0
2019-08-02,19:00,20,70,53,188,4,0
2019-08-02,20:00,18,76,21,176,5,0
2019-08-02,21:00,17,82,1,158,5,0
2019-08-02,22:00,16,83,0,161,5,0
2019-08-02,23:00,16,84,0,157,5,0
2019-08-03,00:00,15,85,0,163,5,0
2019-08-03,01:00,15,86,0,155,5,0
2019-08-03,02:00,15,86,0,143,4,0
2019-08-03,03:00,15,84,0,139,4,0
2019-08-03,04:00,15,84,0,125,5,0
2019-08-03,05:00,15,85,0,127,5,0
2019-08-03,06:00,15,87,7,127,5,0
2019-08-03,07:00,16,86,41,130,6,0
2019-08-03,08:00,17,78,84,147,8,0
2019-08-03,09:00,17,77,64,144,7,0.2
2019-08-03,10:00,17,78,76,139,6,0.4
2019-08-03,11:00,18,73,144,149,9,0.3
2019-08-03,12:00,18,72,124,143,8,0.1
2019-08-03,13:00,19,68,157,149,9,0.4
2019-08-03,14:00,19,73,155,142,9,0.9
2019-08-03,15:00,18,73,110,139,9,0.3
2019-08-03,16:00,18,73,102,154,9,0
2019-08-03,17:00,18,76,97,136,7,0.1
2019-08-03,18:00,18,80,51,146,6,0.1
