Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Thursday 01/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-01,01:00,13,90,0,331,3,0
2019-08-01,02:00,12,93,0,349,2,0
2019-08-01,03:00,12,94,0,1,2,0
2019-08-01,04:00,12,96,0,20,2,0
2019-08-01,05:00,11,97,0,29,2,0
2019-08-01,06:00,12,97,12,28,2,0
2019-08-01,07:00,13,91,49,21,1,0
2019-08-01,08:00,14,86,97,8,2,0
2019-08-01,09:00,16,75,152,13,3,0
2019-08-01,10:00,17,67,194,6,3,0
2019-08-01,11:00,18,61,217,355,2,0
2019-08-01,12:00,19,56,250,359,1,0
2019-08-01,13:00,19,54,240,251,1,0
2019-08-01,14:00,20,50,263,257,1,0
2019-08-01,15:00,21,47,248,282,2,0
2019-08-01,16:00,21,48,222,286,4,0
2019-08-01,17:00,20,50,166,293,5,0
2019-08-01,18:00,19,54,88,302,4,0
2019-08-01,19:00,19,61,60,319,2,0
2019-08-01,20:00,18,62,26,101,1,0
2019-08-01,21:00,16,74,2,125,2,0
2019-08-01,22:00,16,71,0,139,1,0
2019-08-01,23:00,15,83,0,19,1,0
2019-08-02,00:00,14,88,0,70,1,0
2019-08-02,01:00,15,87,0,106,2,0
2019-08-02,02:00,14,89,0,112,3,0
2019-08-02,03:00,14,91,0,120,3,0
2019-08-02,04:00,14,90,0,123,4,0
2019-08-02,05:00,13,93,0,128,4,0
2019-08-02,06:00,14,93,12,131,4,0
2019-08-02,07:00,15,88,41,133,3,0
2019-08-02,08:00,17,77,96,151,2,0
2019-08-02,09:00,19,70,153,154,3,0
2019-08-02,10:00,20,67,182,160,4,0
2019-08-02,11:00,21,60,222,161,6,0
2019-08-02,12:00,21,55,214,156,6,0
2019-08-02,13:00,22,51,233,155,6,0
2019-08-02,14:00,22,50,202,154,6,0
2019-08-02,15:00,22,50,148,145,5,0
2019-08-02,16:00,22,50,139,148,6,0
2019-08-02,17:00,22,53,104,142,5,0
2019-08-02,18:00,22,56,90,116,3,0
2019-08-02,19:00,21,66,64,133,3,0
2019-08-02,20:00,19,72,27,171,5,0
2019-08-02,21:00,18,77,1,175,5,0
2019-08-02,22:00,17,81,0,162,5,0
2019-08-02,23:00,16,85,0,154,5,0
2019-08-03,00:00,15,87,0,159,5,0
2019-08-03,01:00,15,90,0,150,5,0
2019-08-03,02:00,14,93,0,141,4,0
2019-08-03,03:00,14,94,0,127,4,0
2019-08-03,04:00,14,93,0,125,4,0
2019-08-03,05:00,14,91,0,115,5,0
2019-08-03,06:00,15,89,6,108,6,0
2019-08-03,07:00,16,88,23,106,7,0
2019-08-03,08:00,17,86,46,117,7,0
2019-08-03,09:00,18,80,55,134,9,0
2019-08-03,10:00,18,78,56,146,9,0.1
2019-08-03,11:00,19,75,106,156,9,0.2
2019-08-03,12:00,19,72,178,160,10,0.1
2019-08-03,13:00,19,66,152,159,10,0
2019-08-03,14:00,20,61,194,162,11,0.2
2019-08-03,15:00,19,69,143,162,9,0.3
2019-08-03,16:00,19,73,101,150,8,0.5
2019-08-03,17:00,18,81,60,146,7,0.8
2019-08-03,18:00,18,84,43,144,7,0.3
2019-08-03,19:00,17,85,37,148,8,0.1
2019-08-03,20:00,16,86,10,146,7,0.2
2019-08-03,21:00,16,88,0,144,6,0.6
2019-08-03,22:00,16,89,0,150,6,0.1
2019-08-03,23:00,16,90,0,164,8,0
2019-08-04,00:00,15,93,0,164,6,0
2019-08-04,01:00,15,94,0,164,5,0
2019-08-04,02:00,15,95,0,168,5,0
2019-08-04,03:00,15,95,0,180,5,0
2019-08-04,04:00,14,96,0,179,5,0
2019-08-04,05:00,14,97,0,169,5,0
2019-08-04,06:00,14,97,12,162,6,0
2019-08-04,07:00,14,93,47,160,6,0
2019-08-04,08:00,16,84,88,172,8,0
2019-08-04,09:00,16,82,104,176,8,0
2019-08-04,10:00,17,78,120,179,8,0
2019-08-04,11:00,18,77,183,161,7,0
2019-08-04,12:00,20,72,232,154,8,0
2019-08-04,13:00,20,69,245,155,8,0
2019-08-04,14:00,20,69,213,154,9,0
2019-08-04,15:00,20,69,174,166,10,0.2
2019-08-04,16:00,19,71,142,154,8,0.4
2019-08-04,17:00,19,76,133,158,12,0.6
2019-08-04,18:00,17,84,28,149,12,1.4
