Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Monday 05/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-05,01:00,13,94,0,199,7,0
2019-08-05,02:00,13,94,0,201,8,0
2019-08-05,03:00,13,94,0,204,9,0
2019-08-05,04:00,13,94,0,209,9,0
2019-08-05,05:00,13,94,0,220,9,0.2
2019-08-05,06:00,14,92,6,223,9,0.2
2019-08-05,07:00,14,90,35,220,11,0.3
2019-08-05,08:00,15,89,79,215,10,0.1
2019-08-05,09:00,16,86,125,218,10,0.1
2019-08-05,10:00,17,84,170,212,10,0.1
2019-08-05,11:00,18,80,212,213,10,0.1
2019-08-05,12:00,18,79,205,217,10,0.1
2019-08-05,13:00,19,76,211,218,11,0.2
2019-08-05,14:00,18,76,162,224,12,1.5
2019-08-05,15:00,17,81,148,225,11,2.3
2019-08-05,16:00,17,80,137,227,12,1.4
2019-08-05,17:00,17,74,138,225,13,0.1
2019-08-05,18:00,16,80,67,223,14,0.3
2019-08-05,19:00,16,83,9,216,11,0.1
2019-08-05,20:00,15,83,12,208,11,0.2
2019-08-05,21:00,15,86,1,200,11,0.8
2019-08-05,22:00,14,90,0,191,10,2.9
2019-08-05,23:00,14,91,0,202,12,2.9
2019-08-06,00:00,14,94,0,209,9,1
2019-08-06,01:00,14,93,0,223,8,0.4
2019-08-06,02:00,13,94,0,222,6,0.6
2019-08-06,03:00,13,96,0,212,6,1.7
2019-08-06,04:00,13,94,0,217,8,0.8
2019-08-06,05:00,13,94,0,230,10,0.4
2019-08-06,06:00,14,93,7,240,10,0.4
2019-08-06,07:00,14,92,34,235,9,0.2
2019-08-06,08:00,15,93,66,228,8,0.1
2019-08-06,09:00,15,93,83,231,7,0.2
2019-08-06,10:00,16,91,102,237,8,0.6
2019-08-06,11:00,16,88,149,244,9,1.6
2019-08-06,12:00,16,83,184,260,12,1.6
2019-08-06,13:00,16,85,158,256,10,1.2
2019-08-06,14:00,17,82,166,254,11,0.2
2019-08-06,15:00,17,80,181,258,11,0.2
2019-08-06,16:00,16,84,144,258,13,2.1
2019-08-06,17:00,16,86,110,261,12,1.2
2019-08-06,18:00,15,90,47,249,10,0.4
2019-08-06,19:00,15,92,25,260,12,0.6
2019-08-06,20:00,15,90,14,268,10,0.2
2019-08-06,21:00,14,90,0,275,9,0.1
2019-08-06,22:00,14,90,0,278,10,0.1
2019-08-06,23:00,14,91,0,273,9,0.1
2019-08-07,00:00,14,90,0,259,7,0
2019-08-07,01:00,13,92,0,237,6,0
2019-08-07,02:00,13,92,0,232,7,0
2019-08-07,03:00,14,94,0,247,8,0.2
2019-08-07,04:00,14,94,0,252,9,0.6
2019-08-07,05:00,14,94,0,261,8,0.5
2019-08-07,06:00,14,93,7,268,7,0.2
2019-08-07,07:00,14,92,42,277,7,0.1
2019-08-07,08:00,15,87,86,273,7,0.1
2019-08-07,09:00,16,89,127,260,7,0.2
2019-08-07,10:00,16,87,155,257,9,0.1
2019-08-07,11:00,16,84,177,257,11,0.6
2019-08-07,12:00,17,80,205,262,11,0.4
2019-08-07,13:00,17,77,217,262,11,0.4
2019-08-07,14:00,17,76,183,262,12,0.1
2019-08-07,15:00,17,75,183,264,13,0.1
2019-08-07,16:00,17,75,188,264,13,0.2
2019-08-07,17:00,16,77,138,265,12,0.1
2019-08-07,18:00,16,77,95,260,10,0.1
2019-08-07,19:00,16,81,53,257,9,0.1
2019-08-07,20:00,15,84,14,253,7,0.1
2019-08-07,21:00,15,87,0,243,6,0.1
2019-08-07,22:00,14,90,0,225,5,0
2019-08-07,23:00,14,93,0,210,5,0
2019-08-08,00:00,13,95,0,202,4,0
2019-08-08,01:00,13,96,0,203,4,0
2019-08-08,02:00,12,97,0,208,4,0
2019-08-08,03:00,12,97,0,208,4,0
2019-08-08,04:00,12,97,0,200,3,0
2019-08-08,05:00,12,98,0,181,3,0
2019-08-08,06:00,12,98,8,179,3,0
2019-08-08,07:00,14,94,40,198,2,0
2019-08-08,08:00,15,85,89,191,1,0
2019-08-08,09:00,16,76,141,99,1,0
2019-08-08,10:00,18,68,186,73,2,0
2019-08-08,11:00,19,61,211,77,2,0
2019-08-08,12:00,20,57,223,108,2,0
2019-08-08,13:00,20,57,201,129,4,0
2019-08-08,14:00,20,58,188,117,4,0
2019-08-08,15:00,20,56,213,108,5,0
2019-08-08,16:00,20,54,144,100,4,0
2019-08-08,17:00,20,58,87,106,5,0
2019-08-08,18:00,20,62,75,109,5,0
