Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Saturday 21/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-21,01:00,14,67,0,126,13,0
2019-09-21,02:00,14,68,0,126,14,0
2019-09-21,03:00,15,68,0,125,14,0
2019-09-21,04:00,15,68,0,124,13,0
2019-09-21,05:00,15,68,0,122,14,0
2019-09-21,06:00,15,68,0,122,14,0
2019-09-21,07:00,15,68,5,122,14,0
2019-09-21,08:00,16,67,43,126,13,0
2019-09-21,09:00,17,68,95,118,11,0
2019-09-21,10:00,19,65,141,126,13,0
2019-09-21,11:00,19,66,139,129,13,0
2019-09-21,12:00,20,67,158,133,13,0
2019-09-21,13:00,20,68,154,147,15,0
2019-09-21,14:00,20,69,99,147,14,0
2019-09-21,15:00,19,72,84,140,13,0
2019-09-21,16:00,19,77,54,131,11,0.2
2019-09-21,17:00,18,83,24,128,11,0.4
2019-09-21,18:00,17,85,10,128,11,0.2
2019-09-21,19:00,17,86,2,125,11,1.2
2019-09-21,20:00,16,89,0,125,10,0.3
2019-09-21,21:00,16,89,0,132,10,0.4
2019-09-21,22:00,16,92,0,138,9,0.6
2019-09-21,23:00,16,93,0,137,7,4.7
2019-09-22,00:00,16,94,0,138,6,2.5
2019-09-22,01:00,15,94,0,142,4,1.4
2019-09-22,02:00,15,96,0,144,3,0.9
2019-09-22,03:00,15,97,0,167,2,0.4
2019-09-22,04:00,15,97,0,208,4,0
2019-09-22,05:00,14,97,0,239,4,0.1
2019-09-22,06:00,14,97,0,226,5,0
2019-09-22,07:00,14,96,2,223,5,0
2019-09-22,08:00,14,96,16,232,6,0
2019-09-22,09:00,15,92,44,254,6,0.1
2019-09-22,10:00,16,90,107,278,5,0.2
2019-09-22,11:00,16,87,148,267,5,0.1
2019-09-22,12:00,17,83,151,269,6,0.1
2019-09-22,13:00,16,80,159,268,8,0.4
2019-09-22,14:00,16,75,149,266,10,0.1
2019-09-22,15:00,16,72,140,268,10,0
2019-09-22,16:00,15,71,129,269,10,0
2019-09-22,17:00,15,73,85,265,8,0
2019-09-22,18:00,14,78,38,259,5,0
2019-09-22,19:00,13,84,3,245,5,0
2019-09-22,20:00,12,87,0,225,4,0
2019-09-22,21:00,12,88,0,184,4,0
2019-09-22,22:00,11,92,0,177,5,0
2019-09-22,23:00,11,92,0,177,5,0
2019-09-23,00:00,11,93,0,164,5,0
2019-09-23,01:00,10,93,0,154,5,0
2019-09-23,02:00,10,93,0,151,6,0
2019-09-23,03:00,10,92,0,147,7,0
2019-09-23,04:00,10,92,0,145,8,0
2019-09-23,05:00,11,90,0,143,8,0
2019-09-23,06:00,12,87,0,139,9,0
2019-09-23,07:00,12,86,2,133,10,0.1
2019-09-23,08:00,13,85,16,129,11,0.4
2019-09-23,09:00,13,87,15,131,12,0.6
2019-09-23,10:00,14,90,25,131,13,0.6
2019-09-23,11:00,14,89,32,136,13,0.6
2019-09-23,12:00,15,87,49,141,15,0.5
2019-09-23,13:00,16,86,127,140,13,0.3
2019-09-23,14:00,17,87,103,152,14,0.9
2019-09-23,15:00,18,84,97,162,12,0.1
2019-09-23,16:00,17,88,71,186,10,0.4
2019-09-23,17:00,16,91,22,217,11,0.7
2019-09-23,18:00,16,94,13,216,8,0.3
2019-09-23,19:00,15,92,1,198,6,0
2019-09-23,20:00,15,93,0,174,6,0
2019-09-23,21:00,15,93,0,172,8,0.2
2019-09-23,22:00,15,93,0,181,9,0.3
2019-09-23,23:00,15,95,0,190,8,0.1
2019-09-24,00:00,14,95,0,187,7,0
2019-09-24,01:00,14,93,0,188,7,0
2019-09-24,02:00,14,94,0,189,6,0
2019-09-24,03:00,13,93,0,211,7,0.1
2019-09-24,04:00,13,93,0,210,7,0
2019-09-24,05:00,13,93,0,214,7,0
2019-09-24,06:00,13,94,0,219,7,0
2019-09-24,07:00,13,93,2,222,8,0.1
2019-09-24,08:00,13,92,26,220,9,0
2019-09-24,09:00,14,90,54,222,8,0.1
2019-09-24,10:00,14,89,68,224,9,0.1
2019-09-24,11:00,14,86,106,227,9,0.1
2019-09-24,12:00,14,85,85,233,12,0.6
2019-09-24,13:00,13,89,52,229,11,0.7
2019-09-24,14:00,12,91,38,229,12,0.7
2019-09-24,15:00,13,90,49,226,11,0.4
2019-09-24,16:00,12,91,32,228,12,0.8
2019-09-24,17:00,12,91,15,226,11,0.8
2019-09-24,18:00,12,91,8,222,11,0.6
