Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Sunday 29/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-29,01:00,12,90,0,20,10,0.9
2019-09-29,02:00,12,94,0,8,9,0.4
2019-09-29,03:00,12,95,0,354,8,0.1
2019-09-29,04:00,12,95,0,344,7,0
2019-09-29,05:00,11,96,0,330,7,0
2019-09-29,06:00,11,97,0,321,7,0
2019-09-29,07:00,12,96,1,312,7,0
2019-09-29,08:00,12,94,21,310,8,0
2019-09-29,09:00,13,90,50,327,10,0.1
2019-09-29,10:00,14,85,66,331,9,0
2019-09-29,11:00,15,76,130,326,8,0
2019-09-29,12:00,16,74,158,322,9,0.1
2019-09-29,13:00,15,81,140,318,8,0.3
2019-09-29,14:00,15,79,125,310,7,0.1
2019-09-29,15:00,15,74,104,306,7,0
2019-09-29,16:00,15,71,94,304,7,0
2019-09-29,17:00,15,74,65,291,5,0.1
2019-09-29,18:00,14,80,21,284,5,0
2019-09-29,19:00,12,87,0,288,5,0
2019-09-29,20:00,11,92,0,288,4,0
2019-09-29,21:00,11,94,0,278,3,0
2019-09-29,22:00,9,97,0,280,4,0
2019-09-29,23:00,11,96,0,280,2,0
2019-09-30,00:00,10,98,0,173,1,0
2019-09-30,01:00,9,100,0,137,2,0
2019-09-30,02:00,9,100,0,136,2,0
2019-09-30,03:00,9,99,0,117,2,0
2019-09-30,04:00,9,98,0,116,4,0
2019-09-30,05:00,9,99,0,115,5,0
2019-09-30,06:00,9,99,0,109,6,0
2019-09-30,07:00,10,98,1,103,6,0
2019-09-30,08:00,10,95,5,95,8,0
2019-09-30,09:00,11,92,18,103,8,0
2019-09-30,10:00,12,88,24,95,8,0.2
2019-09-30,11:00,12,91,41,94,8,0.9
2019-09-30,12:00,11,90,33,85,10,0.8
2019-09-30,13:00,11,90,31,79,11,0.7
2019-09-30,14:00,12,91,39,76,12,1.6
2019-09-30,15:00,12,92,37,74,12,2.4
2019-09-30,16:00,12,92,20,73,11,1.4
2019-09-30,17:00,12,92,11,73,10,1.3
2019-09-30,18:00,12,93,3,74,9,1.8
2019-09-30,19:00,12,93,0,78,9,1
2019-09-30,20:00,12,93,0,81,8,0.3
2019-09-30,21:00,12,93,0,80,7,0.1
2019-09-30,22:00,12,93,0,78,7,0.1
2019-09-30,23:00,12,94,0,81,7,0.1
2019-10-01,00:00,12,94,0,71,7,0.3
2019-10-01,01:00,12,95,0,56,7,0.1
2019-10-01,02:00,12,95,0,46,7,0.1
2019-10-01,03:00,12,92,0,43,10,0
2019-10-01,04:00,11,90,0,40,11,0.1
2019-10-01,05:00,11,89,0,37,11,0.2
2019-10-01,06:00,10,90,0,34,10,0.4
2019-10-01,07:00,10,92,0,33,9,0.4
2019-10-01,08:00,10,90,12,23,9,0.2
2019-10-01,09:00,10,89,40,16,9,0
2019-10-01,10:00,11,81,105,25,12,0
2019-10-01,11:00,12,73,130,25,13,0
2019-10-01,12:00,12,69,136,20,12,0
2019-10-01,13:00,13,58,153,21,12,0
2019-10-01,14:00,13,54,130,18,12,0
2019-10-01,15:00,13,52,92,16,11,0
2019-10-01,16:00,13,51,83,10,10,0
2019-10-01,17:00,12,57,55,5,8,0
2019-10-01,18:00,11,62,19,359,6,0
2019-10-01,19:00,10,66,0,0,6,0
2019-10-01,20:00,9,67,0,7,7,0
2019-10-01,21:00,9,67,0,17,5,0
2019-10-01,22:00,7,75,0,10,4,0
2019-10-01,23:00,7,79,0,347,3,0
2019-10-02,00:00,6,85,0,346,3,0
2019-10-02,01:00,6,84,0,17,3,0
2019-10-02,02:00,5,86,0,25,4,0
2019-10-02,03:00,6,79,0,320,3,0
2019-10-02,04:00,6,85,0,303,2,0
2019-10-02,05:00,7,85,0,330,1,0
2019-10-02,06:00,6,88,0,74,2,0
2019-10-02,07:00,6,92,1,99,2,0
2019-10-02,08:00,8,84,21,193,1,0
2019-10-02,09:00,9,80,51,17,0,0
2019-10-02,10:00,10,76,75,29,1,0
2019-10-02,11:00,11,69,110,19,1,0
2019-10-02,12:00,12,61,140,2,1,0
2019-10-02,13:00,12,57,134,68,1,0
2019-10-02,14:00,12,55,130,125,1,0
2019-10-02,15:00,12,56,96,141,1,0
2019-10-02,16:00,12,57,60,135,1,0
2019-10-02,17:00,12,65,26,120,2,0
2019-10-02,18:00,11,72,7,119,3,0
