Location Athenry 53.28N 8.78W 
Nearest Gridpoint used 53.251N  8.789W 
Based on ECMWF analysis of  00Z on Friday 01/11/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-11-01,01:00,12,95,0,106,6,1.4
2019-11-01,02:00,12,96,0,165,6,0.5
2019-11-01,03:00,13,96,0,198,7,0.3
2019-11-01,04:00,12,97,0,200,6,0.3
2019-11-01,05:00,12,97,0,214,7,0.2
2019-11-01,06:00,12,98,0,231,7,0.1
2019-11-01,07:00,12,99,0,248,7,0
2019-11-01,08:00,12,99,1,255,7,0
2019-11-01,09:00,12,97,13,244,7,0
2019-11-01,10:00,12,93,37,234,7,0
2019-11-01,11:00,13,89,55,214,6,0
2019-11-01,12:00,13,85,73,193,6,0
2019-11-01,13:00,14,86,46,167,6,0
2019-11-01,14:00,14,86,48,152,7,0.3
2019-11-01,15:00,13,92,18,134,8,0.9
2019-11-01,16:00,13,93,10,136,9,2
2019-11-01,17:00,13,92,2,185,9,0.5
2019-11-01,18:00,13,94,0,198,9,0.3
2019-11-01,19:00,12,94,0,213,14,0.9
2019-11-01,20:00,11,90,0,216,12,0.5
2019-11-01,21:00,10,90,0,203,12,0
2019-11-01,22:00,10,90,0,193,11,0
2019-11-01,23:00,9,88,0,183,10,0
2019-11-02,00:00,8,89,0,166,8,0
2019-11-02,01:00,7,93,0,115,4,0
2019-11-02,02:00,6,95,0,96,3,0
2019-11-02,03:00,6,97,0,30,3,0
2019-11-02,04:00,6,97,0,247,1,0
2019-11-02,05:00,7,96,0,236,4,0.9
2019-11-02,06:00,9,94,0,277,9,2.4
2019-11-02,07:00,10,92,0,291,12,1.8
2019-11-02,08:00,10,92,0,284,10,1.1
2019-11-02,09:00,10,92,2,283,11,0.7
2019-11-02,10:00,10,92,10,278,11,0.8
2019-11-02,11:00,10,91,16,274,11,1.1
2019-11-02,12:00,10,92,17,273,11,1.1
2019-11-02,13:00,10,92,20,275,12,1.3
2019-11-02,14:00,10,93,23,274,15,1.5
2019-11-02,15:00,10,93,17,275,16,1.1
2019-11-02,16:00,10,93,7,272,16,1
2019-11-02,17:00,10,92,2,269,15,0.7
2019-11-02,18:00,10,90,0,268,13,0.4
2019-11-02,19:00,10,91,0,266,12,0.2
2019-11-02,20:00,10,92,0,262,10,0.1
2019-11-02,21:00,10,92,0,269,9,0.1
2019-11-02,22:00,10,94,0,278,8,0.1
2019-11-02,23:00,10,94,0,285,9,0
2019-11-03,00:00,10,94,0,303,8,0.2
2019-11-03,01:00,10,95,0,323,7,0
2019-11-03,02:00,9,96,0,329,6,0
2019-11-03,03:00,8,97,0,311,4,0
2019-11-03,04:00,8,98,0,281,4,0
2019-11-03,05:00,8,98,0,272,4,0
2019-11-03,06:00,9,97,0,266,5,0
2019-11-03,07:00,10,94,0,278,9,0.3
2019-11-03,08:00,10,94,1,275,10,0.2
2019-11-03,09:00,10,94,6,271,10,0.1
2019-11-03,10:00,10,92,11,273,11,0.1
2019-11-03,11:00,10,89,30,275,12,0.1
2019-11-03,12:00,10,88,52,273,12,0.2
2019-11-03,13:00,10,85,77,269,12,0.1
2019-11-03,14:00,10,83,61,262,11,0.2
2019-11-03,15:00,10,80,36,257,8,0
2019-11-03,16:00,9,79,38,239,4,0
2019-11-03,17:00,6,90,12,175,4,0
2019-11-03,18:00,7,89,0,143,4,0
2019-11-03,19:00,7,87,0,133,4,0
2019-11-03,20:00,7,88,0,114,4,0.2
2019-11-03,21:00,7,90,0,106,4,0.6
2019-11-03,22:00,7,93,0,102,3,1.2
2019-11-03,23:00,7,93,0,121,3,1.3
2019-11-04,00:00,7,93,0,126,2,0.9
2019-11-04,01:00,7,91,0,48,1,0.5
2019-11-04,02:00,7,94,0,6,2,0.5
2019-11-04,03:00,6,95,0,331,3,0.1
2019-11-04,04:00,6,95,0,304,4,0
2019-11-04,05:00,7,95,0,310,5,0
2019-11-04,06:00,7,95,0,323,6,0.1
2019-11-04,07:00,7,94,0,341,6,0.3
2019-11-04,08:00,7,95,0,348,6,0.4
2019-11-04,09:00,8,93,6,0,7,0
2019-11-04,10:00,8,92,26,358,9,0
2019-11-04,11:00,9,90,39,8,9,0.3
2019-11-04,12:00,10,84,61,13,11,0.4
2019-11-04,13:00,10,88,44,359,9,0
2019-11-04,14:00,10,85,29,15,11,0.1
2019-11-04,15:00,10,83,23,12,10,0
2019-11-04,16:00,10,82,28,16,11,0.1
2019-11-04,17:00,10,82,8,4,9,0
2019-11-04,18:00,9,83,0,3,10,0
