Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Saturday 29/06/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-06-29,01:00,15,96,0,207,4,0
2019-06-29,02:00,14,95,0,210,4,0
2019-06-29,03:00,14,94,0,210,4,0
2019-06-29,04:00,14,94,0,189,4,0
2019-06-29,05:00,14,96,4,174,5,0
2019-06-29,06:00,15,88,20,188,7,0
2019-06-29,07:00,15,85,45,188,7,0
2019-06-29,08:00,16,82,67,173,6,0
2019-06-29,09:00,16,78,113,175,6,0
2019-06-29,10:00,18,70,173,183,7,0
2019-06-29,11:00,19,63,212,182,7,0
2019-06-29,12:00,20,58,237,181,8,0
2019-06-29,13:00,20,58,171,184,8,0
2019-06-29,14:00,19,66,193,202,9,0.3
2019-06-29,15:00,19,65,218,204,9,0.1
2019-06-29,16:00,19,68,158,213,10,0
2019-06-29,17:00,18,73,116,217,10,0.1
2019-06-29,18:00,17,73,109,215,12,0.1
2019-06-29,19:00,16,82,70,215,11,0.3
2019-06-29,20:00,15,87,24,214,11,0.1
2019-06-29,21:00,15,88,7,212,10,0
2019-06-29,22:00,14,90,0,210,10,0
2019-06-29,23:00,14,92,0,214,11,0.1
2019-06-30,00:00,14,92,0,218,11,0.2
2019-06-30,01:00,14,91,0,223,10,0.1
2019-06-30,02:00,14,92,0,224,9,0.1
2019-06-30,03:00,14,92,0,228,9,0.1
2019-06-30,04:00,14,91,0,232,9,0.1
2019-06-30,05:00,13,91,3,227,9,0
2019-06-30,06:00,14,91,13,228,9,0.1
2019-06-30,07:00,14,88,35,230,11,0.1
2019-06-30,08:00,14,88,42,237,11,0.3
2019-06-30,09:00,15,83,102,248,10,0.2
2019-06-30,10:00,15,81,100,251,10,0.1
2019-06-30,11:00,15,80,84,246,10,0.1
2019-06-30,12:00,15,76,110,250,11,0.2
2019-06-30,13:00,16,73,178,254,11,0.3
2019-06-30,14:00,17,67,258,251,12,0.1
2019-06-30,15:00,17,64,242,255,12,0
2019-06-30,16:00,16,59,196,257,12,0
2019-06-30,17:00,15,62,129,264,13,0
2019-06-30,18:00,14,69,77,267,10,0.1
2019-06-30,19:00,14,73,54,266,11,0
2019-06-30,20:00,13,77,26,258,8,0
2019-06-30,21:00,13,78,7,264,8,0
2019-06-30,22:00,12,84,0,258,8,0
2019-06-30,23:00,12,87,0,257,8,0
2019-07-01,00:00,12,88,0,258,8,0
2019-07-01,01:00,12,88,0,264,9,0
2019-07-01,02:00,12,87,0,270,10,0
2019-07-01,03:00,12,85,0,273,10,0
2019-07-01,04:00,12,86,0,276,10,0
2019-07-01,05:00,12,87,2,287,10,0
2019-07-01,06:00,13,86,13,292,9,0
2019-07-01,07:00,13,77,66,300,12,0
2019-07-01,08:00,14,72,96,311,12,0
2019-07-01,09:00,15,66,138,313,12,0
2019-07-01,10:00,15,62,144,313,10,0
2019-07-01,11:00,16,60,192,312,9,0
2019-07-01,12:00,16,59,185,317,9,0
2019-07-01,13:00,17,58,215,321,8,0
2019-07-01,14:00,16,60,177,325,8,0
2019-07-01,15:00,17,58,200,325,8,0
2019-07-01,16:00,17,57,212,324,8,0
2019-07-01,17:00,16,59,162,323,8,0
2019-07-01,18:00,16,61,117,319,7,0
2019-07-01,19:00,15,65,80,312,7,0
2019-07-01,20:00,14,72,43,302,5,0
2019-07-01,21:00,12,80,12,302,5,0
2019-07-01,22:00,11,83,0,302,5,0
2019-07-01,23:00,11,87,0,309,5,0
2019-07-02,00:00,10,90,0,310,5,0
2019-07-02,01:00,10,93,0,304,5,0
2019-07-02,02:00,10,95,0,296,5,0
2019-07-02,03:00,10,96,0,303,4,0
2019-07-02,04:00,11,97,0,312,4,0
2019-07-02,05:00,10,97,4,319,4,0
2019-07-02,06:00,11,92,33,310,3,0
2019-07-02,07:00,12,81,79,307,4,0
2019-07-02,08:00,13,73,128,316,5,0
2019-07-02,09:00,14,67,147,322,6,0
2019-07-02,10:00,15,62,150,322,6,0
2019-07-02,11:00,15,60,178,328,6,0
2019-07-02,12:00,15,59,177,331,6,0
2019-07-02,13:00,16,59,197,332,6,0
2019-07-02,14:00,16,59,196,336,6,0
2019-07-02,15:00,16,58,186,342,7,0
2019-07-02,16:00,16,58,179,349,8,0
2019-07-02,17:00,15,58,159,356,8,0
2019-07-02,18:00,15,56,139,354,8,0
