Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Tuesday 02/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-02,01:00,11,96,0,302,5,0
2019-07-02,02:00,10,97,0,301,5,0
2019-07-02,03:00,10,98,0,303,4,0
2019-07-02,04:00,10,98,0,313,4,0
2019-07-02,05:00,10,98,4,318,4,0
2019-07-02,06:00,11,95,32,315,3,0
2019-07-02,07:00,12,86,74,326,5,0
2019-07-02,08:00,13,77,110,324,5,0
2019-07-02,09:00,14,70,141,327,5,0
2019-07-02,10:00,15,66,152,335,6,0.1
2019-07-02,11:00,15,66,137,343,6,0.1
2019-07-02,12:00,15,64,142,345,6,0.1
2019-07-02,13:00,16,64,178,342,6,0.2
2019-07-02,14:00,16,63,153,351,6,0.1
2019-07-02,15:00,16,62,156,353,6,0
2019-07-02,16:00,16,63,155,350,7,0
2019-07-02,17:00,16,63,117,349,7,0
2019-07-02,18:00,15,64,82,350,7,0
2019-07-02,19:00,15,66,65,354,8,0
2019-07-02,20:00,14,72,46,2,7,0
2019-07-02,21:00,12,79,12,8,7,0
2019-07-02,22:00,11,86,0,6,6,0
2019-07-02,23:00,10,89,0,5,6,0
2019-07-03,00:00,10,91,0,9,5,0
2019-07-03,01:00,9,92,0,15,5,0
2019-07-03,02:00,9,93,0,22,5,0
2019-07-03,03:00,9,94,0,30,4,0
2019-07-03,04:00,8,94,0,34,4,0
2019-07-03,05:00,9,94,5,32,4,0
2019-07-03,06:00,10,90,35,33,4,0
2019-07-03,07:00,12,84,82,38,4,0
2019-07-03,08:00,13,76,134,48,4,0
2019-07-03,09:00,14,68,176,48,3,0
2019-07-03,10:00,15,66,189,50,2,0
2019-07-03,11:00,16,64,204,59,2,0
2019-07-03,12:00,17,62,245,42,1,0
2019-07-03,13:00,17,60,261,5,1,0
2019-07-03,14:00,18,55,273,3,2,0
2019-07-03,15:00,19,52,264,10,3,0
2019-07-03,16:00,19,52,232,22,3,0
2019-07-03,17:00,19,52,206,30,2,0
2019-07-03,18:00,19,53,155,346,2,0
2019-07-03,19:00,18,62,100,346,4,0
2019-07-03,20:00,16,75,48,0,5,0
2019-07-03,21:00,14,81,11,8,6,0
2019-07-03,22:00,13,86,0,3,5,0
2019-07-03,23:00,12,90,0,357,5,0
2019-07-04,00:00,11,94,0,7,5,0
2019-07-04,01:00,11,95,0,16,4,0
2019-07-04,02:00,10,96,0,12,2,0
2019-07-04,03:00,10,98,0,17,2,0
2019-07-04,04:00,10,99,0,319,3,0
2019-07-04,05:00,10,99,3,323,4,0
2019-07-04,06:00,11,97,25,310,4,0
2019-07-04,07:00,12,89,56,306,4,0
2019-07-04,08:00,14,82,107,306,4,0
2019-07-04,09:00,15,74,159,300,5,0
2019-07-04,10:00,16,69,196,287,5,0
2019-07-04,11:00,16,66,230,280,5,0
2019-07-04,12:00,18,62,287,284,5,0
2019-07-04,13:00,18,60,295,297,6,0
2019-07-04,14:00,18,60,263,303,7,0
2019-07-04,15:00,17,62,227,303,8,0
2019-07-04,16:00,17,61,192,298,7,0
2019-07-04,17:00,17,65,180,298,7,0
2019-07-04,18:00,16,68,147,298,8,0
2019-07-04,19:00,15,72,93,296,7,0
2019-07-04,20:00,14,77,48,294,6,0
2019-07-04,21:00,13,84,12,285,6,0
2019-07-04,22:00,12,88,0,270,5,0
2019-07-04,23:00,12,89,0,248,4,0
2019-07-05,00:00,12,91,0,249,4,0
2019-07-05,01:00,11,93,0,238,4,0
2019-07-05,02:00,12,94,0,241,5,0
2019-07-05,03:00,12,96,0,247,5,0
2019-07-05,04:00,12,95,0,246,5,0
2019-07-05,05:00,13,94,2,243,5,0
2019-07-05,06:00,14,92,9,247,6,0.1
2019-07-05,07:00,14,90,17,268,7,0.1
2019-07-05,08:00,15,87,39,286,8,0.1
2019-07-05,09:00,16,85,59,288,9,0.4
2019-07-05,10:00,16,84,109,292,10,0.2
2019-07-05,11:00,17,80,135,293,11,0.1
2019-07-05,12:00,17,77,138,296,10,0
2019-07-05,13:00,18,74,161,296,10,0.1
2019-07-05,14:00,17,75,147,299,10,0.1
2019-07-05,15:00,17,75,134,302,9,0.1
2019-07-05,16:00,17,74,149,309,9,0
2019-07-05,17:00,17,74,112,311,9,0
2019-07-05,18:00,16,80,92,335,8,0.2
