Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Wednesday 14/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-14,01:00,14,95,0,143,5,0.1
2019-08-14,02:00,14,96,0,135,5,0.1
2019-08-14,03:00,14,97,0,119,5,0.1
2019-08-14,04:00,14,97,0,111,5,0
2019-08-14,05:00,14,97,0,104,5,0.5
2019-08-14,06:00,14,96,2,104,4,0.6
2019-08-14,07:00,14,96,13,109,3,0.5
2019-08-14,08:00,15,92,25,126,3,0.1
2019-08-14,09:00,16,89,71,179,2,0
2019-08-14,10:00,17,84,112,231,3,0
2019-08-14,11:00,18,78,123,246,5,0.1
2019-08-14,12:00,19,77,134,237,7,0.3
2019-08-14,13:00,18,86,143,262,11,2.1
2019-08-14,14:00,18,82,170,273,11,0.8
2019-08-14,15:00,18,75,217,268,13,0.2
2019-08-14,16:00,18,74,176,261,11,0.1
2019-08-14,17:00,18,72,139,264,13,0.3
2019-08-14,18:00,17,82,75,261,13,0.4
2019-08-14,19:00,16,84,42,264,12,0.1
2019-08-14,20:00,15,86,12,265,12,0.1
2019-08-14,21:00,15,86,0,270,13,0
2019-08-14,22:00,14,88,0,274,12,0
2019-08-14,23:00,14,86,0,276,11,0
2019-08-15,00:00,14,89,0,275,11,0
2019-08-15,01:00,13,91,0,284,11,0
2019-08-15,02:00,13,91,0,290,10,0
2019-08-15,03:00,13,92,0,290,9,0
2019-08-15,04:00,13,93,0,289,8,0
2019-08-15,05:00,12,94,0,285,7,0
2019-08-15,06:00,12,94,5,280,6,0
2019-08-15,07:00,13,90,37,273,6,0
2019-08-15,08:00,14,80,82,270,7,0
2019-08-15,09:00,16,71,122,260,7,0
2019-08-15,10:00,17,70,148,251,7,0
2019-08-15,11:00,17,73,117,237,8,0.1
2019-08-15,12:00,18,72,137,235,9,0.2
2019-08-15,13:00,18,74,157,234,8,0.1
2019-08-15,14:00,18,74,182,233,9,0.1
2019-08-15,15:00,18,75,126,231,11,0.2
2019-08-15,16:00,18,78,139,228,12,0.2
2019-08-15,17:00,17,80,109,224,12,0.1
2019-08-15,18:00,17,81,74,217,11,0
2019-08-15,19:00,16,85,31,213,10,0
2019-08-15,20:00,15,88,5,210,10,0
2019-08-15,21:00,15,89,0,199,9,0.3
2019-08-15,22:00,15,93,0,199,11,0.8
2019-08-15,23:00,15,95,0,198,11,0.7
2019-08-16,00:00,15,95,0,188,11,0.6
2019-08-16,01:00,15,95,0,185,11,0.4
2019-08-16,02:00,15,94,0,179,12,0.4
2019-08-16,03:00,15,94,0,168,12,0.6
2019-08-16,04:00,14,94,0,157,11,1.1
2019-08-16,05:00,14,93,0,164,12,2.3
2019-08-16,06:00,15,94,1,186,12,2.5
2019-08-16,07:00,16,96,5,204,12,1.6
2019-08-16,08:00,17,93,22,228,12,0.2
2019-08-16,09:00,16,86,53,232,12,0.1
2019-08-16,10:00,17,77,152,228,14,0
2019-08-16,11:00,17,72,177,231,16,0.1
2019-08-16,12:00,18,68,211,229,17,0.3
2019-08-16,13:00,18,71,212,225,15,0.2
2019-08-16,14:00,18,69,203,224,15,0.1
2019-08-16,15:00,17,71,176,224,15,0.1
2019-08-16,16:00,17,72,149,227,15,0.2
2019-08-16,17:00,17,76,113,225,13,0.2
2019-08-16,18:00,16,80,71,227,12,0.2
2019-08-16,19:00,15,84,43,223,11,0.2
2019-08-16,20:00,14,87,10,216,9,0.1
2019-08-16,21:00,14,88,0,212,9,0
2019-08-16,22:00,14,88,0,212,10,0
2019-08-16,23:00,14,87,0,207,10,0
2019-08-17,00:00,14,89,0,209,10,0.1
2019-08-17,01:00,14,88,0,206,11,0.1
2019-08-17,02:00,14,88,0,211,11,0.1
2019-08-17,03:00,14,89,0,216,10,0.2
2019-08-17,04:00,14,92,0,227,9,0.1
2019-08-17,05:00,13,90,0,248,9,0.3
2019-08-17,06:00,13,92,2,270,12,1
2019-08-17,07:00,13,88,18,259,11,0.2
2019-08-17,08:00,14,82,72,250,10,0
2019-08-17,09:00,14,70,134,248,14,0.1
2019-08-17,10:00,15,66,150,243,13,0
2019-08-17,11:00,15,71,181,242,15,0.1
2019-08-17,12:00,15,66,204,244,15,0.2
2019-08-17,13:00,15,62,219,245,18,0
2019-08-17,14:00,14,67,205,242,17,0.3
2019-08-17,15:00,15,69,193,230,16,0.3
2019-08-17,16:00,15,64,176,238,19,0.3
2019-08-17,17:00,14,70,126,235,18,0.2
2019-08-17,18:00,13,82,65,233,15,0.5
