Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Thursday 15/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-15,01:00,14,88,0,287,12,0
2019-08-15,02:00,13,89,0,289,11,0.1
2019-08-15,03:00,13,91,0,290,10,0.1
2019-08-15,04:00,12,92,0,290,9,0
2019-08-15,05:00,12,93,0,289,8,0
2019-08-15,06:00,12,91,4,283,7,0
2019-08-15,07:00,13,88,35,275,6,0
2019-08-15,08:00,14,80,90,285,8,0
2019-08-15,09:00,15,74,99,277,8,0.1
2019-08-15,10:00,16,69,112,263,8,0.1
2019-08-15,11:00,17,71,130,239,7,0.1
2019-08-15,12:00,18,71,124,221,7,0.2
2019-08-15,13:00,19,69,193,229,9,0.3
2019-08-15,14:00,18,71,160,230,11,0.1
2019-08-15,15:00,18,72,177,222,11,0.2
2019-08-15,16:00,18,73,160,221,12,0.1
2019-08-15,17:00,17,79,104,221,13,0.1
2019-08-15,18:00,17,81,75,215,11,0
2019-08-15,19:00,16,84,33,209,10,0
2019-08-15,20:00,16,88,5,200,10,0
2019-08-15,21:00,16,87,0,197,11,0
2019-08-15,22:00,15,87,0,193,12,0.1
2019-08-15,23:00,16,88,0,190,12,0.2
2019-08-16,00:00,15,89,0,182,11,0.5
2019-08-16,01:00,15,92,0,172,12,1.1
2019-08-16,02:00,15,93,0,167,12,2.7
2019-08-16,03:00,15,92,0,166,15,5.7
2019-08-16,04:00,15,93,0,190,16,1.4
2019-08-16,05:00,16,94,0,201,16,0.5
2019-08-16,06:00,16,94,1,212,13,0.8
2019-08-16,07:00,17,92,10,227,13,0.3
2019-08-16,08:00,17,87,52,221,11,0
2019-08-16,09:00,17,84,140,220,11,0
2019-08-16,10:00,17,82,178,215,12,0
2019-08-16,11:00,18,73,196,216,13,0
2019-08-16,12:00,18,69,165,221,13,0
2019-08-16,13:00,19,62,219,226,15,0
2019-08-16,14:00,18,68,181,226,14,0
2019-08-16,15:00,18,72,160,227,13,0.1
2019-08-16,16:00,17,71,140,224,14,0.2
2019-08-16,17:00,16,77,98,222,14,0.2
2019-08-16,18:00,15,86,72,221,13,0.3
2019-08-16,19:00,15,81,42,220,12,0.1
2019-08-16,20:00,15,83,11,221,13,0.1
2019-08-16,21:00,15,85,0,230,12,0.2
2019-08-16,22:00,14,88,0,248,11,0.3
2019-08-16,23:00,14,87,0,247,10,0
2019-08-17,00:00,13,85,0,243,9,0
2019-08-17,01:00,13,84,0,241,9,0
2019-08-17,02:00,13,81,0,243,10,0
2019-08-17,03:00,12,79,0,238,9,0
2019-08-17,04:00,12,77,0,234,9,0
2019-08-17,05:00,12,75,0,229,10,0
2019-08-17,06:00,12,78,4,230,10,0
2019-08-17,07:00,13,76,29,232,11,0
2019-08-17,08:00,14,75,72,235,13,0
2019-08-17,09:00,14,73,109,237,14,0.1
2019-08-17,10:00,15,73,156,233,15,0
2019-08-17,11:00,16,65,191,234,16,0.1
2019-08-17,12:00,16,60,201,236,16,0.1
2019-08-17,13:00,16,61,202,237,17,0
2019-08-17,14:00,16,63,204,239,17,0.3
2019-08-17,15:00,16,61,182,237,16,0.1
2019-08-17,16:00,16,60,168,237,16,0.1
2019-08-17,17:00,15,62,135,238,15,0
2019-08-17,18:00,15,65,90,234,14,0
2019-08-17,19:00,14,69,47,231,13,0
2019-08-17,20:00,13,72,10,230,12,0
2019-08-17,21:00,13,74,0,228,12,0
2019-08-17,22:00,13,78,0,230,12,0
2019-08-17,23:00,12,83,0,227,11,0.1
2019-08-18,00:00,13,82,0,238,12,0.2
2019-08-18,01:00,12,84,0,236,11,0.2
2019-08-18,02:00,12,83,0,232,11,0
2019-08-18,03:00,12,83,0,238,10,0.1
2019-08-18,04:00,12,84,0,238,10,0.4
2019-08-18,05:00,12,87,0,242,11,0.7
2019-08-18,06:00,13,86,1,241,11,0
2019-08-18,07:00,13,84,26,236,10,0.1
2019-08-18,08:00,13,87,38,239,10,0.5
2019-08-18,09:00,14,89,67,244,9,0.3
2019-08-18,10:00,15,84,139,266,11,1.8
2019-08-18,11:00,14,85,108,268,11,1.3
2019-08-18,12:00,15,86,172,263,11,0.5
2019-08-18,13:00,16,83,163,270,12,0.2
2019-08-18,14:00,15,83,169,272,12,0.9
2019-08-18,15:00,15,79,173,274,14,0.9
2019-08-18,16:00,15,80,135,271,15,0.9
2019-08-18,17:00,14,81,103,274,14,0.5
2019-08-18,18:00,14,81,61,261,10,0.1
