Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Sunday 18/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-18,01:00,13,83,0,229,11,0.1
2019-08-18,02:00,13,82,0,233,11,0
2019-08-18,03:00,13,82,0,238,11,0.1
2019-08-18,04:00,13,84,0,235,10,0
2019-08-18,05:00,13,86,0,234,10,0.2
2019-08-18,06:00,13,87,1,239,10,0.4
2019-08-18,07:00,13,89,14,250,9,0.3
2019-08-18,08:00,13,90,27,262,9,0.2
2019-08-18,09:00,14,89,64,260,7,0.1
2019-08-18,10:00,15,86,146,259,8,0
2019-08-18,11:00,16,82,190,257,8,0.1
2019-08-18,12:00,17,79,183,259,8,0.1
2019-08-18,13:00,17,76,175,269,10,0.1
2019-08-18,14:00,17,66,197,284,13,0.1
2019-08-18,15:00,16,82,169,280,10,0.7
2019-08-18,16:00,15,81,171,295,11,1
2019-08-18,17:00,14,81,112,297,12,0.2
2019-08-18,18:00,14,77,80,296,11,0.1
2019-08-18,19:00,14,74,43,289,10,0
2019-08-18,20:00,13,75,9,285,9,0
2019-08-18,21:00,12,80,0,279,8,0
2019-08-18,22:00,12,83,0,270,8,0
2019-08-18,23:00,12,86,0,258,6,0.1
2019-08-19,00:00,12,87,0,253,6,0.1
2019-08-19,01:00,12,88,0,264,7,0.2
2019-08-19,02:00,12,89,0,271,7,0.1
2019-08-19,03:00,11,94,0,268,7,0.1
2019-08-19,04:00,11,92,0,259,6,0.1
2019-08-19,05:00,11,91,0,251,6,0.1
2019-08-19,06:00,11,91,3,261,8,0.3
2019-08-19,07:00,12,88,24,258,7,0.1
2019-08-19,08:00,13,84,67,273,8,0.2
2019-08-19,09:00,13,84,96,266,7,0.4
2019-08-19,10:00,14,76,130,274,8,0.1
2019-08-19,11:00,14,81,155,278,10,0.1
2019-08-19,12:00,15,80,182,276,10,0.1
2019-08-19,13:00,15,76,198,277,11,0.5
2019-08-19,14:00,15,73,191,278,11,0.3
2019-08-19,15:00,15,79,169,281,12,0.3
2019-08-19,16:00,14,70,129,281,12,0.1
2019-08-19,17:00,14,68,116,283,11,0
2019-08-19,18:00,14,68,87,280,10,0
2019-08-19,19:00,13,71,49,276,8,0
2019-08-19,20:00,12,74,9,272,7,0
2019-08-19,21:00,12,78,0,266,6,0
2019-08-19,22:00,12,81,0,241,5,0
2019-08-19,23:00,11,84,0,219,5,0
2019-08-20,00:00,11,86,0,211,5,0
2019-08-20,01:00,11,86,0,206,5,0
2019-08-20,02:00,11,87,0,198,5,0
2019-08-20,03:00,12,93,0,192,6,0.1
2019-08-20,04:00,12,94,0,177,5,0.1
2019-08-20,05:00,12,92,0,173,6,0.3
2019-08-20,06:00,12,93,2,190,6,0.1
2019-08-20,07:00,13,94,18,190,5,1.1
2019-08-20,08:00,14,94,32,166,5,0.6
2019-08-20,09:00,14,92,45,198,4,0.4
2019-08-20,10:00,15,89,70,230,5,0.2
2019-08-20,11:00,16,88,112,249,8,1.1
2019-08-20,12:00,16,88,112,232,8,1.2
2019-08-20,13:00,16,88,98,225,8,0.2
2019-08-20,14:00,17,84,166,233,10,0.2
2019-08-20,15:00,16,80,149,242,11,0.2
2019-08-20,16:00,17,76,122,245,10,0.2
2019-08-20,17:00,16,79,100,243,9,0.3
2019-08-20,18:00,15,83,64,234,8,0.1
2019-08-20,19:00,15,86,32,228,8,0.3
2019-08-20,20:00,14,91,6,224,7,0.1
2019-08-20,21:00,13,95,0,213,6,0
2019-08-20,22:00,13,96,0,212,7,0
2019-08-20,23:00,13,95,0,209,7,0.1
2019-08-21,00:00,13,95,0,208,8,0.1
2019-08-21,01:00,13,96,0,200,8,0
2019-08-21,02:00,13,94,0,200,9,0.1
2019-08-21,03:00,13,94,0,201,10,0.2
2019-08-21,04:00,13,95,0,198,10,0
2019-08-21,05:00,13,94,0,198,11,0.1
2019-08-21,06:00,14,92,2,194,11,0.1
2019-08-21,07:00,14,90,21,192,13,0
2019-08-21,08:00,14,89,26,193,14,0.1
2019-08-21,09:00,14,88,24,193,15,0.2
2019-08-21,10:00,15,87,49,197,17,0.4
2019-08-21,11:00,15,91,66,199,18,1.2
2019-08-21,12:00,15,91,50,195,16,2.3
2019-08-21,13:00,15,92,36,204,17,4.7
2019-08-21,14:00,15,94,27,222,16,4.2
2019-08-21,15:00,15,91,26,240,9,1.7
2019-08-21,16:00,14,90,29,231,7,1.2
2019-08-21,17:00,14,90,33,222,6,0.1
2019-08-21,18:00,14,89,53,223,8,0
