Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Friday 23/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-23,01:00,15,91,0,205,11,0
2019-08-23,02:00,15,91,0,204,11,0
2019-08-23,03:00,15,90,0,204,11,0
2019-08-23,04:00,15,91,0,200,11,0
2019-08-23,05:00,14,91,0,197,12,0
2019-08-23,06:00,15,90,1,199,12,0
2019-08-23,07:00,15,88,19,195,11,0
2019-08-23,08:00,16,84,57,201,15,0.1
2019-08-23,09:00,17,80,81,200,14,0
2019-08-23,10:00,18,73,124,205,15,0
2019-08-23,11:00,18,70,123,203,14,0
2019-08-23,12:00,20,66,161,198,13,0.1
2019-08-23,13:00,20,67,110,201,10,0
2019-08-23,14:00,20,64,199,202,12,0
2019-08-23,15:00,20,65,153,196,11,0
2019-08-23,16:00,20,66,98,195,10,0
2019-08-23,17:00,19,71,67,214,8,0
2019-08-23,18:00,18,75,32,219,7,0
2019-08-23,19:00,17,77,12,196,6,0
2019-08-23,20:00,16,80,2,179,5,0
2019-08-23,21:00,16,79,0,167,8,0.1
2019-08-23,22:00,16,77,0,169,9,0.1
2019-08-23,23:00,15,80,0,160,8,0.1
2019-08-24,00:00,14,82,0,161,8,0.1
2019-08-24,01:00,14,80,0,153,7,0.1
2019-08-24,02:00,14,81,0,147,7,0.2
2019-08-24,03:00,14,82,0,142,6,0
2019-08-24,04:00,13,88,0,139,6,0.6
2019-08-24,05:00,13,91,0,136,6,0.1
2019-08-24,06:00,14,93,1,138,6,0
2019-08-24,07:00,14,93,16,132,6,0.2
2019-08-24,08:00,15,92,39,131,6,0
2019-08-24,09:00,16,87,65,160,8,0
2019-08-24,10:00,17,85,68,170,7,0.4
2019-08-24,11:00,17,84,58,179,7,0.7
2019-08-24,12:00,17,84,62,169,6,0.8
2019-08-24,13:00,18,77,84,171,6,0
2019-08-24,14:00,19,74,124,173,8,0.3
2019-08-24,15:00,18,76,105,170,8,0.6
2019-08-24,16:00,18,81,70,175,7,0.9
2019-08-24,17:00,18,83,49,196,6,0.1
2019-08-24,18:00,17,87,27,220,5,0
2019-08-24,19:00,16,91,13,234,4,0.1
2019-08-24,20:00,16,93,1,273,4,0.1
2019-08-24,21:00,15,93,0,283,5,0
2019-08-24,22:00,14,96,0,275,5,0
2019-08-24,23:00,13,97,0,268,4,0
2019-08-25,00:00,12,98,0,259,3,0
2019-08-25,01:00,11,99,0,251,3,0
2019-08-25,02:00,12,98,0,245,3,0
2019-08-25,03:00,12,98,0,252,4,0
2019-08-25,04:00,12,98,0,249,4,0
2019-08-25,05:00,13,97,0,249,4,0
2019-08-25,06:00,12,97,1,229,4,0
2019-08-25,07:00,13,94,25,206,5,0
2019-08-25,08:00,14,90,48,232,7,0
2019-08-25,09:00,15,87,45,283,9,0.2
2019-08-25,10:00,16,86,79,288,9,0.2
2019-08-25,11:00,17,79,135,307,7,0.3
2019-08-25,12:00,18,72,188,314,7,0.4
2019-08-25,13:00,18,77,184,305,10,0.5
2019-08-25,14:00,18,81,177,308,9,0.3
2019-08-25,15:00,18,80,168,300,10,0.2
2019-08-25,16:00,17,83,96,293,9,0.4
2019-08-25,17:00,16,84,78,290,9,0.1
2019-08-25,18:00,15,83,68,300,7,0
2019-08-25,19:00,15,84,26,296,6,0
2019-08-25,20:00,13,87,4,293,4,0
2019-08-25,21:00,12,90,0,286,3,0
2019-08-25,22:00,12,94,0,267,3,0
2019-08-25,23:00,11,95,0,244,3,0
2019-08-26,00:00,10,96,0,210,3,0
2019-08-26,01:00,10,95,0,183,3,0
2019-08-26,02:00,10,95,0,184,4,0
2019-08-26,03:00,10,94,0,187,4,0
2019-08-26,04:00,11,93,0,179,5,0
2019-08-26,05:00,12,90,0,171,6,0
2019-08-26,06:00,12,90,1,171,6,0
2019-08-26,07:00,13,90,7,181,6,0
2019-08-26,08:00,14,90,19,185,6,0.1
2019-08-26,09:00,14,90,38,197,7,0.5
2019-08-26,10:00,14,94,40,198,7,0.5
2019-08-26,11:00,15,94,56,197,8,0.9
2019-08-26,12:00,15,94,55,189,8,0.8
2019-08-26,13:00,15,90,86,187,9,0.4
2019-08-26,14:00,16,86,105,194,10,0.3
2019-08-26,15:00,16,84,64,193,9,0.4
2019-08-26,16:00,16,80,83,198,10,0
2019-08-26,17:00,16,79,64,204,10,0
2019-08-26,18:00,16,81,31,203,10,0.1
