Location Claremorris 53.71N 8.99W 
Nearest Gridpoint used 53.743N  9W 
Based on ECMWF analysis of  00Z on Monday 14/10/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-10-14,01:00,7,92,0,116,4,0
2019-10-14,02:00,7,91,0,107,4,0
2019-10-14,03:00,7,92,0,76,3,0
2019-10-14,04:00,7,92,0,87,5,0.1
2019-10-14,05:00,7,93,0,89,5,0.5
2019-10-14,06:00,8,94,0,70,6,1.2
2019-10-14,07:00,8,94,0,49,6,2.2
2019-10-14,08:00,8,93,1,32,8,3.2
2019-10-14,09:00,8,93,4,31,10,3.2
2019-10-14,10:00,8,93,6,30,8,3.4
2019-10-14,11:00,8,93,10,21,8,3.4
2019-10-14,12:00,9,93,16,16,8,2.8
2019-10-14,13:00,9,94,37,19,8,1.3
2019-10-14,14:00,9,95,27,17,7,1
2019-10-14,15:00,9,96,26,12,7,0.7
2019-10-14,16:00,10,97,18,4,7,0.9
2019-10-14,17:00,9,97,9,4,5,1.4
2019-10-14,18:00,9,97,1,341,5,1.5
2019-10-14,19:00,9,98,0,340,6,1
2019-10-14,20:00,9,98,0,342,5,0.3
2019-10-14,21:00,9,98,0,347,5,0.2
2019-10-14,22:00,9,98,0,5,4,0.1
2019-10-14,23:00,9,98,0,12,2,0
2019-10-15,00:00,9,99,0,310,1,0.1
2019-10-15,01:00,9,98,0,291,4,0.2
2019-10-15,02:00,9,97,0,293,5,0.1
2019-10-15,03:00,9,97,0,276,5,0.1
2019-10-15,04:00,9,96,0,248,4,0.1
2019-10-15,05:00,9,94,0,217,4,0
2019-10-15,06:00,8,96,0,186,4,0
2019-10-15,07:00,7,95,0,185,4,0
2019-10-15,08:00,8,92,12,169,5,0
2019-10-15,09:00,9,91,49,151,7,0
2019-10-15,10:00,10,87,98,160,9,0
2019-10-15,11:00,11,81,122,165,10,0
2019-10-15,12:00,12,76,128,163,11,0
2019-10-15,13:00,13,72,130,161,11,0
2019-10-15,14:00,13,72,62,164,12,0
2019-10-15,15:00,13,73,43,151,12,0.1
2019-10-15,16:00,12,76,20,149,12,0.2
2019-10-15,17:00,12,79,12,145,12,0.1
2019-10-15,18:00,12,83,1,138,12,0.4
2019-10-15,19:00,12,87,0,138,12,0.5
2019-10-15,20:00,11,90,0,140,11,0.4
2019-10-15,21:00,12,92,0,143,10,0.7
2019-10-15,22:00,12,93,0,162,9,0.7
2019-10-15,23:00,11,89,0,281,13,0.5
2019-10-16,00:00,10,87,0,275,9,0
2019-10-16,01:00,9,90,0,254,7,0
2019-10-16,02:00,8,90,0,242,6,0
2019-10-16,03:00,8,90,0,234,6,0
2019-10-16,04:00,8,90,0,224,6,0
2019-10-16,05:00,8,89,0,224,7,0
2019-10-16,06:00,8,91,0,220,7,0
2019-10-16,07:00,8,92,0,206,7,0
2019-10-16,08:00,8,89,8,213,8,0
2019-10-16,09:00,9,86,41,205,9,0
2019-10-16,10:00,10,83,74,203,9,0
2019-10-16,11:00,11,79,105,220,10,0.2
2019-10-16,12:00,11,76,108,220,9,0.5
2019-10-16,13:00,11,70,123,222,12,0.1
2019-10-16,14:00,12,66,105,217,12,0.1
2019-10-16,15:00,11,69,87,210,11,0.1
2019-10-16,16:00,10,76,65,220,11,0.5
2019-10-16,17:00,9,82,22,207,11,0.4
2019-10-16,18:00,9,86,3,202,11,0.7
2019-10-16,19:00,9,88,0,192,12,0.1
2019-10-16,20:00,8,89,0,181,11,0.1
2019-10-16,21:00,8,88,0,177,11,0.1
2019-10-16,22:00,8,87,0,173,12,0.1
2019-10-16,23:00,8,87,0,173,13,0.1
2019-10-17,00:00,8,86,0,172,13,0
2019-10-17,01:00,8,86,0,170,13,0.1
2019-10-17,02:00,8,86,0,169,13,0.1
2019-10-17,03:00,9,86,0,169,13,0.1
2019-10-17,04:00,9,86,0,166,13,0.1
2019-10-17,05:00,9,86,0,165,13,0.1
2019-10-17,06:00,9,86,0,163,13,0.1
2019-10-17,07:00,9,85,0,164,14,0.1
2019-10-17,08:00,9,85,6,165,13,0.1
2019-10-17,09:00,10,83,27,167,13,0.1
2019-10-17,10:00,10,83,55,166,13,0.1
2019-10-17,11:00,11,82,73,165,13,0.2
2019-10-17,12:00,11,82,76,171,13,0.2
2019-10-17,13:00,11,80,103,170,12,0.3
2019-10-17,14:00,11,72,105,177,13,0.1
2019-10-17,15:00,12,70,94,182,12,0.1
2019-10-17,16:00,11,72,53,182,14,0.1
2019-10-17,17:00,10,78,20,188,13,0.2
2019-10-17,18:00,10,86,2,192,13,0.4
