Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Saturday 29/04/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-29,01:00,7,81,0,183,8,0
2017-04-29,02:00,7,81,0,179,7,0
2017-04-29,03:00,6,81,0,171,7,0
2017-04-29,04:00,6,82,0,170,7,0
2017-04-29,05:00,6,83,0,165,7,0
2017-04-29,06:00,7,85,11,162,8,0
2017-04-29,07:00,8,83,39,157,8,0
2017-04-29,08:00,9,75,65,174,13,0
2017-04-29,09:00,10,72,79,179,13,0
2017-04-29,10:00,10,70,76,175,12,0
2017-04-29,11:00,10,66,103,178,13,0
2017-04-29,12:00,11,57,56,167,11,0
2017-04-29,13:00,11,62,127,172,14,0.1
2017-04-29,14:00,11,59,116,170,16,0
2017-04-29,15:00,11,66,108,167,14,0.1
2017-04-29,16:00,11,63,81,163,13,0
2017-04-29,17:00,10,67,78,156,11,0
2017-04-29,18:00,10,73,37,145,10,0
2017-04-29,19:00,9,75,24,143,10,0
2017-04-29,20:00,9,75,4,135,10,0
2017-04-29,21:00,9,78,0,132,11,0
2017-04-29,22:00,9,75,0,130,12,0
2017-04-29,23:00,8,76,0,125,11,0
2017-04-30,00:00,8,76,0,118,11,0
2017-04-30,01:00,8,76,0,115,13,0
2017-04-30,02:00,8,76,0,111,13,0
2017-04-30,03:00,8,74,0,112,14,0
2017-04-30,04:00,9,73,0,116,14,0
2017-04-30,05:00,9,75,0,118,14,0
2017-04-30,06:00,10,73,12,122,15,0
2017-04-30,07:00,10,71,41,125,16,0
2017-04-30,08:00,11,71,82,113,15,0
2017-04-30,09:00,11,75,76,112,14,0.2
2017-04-30,10:00,11,73,96,119,15,0.2
2017-04-30,11:00,12,72,142,122,16,0.4
2017-04-30,12:00,10,84,106,129,14,1.2
2017-04-30,13:00,10,83,88,136,12,1.4
2017-04-30,14:00,10,87,64,129,11,0.7
2017-04-30,15:00,9,88,42,122,10,0.8
2017-04-30,16:00,9,88,56,111,8,0.8
2017-04-30,17:00,9,90,39,103,7,0.7
2017-04-30,18:00,8,91,25,102,7,0.5
2017-04-30,19:00,8,90,30,112,7,0
2017-04-30,20:00,7,92,7,112,7,0
2017-04-30,21:00,6,94,0,116,7,0
2017-04-30,22:00,6,95,0,116,6,0
2017-04-30,23:00,6,95,0,104,5,0
2017-05-01,00:00,6,94,0,107,6,0
2017-05-01,01:00,5,93,0,102,5,0
2017-05-01,02:00,5,93,0,94,5,0
2017-05-01,03:00,5,92,0,90,6,0
2017-05-01,04:00,4,94,0,92,5,0
2017-05-01,05:00,5,94,0,89,6,0
2017-05-01,06:00,6,93,14,83,6,0
2017-05-01,07:00,8,93,47,66,5,0
2017-05-01,08:00,9,83,109,78,7,0
2017-05-01,09:00,11,74,174,66,6,0
2017-05-01,10:00,12,67,207,53,6,0
2017-05-01,11:00,13,64,240,55,7,0
2017-05-01,12:00,13,67,139,49,8,0
2017-05-01,13:00,12,72,87,42,8,0
2017-05-01,14:00,12,73,79,34,8,0
2017-05-01,15:00,12,74,79,33,7,0
2017-05-01,16:00,13,70,100,36,7,0
2017-05-01,17:00,13,73,65,46,8,0
2017-05-01,18:00,12,78,25,39,5,0
2017-05-01,19:00,12,83,32,38,4,0
2017-05-01,20:00,10,90,8,40,5,0
2017-05-01,21:00,9,93,0,44,5,0
2017-05-01,22:00,8,94,0,39,5,0
2017-05-01,23:00,8,94,0,46,5,0
2017-05-02,00:00,7,95,0,73,5,0
2017-05-02,01:00,6,97,0,93,4,0
2017-05-02,02:00,6,98,0,88,4,0
2017-05-02,03:00,6,98,0,80,5,0
2017-05-02,04:00,6,98,0,78,4,0
2017-05-02,05:00,5,100,0,66,4,0
2017-05-02,06:00,7,98,14,51,4,0
2017-05-02,07:00,8,95,52,48,4,0
2017-05-02,08:00,11,82,103,68,6,0
2017-05-02,09:00,13,74,165,77,7,0
2017-05-02,10:00,14,67,214,80,7,0
2017-05-02,11:00,15,61,224,77,7,0
2017-05-02,12:00,15,59,233,75,8,0
2017-05-02,13:00,15,59,238,72,8,0
2017-05-02,14:00,14,63,233,73,8,0
2017-05-02,15:00,14,68,194,75,8,0
2017-05-02,16:00,14,66,215,73,8,0
2017-05-02,17:00,13,64,164,75,7,0
2017-05-02,18:00,12,68,108,73,7,0
