Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Monday 23/10/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-10-23,01:00,12,92,0,189,12,0
2017-10-23,02:00,12,93,0,188,11,0
2017-10-23,03:00,12,94,0,191,11,0
2017-10-23,04:00,12,95,0,197,10,0
2017-10-23,05:00,12,96,0,199,9,0
2017-10-23,06:00,13,96,0,201,8,0
2017-10-23,07:00,13,97,0,208,7,0.3
2017-10-23,08:00,13,97,2,216,7,0
2017-10-23,09:00,14,95,17,229,8,0
2017-10-23,10:00,14,92,64,235,8,0
2017-10-23,11:00,15,85,75,217,7,0
2017-10-23,12:00,14,86,35,211,7,0
2017-10-23,13:00,14,85,30,197,7,0
2017-10-23,14:00,15,82,31,205,8,0
2017-10-23,15:00,14,81,20,207,7,0
2017-10-23,16:00,14,83,10,217,6,0
2017-10-23,17:00,14,83,5,214,7,0.1
2017-10-23,18:00,15,79,0,228,10,0
2017-10-23,19:00,14,81,0,245,9,0
2017-10-23,20:00,13,87,0,249,7,0
2017-10-23,21:00,12,92,0,227,5,0
2017-10-23,22:00,11,94,0,204,5,0
2017-10-23,23:00,10,94,0,193,6,0
2017-10-24,00:00,10,94,0,183,6,0
2017-10-24,01:00,10,94,0,177,8,0
2017-10-24,02:00,11,92,0,182,9,0
2017-10-24,03:00,12,82,0,184,10,0
2017-10-24,04:00,12,93,0,185,12,0.9
2017-10-24,05:00,13,94,0,196,14,0.1
2017-10-24,06:00,14,93,0,216,14,0
2017-10-24,07:00,15,90,0,235,17,0.1
2017-10-24,08:00,14,88,2,252,16,0.1
2017-10-24,09:00,14,85,35,252,13,0
2017-10-24,10:00,14,80,81,249,13,0
2017-10-24,11:00,14,70,97,246,13,0
2017-10-24,12:00,15,65,111,241,12,0
2017-10-24,13:00,15,62,106,237,11,0
2017-10-24,14:00,15,62,72,234,9,0
2017-10-24,15:00,14,69,20,216,6,0
2017-10-24,16:00,14,77,14,210,5,0.4
2017-10-24,17:00,12,88,2,195,6,0.8
2017-10-24,18:00,12,90,0,194,3,0.2
2017-10-24,19:00,12,89,0,143,1,0.4
2017-10-24,20:00,12,88,0,115,4,0.1
2017-10-24,21:00,11,92,0,345,6,2.1
2017-10-24,22:00,11,91,0,288,5,1.2
2017-10-24,23:00,11,88,0,267,8,0.2
2017-10-25,00:00,11,87,0,255,8,0
2017-10-25,01:00,10,90,0,250,9,0
2017-10-25,02:00,9,92,0,245,9,0
2017-10-25,03:00,9,93,0,240,9,0
2017-10-25,04:00,9,94,0,233,9,0
2017-10-25,05:00,9,94,0,233,9,0
2017-10-25,06:00,10,93,0,231,9,0
2017-10-25,07:00,10,93,0,232,9,0
2017-10-25,08:00,10,93,6,228,9,0
2017-10-25,09:00,11,91,33,224,8,0
2017-10-25,10:00,12,85,65,231,12,0.1
2017-10-25,11:00,12,79,73,239,12,0
2017-10-25,12:00,13,76,70,237,11,0
2017-10-25,13:00,13,71,71,242,12,0
2017-10-25,14:00,13,71,48,238,11,0.1
2017-10-25,15:00,13,75,41,237,9,0
2017-10-25,16:00,13,75,31,240,8,0
2017-10-25,17:00,12,76,10,243,8,0
2017-10-25,18:00,11,78,0,246,6,0
2017-10-25,19:00,11,82,0,239,5,0
2017-10-25,20:00,10,85,0,220,4,0
2017-10-25,21:00,10,87,0,213,4,0
2017-10-25,22:00,10,88,0,210,4,0
2017-10-25,23:00,10,90,0,211,4,0.4
2017-10-26,00:00,10,92,0,221,3,0.4
2017-10-26,01:00,10,95,0,220,2,0.5
2017-10-26,02:00,10,96,0,198,2,0.6
2017-10-26,03:00,10,97,0,182,2,1.3
2017-10-26,04:00,10,96,0,139,1,1.1
2017-10-26,05:00,10,95,0,95,1,0.6
2017-10-26,06:00,10,96,0,69,1,0.4
2017-10-26,07:00,10,94,0,46,2,0.2
2017-10-26,08:00,10,92,1,98,1,0
2017-10-26,09:00,11,91,9,135,0,0
2017-10-26,10:00,12,88,20,312,1,0
2017-10-26,11:00,12,87,25,347,2,0
2017-10-26,12:00,12,86,55,346,3,0
2017-10-26,13:00,13,82,93,339,3,0
2017-10-26,14:00,13,76,78,322,4,0
2017-10-26,15:00,14,75,59,323,4,0
2017-10-26,16:00,13,81,33,341,4,0
2017-10-26,17:00,12,85,8,347,4,0
2017-10-26,18:00,11,90,0,332,3,0
