Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Tuesday 04/09/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-09-04,01:00,9,90,0,333,6,0
2018-09-04,02:00,8,92,0,332,6,0
2018-09-04,03:00,8,93,0,331,6,0
2018-09-04,04:00,7,93,0,327,6,0
2018-09-04,05:00,7,94,0,328,6,0
2018-09-04,06:00,7,93,1,328,6,0
2018-09-04,07:00,8,87,26,331,6,0
2018-09-04,08:00,10,79,77,335,6,0
2018-09-04,09:00,12,72,132,343,6,0
2018-09-04,10:00,13,63,181,345,6,0
2018-09-04,11:00,14,57,218,341,5,0
2018-09-04,12:00,15,54,238,340,5,0
2018-09-04,13:00,16,52,247,347,6,0
2018-09-04,14:00,16,51,227,353,7,0
2018-09-04,15:00,16,53,167,347,6,0
2018-09-04,16:00,16,57,125,344,7,0
2018-09-04,17:00,16,60,72,335,6,0
2018-09-04,18:00,15,65,21,324,5,0
2018-09-04,19:00,14,73,6,335,4,0
2018-09-04,20:00,14,78,0,344,4,0
2018-09-04,21:00,13,81,0,332,4,0
2018-09-04,22:00,13,81,0,333,6,0
2018-09-04,23:00,12,79,0,334,6,0
2018-09-05,00:00,12,79,0,336,5,0
2018-09-05,01:00,11,83,0,330,5,0
2018-09-05,02:00,10,86,0,328,5,0
2018-09-05,03:00,10,91,0,319,4,0
2018-09-05,04:00,8,95,0,310,5,0
2018-09-05,05:00,8,96,0,304,4,0
2018-09-05,06:00,8,96,0,293,4,0
2018-09-05,07:00,9,93,22,272,3,0
2018-09-05,08:00,11,84,51,257,3,0
2018-09-05,09:00,12,79,70,258,4,0
2018-09-05,10:00,14,74,121,257,4,0
2018-09-05,11:00,16,69,174,271,6,0
2018-09-05,12:00,17,62,181,273,6,0
2018-09-05,13:00,17,61,110,271,7,0.1
2018-09-05,14:00,17,63,94,267,7,0
2018-09-05,15:00,17,67,72,264,8,0
2018-09-05,16:00,16,74,47,265,8,0.1
2018-09-05,17:00,15,84,11,261,6,0.2
2018-09-05,18:00,15,86,27,263,6,0
2018-09-05,19:00,14,89,13,268,6,0
2018-09-05,20:00,14,88,0,265,7,0
2018-09-05,21:00,14,90,0,265,7,0
2018-09-05,22:00,14,91,0,265,7,0
2018-09-05,23:00,14,92,0,273,8,0.1
2018-09-06,00:00,14,89,0,292,9,0.2
2018-09-06,01:00,13,93,0,309,7,0.2
2018-09-06,02:00,12,95,0,304,5,0
2018-09-06,03:00,12,94,0,296,5,0
2018-09-06,04:00,11,96,0,299,6,0
2018-09-06,05:00,10,97,0,316,5,0
2018-09-06,06:00,10,96,0,310,4,0
2018-09-06,07:00,10,93,7,297,5,0
2018-09-06,08:00,10,89,21,292,5,0
2018-09-06,09:00,11,80,42,284,5,0
2018-09-06,10:00,11,78,40,272,5,0
2018-09-06,11:00,12,75,65,287,6,0
2018-09-06,12:00,13,66,101,300,7,0
2018-09-06,13:00,14,58,102,305,8,0
2018-09-06,14:00,14,55,141,312,9,0.1
2018-09-06,15:00,14,53,110,321,9,0
2018-09-06,16:00,14,54,99,326,10,0
2018-09-06,17:00,14,54,72,323,8,0
2018-09-06,18:00,13,57,47,325,8,0
2018-09-06,19:00,12,68,13,332,7,0
2018-09-06,20:00,11,73,0,320,6,0
2018-09-06,21:00,10,76,0,318,6,0
2018-09-06,22:00,9,80,0,315,6,0
2018-09-06,23:00,8,85,0,308,6,0
2018-09-07,00:00,8,88,0,301,7,0
2018-09-07,01:00,8,90,0,298,7,0
2018-09-07,02:00,8,90,0,297,7,0
2018-09-07,03:00,8,91,0,293,7,0
2018-09-07,04:00,8,91,0,288,7,0
2018-09-07,05:00,7,92,0,279,7,0
2018-09-07,06:00,7,92,0,272,7,0
2018-09-07,07:00,8,88,22,273,8,0
2018-09-07,08:00,10,81,68,278,8,0
2018-09-07,09:00,12,72,120,287,10,0
2018-09-07,10:00,13,66,163,292,12,0
2018-09-07,11:00,14,61,169,294,13,0
2018-09-07,12:00,14,58,123,295,12,0
2018-09-07,13:00,15,54,159,296,12,0
2018-09-07,14:00,16,49,165,297,13,0
2018-09-07,15:00,16,48,187,297,13,0
2018-09-07,16:00,15,50,153,296,12,0
2018-09-07,17:00,15,53,94,303,11,0
2018-09-07,18:00,14,60,49,305,8,0
