Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Wednesday 12/12/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-12-12,01:00,8,96,0,224,3,0.9
2018-12-12,02:00,8,94,0,291,5,0.9
2018-12-12,03:00,8,95,0,278,5,0.3
2018-12-12,04:00,7,95,0,249,4,0
2018-12-12,05:00,7,97,0,230,4,0
2018-12-12,06:00,6,98,0,227,4,0
2018-12-12,07:00,5,98,0,205,4,0
2018-12-12,08:00,4,99,0,198,3,0
2018-12-12,09:00,4,99,1,153,3,0
2018-12-12,10:00,4,99,18,163,3,0
2018-12-12,11:00,5,97,39,160,3,0
2018-12-12,12:00,6,94,56,137,4,0
2018-12-12,13:00,8,91,51,101,5,0
2018-12-12,14:00,8,90,40,122,6,0
2018-12-12,15:00,8,90,20,128,8,0
2018-12-12,16:00,8,89,6,133,9,0
2018-12-12,17:00,8,90,0,137,12,0
2018-12-12,18:00,8,90,0,141,12,0.2
2018-12-12,19:00,8,90,0,145,11,0.2
2018-12-12,20:00,8,88,0,139,11,0.2
2018-12-12,21:00,8,90,0,142,12,0.4
2018-12-12,22:00,8,88,0,136,13,0.3
2018-12-12,23:00,7,88,0,131,14,0.2
2018-12-13,00:00,7,90,0,127,14,0.2
2018-12-13,01:00,6,88,0,126,15,0.2
2018-12-13,02:00,6,87,0,125,16,0.2
2018-12-13,03:00,6,87,0,126,15,0.2
2018-12-13,04:00,6,86,0,128,15,0.2
2018-12-13,05:00,6,85,0,128,14,0.3
2018-12-13,06:00,5,85,0,125,14,0.2
2018-12-13,07:00,5,85,0,121,14,0.2
2018-12-13,08:00,4,85,0,119,14,0.1
2018-12-13,09:00,4,84,0,117,14,0.1
2018-12-13,10:00,5,83,4,119,14,0
2018-12-13,11:00,5,83,7,123,14,0.1
2018-12-13,12:00,5,84,12,125,13,0.2
2018-12-13,13:00,5,84,17,125,12,0.2
2018-12-13,14:00,5,86,14,124,11,0.3
2018-12-13,15:00,5,87,7,123,10,0.3
2018-12-13,16:00,4,90,3,122,10,0.3
2018-12-13,17:00,5,87,0,123,10,0.2
2018-12-13,18:00,5,86,0,128,9,0.1
2018-12-13,19:00,5,85,0,127,8,0
2018-12-13,20:00,5,83,0,129,8,0
2018-12-13,21:00,5,82,0,130,8,0
2018-12-13,22:00,5,80,0,129,9,0
2018-12-13,23:00,5,78,0,129,9,0
2018-12-14,00:00,5,76,0,131,9,0
2018-12-14,01:00,4,75,0,132,9,0
2018-12-14,02:00,4,76,0,130,10,0
2018-12-14,03:00,4,78,0,131,10,0
2018-12-14,04:00,4,80,0,133,9,0
2018-12-14,05:00,5,82,0,138,9,0
2018-12-14,06:00,5,82,0,131,10,0
2018-12-14,07:00,5,83,0,127,10,0
2018-12-14,08:00,6,81,0,134,9,0
2018-12-14,09:00,6,80,0,135,9,0
2018-12-14,10:00,6,77,7,147,10,0
2018-12-14,11:00,7,75,17,149,11,0
2018-12-14,12:00,7,76,18,152,11,0
2018-12-14,13:00,7,74,21,151,11,0
2018-12-14,14:00,7,75,13,150,12,0
2018-12-14,15:00,6,79,8,154,11,1.3
2018-12-14,16:00,5,88,2,151,12,0.6
2018-12-14,17:00,5,90,0,146,12,0.7
2018-12-14,18:00,6,90,0,144,12,0.5
2018-12-14,19:00,6,88,0,152,13,1.1
2018-12-14,20:00,7,88,0,155,13,0.9
2018-12-14,21:00,7,88,0,160,13,0.4
2018-12-14,22:00,8,88,0,170,14,0.8
2018-12-14,23:00,8,87,0,174,14,0
2018-12-15,00:00,8,87,0,177,13,0
2018-12-15,01:00,8,87,0,177,12,0.1
2018-12-15,02:00,9,88,0,175,12,0.1
2018-12-15,03:00,9,89,0,179,10,0.1
2018-12-15,04:00,9,90,0,179,9,0.2
2018-12-15,05:00,9,92,0,177,7,0.2
2018-12-15,06:00,9,93,0,180,7,0.1
2018-12-15,07:00,8,94,0,184,6,0.2
2018-12-15,08:00,8,96,0,171,5,0.3
2018-12-15,09:00,8,96,0,147,4,1.2
2018-12-15,10:00,8,96,2,119,6,1.6
2018-12-15,11:00,8,96,6,106,7,2.5
2018-12-15,12:00,8,96,6,93,8,3.8
2018-12-15,13:00,8,96,10,99,12,2.9
2018-12-15,14:00,7,95,13,73,9,0.3
2018-12-15,15:00,7,95,16,5,5,0
2018-12-15,16:00,7,97,6,339,7,0
2018-12-15,17:00,6,97,0,352,7,0
2018-12-15,18:00,6,96,0,11,6,0
