Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Thursday 17/01/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-01-17,01:00,3,88,0,344,11,0
2019-01-17,02:00,3,87,0,335,11,0
2019-01-17,03:00,2,82,0,333,10,0
2019-01-17,04:00,1,79,0,322,9,0
2019-01-17,05:00,1,80,0,311,8,0
2019-01-17,06:00,1,82,0,306,8,0
2019-01-17,07:00,0,82,0,310,8,0
2019-01-17,08:00,0,83,0,310,7,0
2019-01-17,09:00,0,83,1,308,7,0
2019-01-17,10:00,1,80,24,305,7,0
2019-01-17,11:00,2,77,56,297,6,0
2019-01-17,12:00,4,72,74,299,6,0
2019-01-17,13:00,4,71,58,294,4,0
2019-01-17,14:00,4,69,59,306,3,0
2019-01-17,15:00,4,74,36,297,2,0
2019-01-17,16:00,3,80,17,241,3,0
2019-01-17,17:00,2,82,2,230,4,0
2019-01-17,18:00,1,89,0,180,3,0
2019-01-17,19:00,1,88,0,176,4,0
2019-01-17,20:00,1,85,0,170,5,0
2019-01-17,21:00,2,82,0,162,5,0
2019-01-17,22:00,1,77,0,155,5,0
2019-01-17,23:00,2,69,0,164,7,0
2019-01-18,00:00,2,67,0,160,7,0
2019-01-18,01:00,2,68,0,158,7,0
2019-01-18,02:00,3,69,0,156,8,0.1
2019-01-18,03:00,3,73,0,149,9,0.1
2019-01-18,04:00,3,75,0,147,9,0.2
2019-01-18,05:00,2,82,0,138,9,0.4
2019-01-18,06:00,2,89,0,135,9,0.5
2019-01-18,07:00,3,89,0,133,10,0.3
2019-01-18,08:00,3,90,0,130,8,0.6
2019-01-18,09:00,4,91,0,140,6,0.7
2019-01-18,10:00,5,91,5,174,6,0.2
2019-01-18,11:00,6,93,32,205,7,0
2019-01-18,12:00,7,90,73,207,7,0
2019-01-18,13:00,7,87,82,212,7,0
2019-01-18,14:00,7,86,68,206,6,0
2019-01-18,15:00,7,87,46,193,4,0
2019-01-18,16:00,6,92,24,176,3,0
2019-01-18,17:00,5,94,3,172,4,0
2019-01-18,18:00,5,94,0,179,4,0
2019-01-18,19:00,4,95,0,182,4,0
2019-01-18,20:00,4,96,0,152,4,0
2019-01-18,21:00,3,97,0,154,4,0
2019-01-18,22:00,2,96,0,169,4,0
2019-01-18,23:00,2,95,0,165,3,0
2019-01-19,00:00,2,93,0,162,4,0
2019-01-19,01:00,2,94,0,173,4,0
2019-01-19,02:00,1,93,0,174,4,0
2019-01-19,03:00,1,93,0,146,3,0
2019-01-19,04:00,0,94,0,129,4,0
2019-01-19,05:00,1,92,0,133,3,0
2019-01-19,06:00,1,96,0,90,2,0
2019-01-19,07:00,1,99,0,79,2,0
2019-01-19,08:00,2,99,0,89,2,0
2019-01-19,09:00,2,100,1,66,1,0
2019-01-19,10:00,3,99,13,39,1,0
2019-01-19,11:00,4,97,28,80,1,0
2019-01-19,12:00,5,93,44,21,0,0
2019-01-19,13:00,6,88,64,36,2,0
2019-01-19,14:00,6,82,69,46,3,0
2019-01-19,15:00,6,84,44,32,3,0
2019-01-19,16:00,6,90,22,22,2,0
2019-01-19,17:00,6,94,2,43,5,0.1
2019-01-19,18:00,6,93,0,41,5,0.1
2019-01-19,19:00,6,92,0,26,5,0
2019-01-19,20:00,6,90,0,33,5,0
2019-01-19,21:00,5,92,0,7,5,0
2019-01-19,22:00,4,96,0,0,6,0
2019-01-19,23:00,3,97,0,2,5,0
2019-01-20,00:00,2,97,0,356,4,0
2019-01-20,01:00,2,97,0,348,5,0
2019-01-20,02:00,2,97,0,344,4,0
2019-01-20,03:00,2,97,0,333,4,0
2019-01-20,04:00,1,98,0,325,4,0
2019-01-20,05:00,1,98,0,320,4,0
2019-01-20,06:00,1,97,0,311,4,0
2019-01-20,07:00,2,97,0,306,4,0
2019-01-20,08:00,2,96,0,300,4,0
2019-01-20,09:00,3,95,1,300,5,0.1
2019-01-20,10:00,4,94,6,331,8,0.3
2019-01-20,11:00,5,91,15,329,8,0.1
2019-01-20,12:00,6,86,43,326,9,0
2019-01-20,13:00,6,81,62,324,10,0
2019-01-20,14:00,6,76,68,322,10,0
2019-01-20,15:00,6,75,66,320,9,0
2019-01-20,16:00,5,76,34,318,9,0
2019-01-20,17:00,4,79,5,314,7,0
2019-01-20,18:00,2,83,0,309,7,0
