Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Sunday 17/03/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-03-17,01:00,2,91,0,267,11,0
2019-03-17,02:00,2,90,0,266,11,0
2019-03-17,03:00,1,90,0,261,10,0
2019-03-17,04:00,1,90,0,259,10,0
2019-03-17,05:00,1,88,0,260,11,0
2019-03-17,06:00,1,88,0,262,11,0
2019-03-17,07:00,1,88,1,264,11,0
2019-03-17,08:00,2,84,27,262,10,0
2019-03-17,09:00,4,78,75,259,12,0
2019-03-17,10:00,5,73,124,250,13,0
2019-03-17,11:00,6,68,141,264,17,0.1
2019-03-17,12:00,8,65,135,296,17,0.2
2019-03-17,13:00,8,76,155,292,16,0.1
2019-03-17,14:00,9,67,158,311,16,0.1
2019-03-17,15:00,9,66,135,313,15,0.1
2019-03-17,16:00,9,57,112,319,15,0
2019-03-17,17:00,9,59,77,314,13,0
2019-03-17,18:00,8,64,26,311,12,0
2019-03-17,19:00,7,70,3,303,10,0
2019-03-17,20:00,6,73,0,299,9,0
2019-03-17,21:00,5,75,0,292,9,0
2019-03-17,22:00,5,77,0,285,9,0
2019-03-17,23:00,4,82,0,283,9,0
2019-03-18,00:00,4,86,0,279,9,0
2019-03-18,01:00,4,89,0,272,8,0
2019-03-18,02:00,3,92,0,266,8,0
2019-03-18,03:00,3,91,0,263,8,0
2019-03-18,04:00,3,93,0,257,8,0
2019-03-18,05:00,3,93,0,253,8,0
2019-03-18,06:00,3,92,0,252,8,0
2019-03-18,07:00,3,92,1,250,7,0
2019-03-18,08:00,4,89,27,245,8,0
2019-03-18,09:00,6,84,59,243,8,0.1
2019-03-18,10:00,7,80,76,247,10,0.1
2019-03-18,11:00,8,78,65,256,13,0.1
2019-03-18,12:00,8,79,53,257,11,0.1
2019-03-18,13:00,8,83,37,254,9,0.1
2019-03-18,14:00,8,84,38,256,9,0.1
2019-03-18,15:00,9,82,48,268,12,0.1
2019-03-18,16:00,8,87,23,265,8,0.1
2019-03-18,17:00,8,89,15,269,8,0.1
2019-03-18,18:00,8,91,9,270,8,0.1
2019-03-18,19:00,8,93,1,269,8,0
2019-03-18,20:00,8,94,0,268,8,0
2019-03-18,21:00,7,95,0,263,7,0
2019-03-18,22:00,7,95,0,260,7,0.1
2019-03-18,23:00,7,94,0,262,7,0.1
2019-03-19,00:00,7,95,0,255,7,0
2019-03-19,01:00,6,96,0,251,6,0
2019-03-19,02:00,5,97,0,245,6,0
2019-03-19,03:00,5,98,0,230,6,0
2019-03-19,04:00,5,97,0,215,6,0
2019-03-19,05:00,5,96,0,213,7,0
2019-03-19,06:00,5,94,0,211,8,0.1
2019-03-19,07:00,6,94,0,204,8,0.4
2019-03-19,08:00,6,94,4,208,8,0.2
2019-03-19,09:00,6,93,8,209,9,0.3
2019-03-19,10:00,7,92,23,213,9,0
2019-03-19,11:00,9,91,56,208,8,0
2019-03-19,12:00,10,88,68,224,11,0
2019-03-19,13:00,11,86,63,234,12,0
2019-03-19,14:00,12,82,59,251,12,0
2019-03-19,15:00,12,80,67,257,11,0
2019-03-19,16:00,12,78,87,263,10,0
2019-03-19,17:00,12,81,37,252,9,0
2019-03-19,18:00,10,84,21,252,9,0
2019-03-19,19:00,9,86,2,245,9,0
2019-03-19,20:00,9,87,0,251,8,0
2019-03-19,21:00,8,90,0,247,7,0
2019-03-19,22:00,8,90,0,248,7,0
2019-03-19,23:00,8,90,0,244,7,0
2019-03-20,00:00,8,92,0,246,7,0
2019-03-20,01:00,8,93,0,242,7,0
2019-03-20,02:00,8,95,0,235,7,0
2019-03-20,03:00,8,96,0,232,7,0
2019-03-20,04:00,8,97,0,228,7,0
2019-03-20,05:00,7,98,0,227,7,0
2019-03-20,06:00,7,98,0,228,7,0
2019-03-20,07:00,7,97,1,223,6,0
2019-03-20,08:00,8,94,19,215,6,0
2019-03-20,09:00,10,88,45,220,8,0
2019-03-20,10:00,11,85,76,218,8,0
2019-03-20,11:00,12,81,94,219,8,0
2019-03-20,12:00,13,73,140,225,9,0
2019-03-20,13:00,14,70,103,229,10,0
2019-03-20,14:00,14,67,83,235,11,0.1
2019-03-20,15:00,14,70,58,227,10,0.1
2019-03-20,16:00,14,70,71,235,10,0.1
2019-03-20,17:00,14,68,54,241,8,0
2019-03-20,18:00,14,71,22,240,8,0
