Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Friday 05/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-05,01:00,12,88,0,294,5,0
2019-07-05,02:00,11,91,0,281,5,0
2019-07-05,03:00,10,93,0,272,5,0
2019-07-05,04:00,10,95,0,264,5,0
2019-07-05,05:00,10,94,7,255,5,0
2019-07-05,06:00,12,90,40,257,5,0
2019-07-05,07:00,13,86,84,261,5,0
2019-07-05,08:00,15,82,115,267,6,0
2019-07-05,09:00,15,82,99,267,6,0
2019-07-05,10:00,16,80,82,270,6,0
2019-07-05,11:00,17,73,128,266,8,0
2019-07-05,12:00,17,72,105,266,8,0
2019-07-05,13:00,18,69,120,270,9,0
2019-07-05,14:00,18,68,114,275,9,0
2019-07-05,15:00,18,67,123,276,8,0
2019-07-05,16:00,19,67,112,275,8,0
2019-07-05,17:00,18,68,75,285,9,0
2019-07-05,18:00,18,70,54,293,8,0
2019-07-05,19:00,18,72,44,292,7,0
2019-07-05,20:00,17,75,21,291,7,0
2019-07-05,21:00,16,79,4,292,6,0
2019-07-05,22:00,15,82,0,287,6,0
2019-07-05,23:00,14,86,0,280,6,0
2019-07-06,00:00,14,86,0,269,6,0
2019-07-06,01:00,14,87,0,269,6,0
2019-07-06,02:00,14,90,0,276,6,0
2019-07-06,03:00,14,89,0,278,6,0
2019-07-06,04:00,13,89,0,275,6,0.3
2019-07-06,05:00,13,92,2,281,6,0.2
2019-07-06,06:00,14,89,13,288,7,0
2019-07-06,07:00,14,86,28,300,7,0
2019-07-06,08:00,15,84,36,306,6,0
2019-07-06,09:00,16,81,45,307,6,0
2019-07-06,10:00,16,81,56,317,5,0.1
2019-07-06,11:00,17,77,86,320,4,0.1
2019-07-06,12:00,18,69,133,307,4,0.1
2019-07-06,13:00,19,63,185,309,5,0.1
2019-07-06,14:00,19,60,168,308,6,0
2019-07-06,15:00,20,58,179,310,7,0
2019-07-06,16:00,19,56,130,320,6,0
2019-07-06,17:00,20,52,115,306,4,0
2019-07-06,18:00,20,51,114,285,3,0
2019-07-06,19:00,18,63,74,62,4,0
2019-07-06,20:00,14,83,31,83,8,0
2019-07-06,21:00,13,85,5,95,6,0
2019-07-06,22:00,12,81,0,94,6,0
2019-07-06,23:00,12,83,0,81,6,0
2019-07-07,00:00,11,85,0,81,6,0
2019-07-07,01:00,11,86,0,89,6,0
2019-07-07,02:00,11,86,0,85,6,0
2019-07-07,03:00,11,85,0,75,5,0
2019-07-07,04:00,11,86,0,58,5,0
2019-07-07,05:00,11,86,3,43,5,0
2019-07-07,06:00,11,82,20,36,4,0
2019-07-07,07:00,12,78,37,41,4,0
2019-07-07,08:00,13,76,61,48,3,0
2019-07-07,09:00,14,76,90,67,2,0
2019-07-07,10:00,15,72,121,71,1,0
2019-07-07,11:00,16,67,106,158,1,0
2019-07-07,12:00,16,62,113,223,1,0
2019-07-07,13:00,17,61,135,254,2,0
2019-07-07,14:00,17,62,92,263,4,0
2019-07-07,15:00,17,61,101,279,4,0
2019-07-07,16:00,16,60,68,291,5,0
2019-07-07,17:00,16,67,27,289,3,0.1
2019-07-07,18:00,15,73,24,303,3,0.1
2019-07-07,19:00,14,78,14,317,3,0.1
2019-07-07,20:00,14,84,5,311,3,0.3
2019-07-07,21:00,13,86,2,294,2,0
2019-07-07,22:00,11,92,0,274,3,0
2019-07-07,23:00,11,94,0,277,2,0
2019-07-08,00:00,10,95,0,278,3,0
2019-07-08,01:00,10,96,0,291,3,0
2019-07-08,02:00,10,97,0,303,3,0
2019-07-08,03:00,9,97,0,297,3,0
2019-07-08,04:00,9,98,0,292,3,0
2019-07-08,05:00,9,97,5,267,2,0
2019-07-08,06:00,11,93,33,253,1,0
2019-07-08,07:00,12,88,56,265,1,0
2019-07-08,08:00,14,74,132,246,1,0
2019-07-08,09:00,16,69,181,235,1,0
2019-07-08,10:00,17,63,203,241,2,0
2019-07-08,11:00,18,62,165,254,2,0
2019-07-08,12:00,18,63,134,247,3,0
2019-07-08,13:00,18,65,106,257,4,0
2019-07-08,14:00,17,70,68,269,5,0.1
2019-07-08,15:00,17,72,82,270,3,0.1
2019-07-08,16:00,17,74,80,262,2,0.2
2019-07-08,17:00,17,77,59,219,1,0.3
2019-07-08,18:00,17,80,46,159,1,0.2
