Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Monday 31/07/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-07-31,01:00,12,87,0,225,11,0.1
2017-07-31,02:00,12,89,0,232,11,0.1
2017-07-31,03:00,12,91,0,233,10,0.1
2017-07-31,04:00,12,90,0,230,9,0.1
2017-07-31,05:00,11,92,0,223,9,0.1
2017-07-31,06:00,12,90,9,222,9,0
2017-07-31,07:00,12,89,33,223,9,0
2017-07-31,08:00,13,83,68,233,11,0.1
2017-07-31,09:00,14,77,129,241,11,0.1
2017-07-31,10:00,15,71,171,235,11,0.2
2017-07-31,11:00,16,68,205,235,10,0.1
2017-07-31,12:00,16,67,231,230,9,0
2017-07-31,13:00,17,67,248,229,9,0
2017-07-31,14:00,18,67,243,236,9,0.1
2017-07-31,15:00,16,69,203,253,10,0.8
2017-07-31,16:00,15,78,139,247,9,0.1
2017-07-31,17:00,15,70,113,250,10,0
2017-07-31,18:00,15,70,72,249,8,0
2017-07-31,19:00,15,73,41,241,7,0
2017-07-31,20:00,14,78,16,236,6,0
2017-07-31,21:00,13,80,1,228,6,0
2017-07-31,22:00,13,84,0,220,6,0
2017-07-31,23:00,12,85,0,218,6,0
2017-08-01,00:00,12,85,0,227,6,0.1
2017-08-01,01:00,12,88,0,217,6,0
2017-08-01,02:00,11,90,0,210,5,0
2017-08-01,03:00,11,92,0,208,5,0
2017-08-01,04:00,11,94,0,210,6,0
2017-08-01,05:00,11,94,0,212,5,0
2017-08-01,06:00,11,93,14,212,6,0
2017-08-01,07:00,13,86,53,231,8,0
2017-08-01,08:00,14,78,90,242,8,0.1
2017-08-01,09:00,14,72,126,243,8,0.2
2017-08-01,10:00,15,70,144,248,8,0.3
2017-08-01,11:00,16,68,188,249,8,0.3
2017-08-01,12:00,16,64,218,247,8,0.4
2017-08-01,13:00,17,60,199,244,8,0.1
2017-08-01,14:00,18,57,206,243,9,0.1
2017-08-01,15:00,18,56,187,250,8,0.1
2017-08-01,16:00,18,57,153,244,9,0.1
2017-08-01,17:00,17,59,118,239,8,0
2017-08-01,18:00,17,65,66,246,7,0
2017-08-01,19:00,16,71,36,242,7,0
2017-08-01,20:00,15,77,11,242,4,0
2017-08-01,21:00,14,83,0,151,1,0
2017-08-01,22:00,13,84,0,139,4,0
2017-08-01,23:00,13,83,0,157,6,0
2017-08-02,00:00,13,84,0,152,7,0
2017-08-02,01:00,13,87,0,147,8,0
2017-08-02,02:00,13,88,0,138,8,0
2017-08-02,03:00,13,88,0,128,9,0.2
2017-08-02,04:00,13,86,0,123,10,0.1
2017-08-02,05:00,14,84,0,121,12,0
2017-08-02,06:00,14,83,2,123,13,0
2017-08-02,07:00,14,85,8,129,14,0
2017-08-02,08:00,15,86,14,135,14,0
2017-08-02,09:00,16,86,41,142,14,0
2017-08-02,10:00,17,87,54,155,10,0
2017-08-02,11:00,19,75,132,180,11,0.1
2017-08-02,12:00,21,66,189,189,10,0.1
2017-08-02,13:00,20,68,139,195,9,0.1
2017-08-02,14:00,20,68,165,201,10,0.3
2017-08-02,15:00,20,67,215,213,10,0.2
2017-08-02,16:00,19,69,128,227,9,0.2
2017-08-02,17:00,19,63,108,236,11,0.1
2017-08-02,18:00,18,65,92,227,10,0
2017-08-02,19:00,16,76,42,225,8,0.2
2017-08-02,20:00,16,77,10,204,8,0.1
2017-08-02,21:00,15,80,0,203,8,0.1
2017-08-02,22:00,15,82,0,186,8,0
2017-08-02,23:00,14,84,0,185,9,0
2017-08-03,00:00,14,83,0,189,10,0.1
2017-08-03,01:00,14,85,0,188,10,0.1
2017-08-03,02:00,14,84,0,190,11,0.2
2017-08-03,03:00,14,84,0,197,11,0.5
2017-08-03,04:00,14,85,0,199,12,0.3
2017-08-03,05:00,14,86,0,209,13,0.4
2017-08-03,06:00,14,87,2,221,14,0.1
2017-08-03,07:00,14,88,8,236,16,0.4
2017-08-03,08:00,14,88,28,245,16,0.6
2017-08-03,09:00,15,89,89,236,11,0.1
2017-08-03,10:00,15,88,92,243,11,0.6
2017-08-03,11:00,16,84,124,252,12,0.4
2017-08-03,12:00,16,83,77,249,11,0
2017-08-03,13:00,17,77,147,254,12,0
2017-08-03,14:00,17,69,172,259,12,0
2017-08-03,15:00,18,64,178,258,13,0
2017-08-03,16:00,18,64,163,258,12,0
2017-08-03,17:00,17,67,123,256,11,0
2017-08-03,18:00,17,70,84,257,11,0
