Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Tuesday 14/11/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-11-14,01:00,10,94,0,234,9,0
2017-11-14,02:00,10,96,0,238,8,0
2017-11-14,03:00,10,97,0,238,8,0
2017-11-14,04:00,10,98,0,239,7,0
2017-11-14,05:00,10,98,0,238,6,0
2017-11-14,06:00,10,98,0,238,5,0
2017-11-14,07:00,10,98,0,233,5,0
2017-11-14,08:00,10,98,0,229,6,0
2017-11-14,09:00,10,98,8,226,6,0
2017-11-14,10:00,11,93,26,230,9,0
2017-11-14,11:00,11,93,30,224,8,0
2017-11-14,12:00,11,91,43,226,8,0
2017-11-14,13:00,12,89,46,232,8,0
2017-11-14,14:00,12,88,24,230,7,0
2017-11-14,15:00,12,87,20,225,7,0
2017-11-14,16:00,12,88,6,229,8,0
2017-11-14,17:00,12,89,1,246,8,0
2017-11-14,18:00,11,95,0,267,7,0.6
2017-11-14,19:00,10,98,0,300,5,0.1
2017-11-14,20:00,10,97,0,315,4,0
2017-11-14,21:00,10,96,0,314,4,0
2017-11-14,22:00,9,97,0,304,2,0
2017-11-14,23:00,9,99,0,298,2,0
2017-11-15,00:00,7,100,0,282,2,0
2017-11-15,01:00,7,100,0,274,2,0
2017-11-15,02:00,8,100,0,197,1,0
2017-11-15,03:00,8,100,0,166,2,0
2017-11-15,04:00,7,100,0,154,2,0
2017-11-15,05:00,7,100,0,147,3,0
2017-11-15,06:00,7,99,0,151,4,0
2017-11-15,07:00,7,100,0,156,5,0
2017-11-15,08:00,7,99,0,158,5,0
2017-11-15,09:00,7,98,5,154,5,0
2017-11-15,10:00,8,95,22,156,6,0
2017-11-15,11:00,8,90,43,155,7,0
2017-11-15,12:00,10,84,57,174,7,0
2017-11-15,13:00,10,84,50,188,7,0
2017-11-15,14:00,11,84,47,183,7,0
2017-11-15,15:00,11,85,28,182,7,0
2017-11-15,16:00,10,89,8,161,5,0
2017-11-15,17:00,10,90,1,156,7,0
2017-11-15,18:00,10,90,0,175,8,0
2017-11-15,19:00,10,91,0,187,8,0
2017-11-15,20:00,10,89,0,196,8,0.2
2017-11-15,21:00,10,90,0,199,9,0.7
2017-11-15,22:00,10,91,0,204,9,0
2017-11-15,23:00,10,92,0,204,9,0
2017-11-16,00:00,9,90,0,201,9,0
2017-11-16,01:00,9,91,0,203,9,0
2017-11-16,02:00,9,88,0,206,10,0
2017-11-16,03:00,10,87,0,209,10,0
2017-11-16,04:00,10,86,0,214,10,0.1
2017-11-16,05:00,10,86,0,235,10,0.3
2017-11-16,06:00,10,91,0,278,7,0.5
2017-11-16,07:00,9,92,0,306,6,0.3
2017-11-16,08:00,8,90,0,301,6,0
2017-11-16,09:00,8,90,9,308,7,0
2017-11-16,10:00,8,86,37,314,7,0
2017-11-16,11:00,8,80,68,312,6,0
2017-11-16,12:00,9,68,92,315,7,0
2017-11-16,13:00,9,58,100,322,8,0
2017-11-16,14:00,9,55,85,315,7,0
2017-11-16,15:00,8,60,61,313,5,0
2017-11-16,16:00,8,68,21,302,3,0
2017-11-16,17:00,6,75,2,286,3,0
2017-11-16,18:00,6,75,0,278,3,0
2017-11-16,19:00,6,78,0,279,4,0
2017-11-16,20:00,5,80,0,282,4,0
2017-11-16,21:00,4,83,0,255,3,0
2017-11-16,22:00,4,82,0,229,4,0
2017-11-16,23:00,4,80,0,223,4,0
2017-11-17,00:00,4,76,0,228,4,0
2017-11-17,01:00,4,76,0,224,5,0
2017-11-17,02:00,4,77,0,231,5,0
2017-11-17,03:00,5,77,0,229,5,0
2017-11-17,04:00,5,79,0,222,5,0
2017-11-17,05:00,4,84,0,229,5,0
2017-11-17,06:00,4,82,0,228,6,0
2017-11-17,07:00,4,81,0,232,6,0
2017-11-17,08:00,5,78,0,237,6,0
2017-11-17,09:00,6,75,8,236,6,0
2017-11-17,10:00,7,73,36,245,6,0
2017-11-17,11:00,8,70,61,251,6,0
2017-11-17,12:00,9,68,63,253,7,0
2017-11-17,13:00,9,70,40,261,6,0
2017-11-17,14:00,9,67,51,274,8,0
2017-11-17,15:00,9,66,34,270,8,0
2017-11-17,16:00,8,65,16,273,7,0
2017-11-17,17:00,8,67,1,269,7,0
2017-11-17,18:00,8,72,0,263,7,0
