Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Wednesday 20/12/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-12-20,01:00,12,93,0,194,9,0
2017-12-20,02:00,12,93,0,205,9,0
2017-12-20,03:00,12,94,0,213,8,0
2017-12-20,04:00,12,94,0,219,8,0
2017-12-20,05:00,12,94,0,225,7,0
2017-12-20,06:00,12,96,0,236,6,0
2017-12-20,07:00,12,97,0,242,5,0
2017-12-20,08:00,11,98,0,248,5,0
2017-12-20,09:00,11,99,0,258,4,0
2017-12-20,10:00,11,100,5,265,4,0
2017-12-20,11:00,11,96,19,269,3,0
2017-12-20,12:00,11,93,38,267,3,0
2017-12-20,13:00,11,94,47,278,2,0
2017-12-20,14:00,11,95,42,300,2,0
2017-12-20,15:00,10,96,22,280,1,0
2017-12-20,16:00,10,96,3,116,1,0
2017-12-20,17:00,10,98,0,94,1,0
2017-12-20,18:00,10,97,0,113,3,0
2017-12-20,19:00,10,97,0,132,4,0.3
2017-12-20,20:00,11,97,0,148,6,0.7
2017-12-20,21:00,11,97,0,185,6,0.8
2017-12-20,22:00,12,97,0,213,6,0.1
2017-12-20,23:00,12,96,0,225,7,0
2017-12-21,00:00,12,95,0,225,8,0
2017-12-21,01:00,12,95,0,227,8,0
2017-12-21,02:00,11,95,0,233,8,0
2017-12-21,03:00,11,96,0,232,8,0
2017-12-21,04:00,11,97,0,231,8,0
2017-12-21,05:00,10,97,0,228,7,0
2017-12-21,06:00,11,97,0,227,7,0
2017-12-21,07:00,11,96,0,226,7,0
2017-12-21,08:00,11,95,0,217,7,0
2017-12-21,09:00,11,93,0,215,7,0
2017-12-21,10:00,11,92,4,219,7,0
2017-12-21,11:00,11,90,10,223,8,0
2017-12-21,12:00,11,88,19,221,7,0
2017-12-21,13:00,11,87,31,219,6,0
2017-12-21,14:00,11,90,13,230,8,0
2017-12-21,15:00,11,91,12,232,6,0.1
2017-12-21,16:00,10,92,7,225,6,0.1
2017-12-21,17:00,11,94,0,218,6,0
2017-12-21,18:00,11,93,0,197,6,0.1
2017-12-21,19:00,11,91,0,186,7,0
2017-12-21,20:00,11,90,0,189,8,0.4
2017-12-21,21:00,11,92,0,192,9,2.4
2017-12-21,22:00,11,92,0,192,8,0
2017-12-21,23:00,11,93,0,200,8,0
2017-12-22,00:00,11,94,0,208,8,0
2017-12-22,01:00,11,95,0,216,7,0
2017-12-22,02:00,11,96,0,230,6,0
2017-12-22,03:00,11,96,0,228,5,0
2017-12-22,04:00,11,97,0,234,5,0
2017-12-22,05:00,11,98,0,245,5,0
2017-12-22,06:00,10,99,0,255,5,0
2017-12-22,07:00,10,99,0,272,5,0
2017-12-22,08:00,10,99,0,286,6,0
2017-12-22,09:00,10,99,0,299,5,0
2017-12-22,10:00,10,99,5,290,4,0
2017-12-22,11:00,10,98,13,285,5,0
2017-12-22,12:00,10,97,16,285,5,0
2017-12-22,13:00,11,92,26,284,5,0
2017-12-22,14:00,11,94,19,283,5,0
2017-12-22,15:00,11,94,12,268,4,0
2017-12-22,16:00,10,96,5,256,5,0
2017-12-22,17:00,10,96,0,270,6,0
2017-12-22,18:00,10,95,0,274,5,0
2017-12-22,19:00,9,96,0,258,5,0
2017-12-22,20:00,9,97,0,239,5,0
2017-12-22,21:00,8,97,0,237,6,0
2017-12-22,22:00,8,98,0,234,6,0
2017-12-22,23:00,8,98,0,227,6,0
2017-12-23,00:00,9,98,0,228,6,0
2017-12-23,01:00,9,98,0,230,7,0
2017-12-23,02:00,9,98,0,233,7,0
2017-12-23,03:00,9,98,0,235,7,0
2017-12-23,04:00,9,97,0,228,7,0
2017-12-23,05:00,9,97,0,228,7,0
2017-12-23,06:00,9,97,0,230,8,0
2017-12-23,07:00,10,97,0,229,8,0
2017-12-23,08:00,10,97,0,236,9,0
2017-12-23,09:00,10,97,0,235,8,0
2017-12-23,10:00,11,95,5,231,9,0
2017-12-23,11:00,11,94,24,242,9,0
2017-12-23,12:00,11,91,39,246,10,0
2017-12-23,13:00,12,90,31,244,10,0
2017-12-23,14:00,12,90,26,241,11,0
2017-12-23,15:00,11,92,19,244,9,0
2017-12-23,16:00,11,93,6,243,9,0
2017-12-23,17:00,11,94,0,244,9,0
2017-12-23,18:00,11,94,0,239,9,0
