Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Thursday 30/05/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-05-30,01:00,14,93,0,236,10,0.1
2019-05-30,02:00,14,93,0,238,11,0.1
2019-05-30,03:00,14,93,0,238,11,0
2019-05-30,04:00,14,94,0,238,11,0.1
2019-05-30,05:00,14,94,1,237,10,0.1
2019-05-30,06:00,14,94,10,237,10,0.1
2019-05-30,07:00,14,93,25,235,10,0
2019-05-30,08:00,15,92,43,234,12,0
2019-05-30,09:00,15,89,49,235,12,0
2019-05-30,10:00,16,83,107,232,13,0.1
2019-05-30,11:00,17,79,112,228,13,0
2019-05-30,12:00,18,72,159,236,13,0
2019-05-30,13:00,18,71,149,237,13,0.1
2019-05-30,14:00,19,68,165,237,11,0
2019-05-30,15:00,19,68,154,242,11,0
2019-05-30,16:00,18,72,106,242,9,0
2019-05-30,17:00,18,72,92,236,10,0
2019-05-30,18:00,18,75,75,238,9,0
2019-05-30,19:00,17,79,44,239,9,0
2019-05-30,20:00,16,82,15,224,7,0
2019-05-30,21:00,16,82,2,212,7,0
2019-05-30,22:00,16,83,0,209,8,0
2019-05-30,23:00,15,85,0,208,8,0
2019-05-31,00:00,15,88,0,204,8,0.1
2019-05-31,01:00,15,89,0,198,8,0.2
2019-05-31,02:00,14,90,0,197,8,0.2
2019-05-31,03:00,14,90,0,200,8,0.1
2019-05-31,04:00,14,91,0,199,8,0.6
2019-05-31,05:00,14,91,1,196,8,0.3
2019-05-31,06:00,14,91,14,195,9,0
2019-05-31,07:00,15,89,46,197,10,0
2019-05-31,08:00,14,92,22,191,10,0.7
2019-05-31,09:00,15,90,51,188,10,0.2
2019-05-31,10:00,16,82,108,186,11,0
2019-05-31,11:00,17,74,125,193,12,0
2019-05-31,12:00,19,63,226,208,15,0
2019-05-31,13:00,19,64,131,222,14,0
2019-05-31,14:00,18,70,129,229,14,0.4
2019-05-31,15:00,17,80,59,219,7,0.5
2019-05-31,16:00,15,90,29,243,12,1.5
2019-05-31,17:00,15,91,43,256,8,0.4
2019-05-31,18:00,14,91,46,242,7,0.1
2019-05-31,19:00,14,89,65,239,6,0
2019-05-31,20:00,14,90,28,248,5,0
2019-05-31,21:00,13,91,4,249,5,0
2019-05-31,22:00,12,90,0,257,4,0
2019-05-31,23:00,11,91,0,248,3,0
2019-06-01,00:00,10,92,0,240,3,0
2019-06-01,01:00,10,92,0,196,3,0
2019-06-01,02:00,10,93,0,157,2,0
2019-06-01,03:00,9,96,0,153,3,0
2019-06-01,04:00,10,94,0,163,3,0
2019-06-01,05:00,10,95,4,164,3,0
2019-06-01,06:00,10,94,14,148,3,0
2019-06-01,07:00,11,93,19,107,2,0
2019-06-01,08:00,12,92,24,114,3,0.2
2019-06-01,09:00,13,89,41,144,5,0.1
2019-06-01,10:00,13,84,55,133,4,0
2019-06-01,11:00,14,81,52,137,5,0
2019-06-01,12:00,14,82,56,126,4,0.2
2019-06-01,13:00,15,83,69,136,4,0.2
2019-06-01,14:00,16,82,66,144,4,0.3
2019-06-01,15:00,15,87,43,137,5,0.1
2019-06-01,16:00,16,83,63,158,5,0
2019-06-01,17:00,17,78,70,171,6,0
2019-06-01,18:00,16,80,43,178,6,0
2019-06-01,19:00,16,81,32,170,7,0
2019-06-01,20:00,16,83,11,162,8,0
2019-06-01,21:00,15,86,1,161,9,0.1
2019-06-01,22:00,14,90,0,161,10,0.1
2019-06-01,23:00,13,91,0,163,10,0.2
2019-06-02,00:00,13,92,0,159,11,0.1
2019-06-02,01:00,14,93,0,164,11,1.3
2019-06-02,02:00,14,93,0,166,11,0.6
2019-06-02,03:00,14,92,0,171,11,0.7
2019-06-02,04:00,14,92,0,173,11,0.2
2019-06-02,05:00,14,93,2,179,10,0.4
2019-06-02,06:00,14,93,15,199,9,0.2
2019-06-02,07:00,14,92,18,250,12,0.7
2019-06-02,08:00,13,83,85,250,11,0
2019-06-02,09:00,14,72,141,246,12,0
2019-06-02,10:00,14,62,181,244,13,0
2019-06-02,11:00,14,57,157,240,13,0
2019-06-02,12:00,15,48,246,238,16,0
2019-06-02,13:00,15,50,222,239,17,0
2019-06-02,14:00,15,55,118,236,17,0.1
2019-06-02,15:00,14,60,179,245,19,0.1
2019-06-02,16:00,14,68,154,246,17,0.1
2019-06-02,17:00,13,70,123,247,15,0
2019-06-02,18:00,13,70,85,249,14,0
