Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Sunday 08/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-08,01:00,10,95,0,238,3,0
2019-09-08,02:00,10,96,0,226,3,0
2019-09-08,03:00,10,96,0,202,3,0
2019-09-08,04:00,10,95,0,192,3,0
2019-09-08,05:00,10,93,0,188,3,0
2019-09-08,06:00,11,91,0,188,3,0
2019-09-08,07:00,12,88,8,185,3,0
2019-09-08,08:00,13,82,35,198,3,0
2019-09-08,09:00,14,76,83,216,4,0
2019-09-08,10:00,15,71,127,214,5,0
2019-09-08,11:00,16,66,154,210,5,0
2019-09-08,12:00,17,64,130,205,5,0
2019-09-08,13:00,17,63,116,206,5,0
2019-09-08,14:00,18,62,138,208,5,0
2019-09-08,15:00,18,62,98,217,7,0
2019-09-08,16:00,18,68,103,210,8,0
2019-09-08,17:00,17,73,49,197,5,0
2019-09-08,18:00,16,80,16,219,5,0.4
2019-09-08,19:00,15,92,3,242,5,1.7
2019-09-08,20:00,14,94,0,220,3,0.5
2019-09-08,21:00,14,94,0,201,4,0.8
2019-09-08,22:00,14,95,0,197,4,0.8
2019-09-08,23:00,14,92,0,207,7,0.5
2019-09-09,00:00,14,93,0,194,7,0.5
2019-09-09,01:00,13,93,0,195,6,1.1
2019-09-09,02:00,13,92,0,225,9,0.2
2019-09-09,03:00,12,92,0,288,12,0
2019-09-09,04:00,11,91,0,297,10,0
2019-09-09,05:00,11,91,0,300,9,0
2019-09-09,06:00,10,93,0,305,8,0
2019-09-09,07:00,10,92,13,309,8,0
2019-09-09,08:00,11,88,47,311,9,0
2019-09-09,09:00,12,82,94,324,12,0.1
2019-09-09,10:00,13,75,121,329,12,0.1
2019-09-09,11:00,14,71,162,327,11,0
2019-09-09,12:00,15,66,173,328,11,0
2019-09-09,13:00,15,61,185,332,12,0.1
2019-09-09,14:00,15,64,180,333,13,0.2
2019-09-09,15:00,14,63,132,332,12,0.1
2019-09-09,16:00,15,61,124,331,12,0
2019-09-09,17:00,14,64,88,332,11,0
2019-09-09,18:00,13,70,51,330,10,0
2019-09-09,19:00,12,72,13,327,9,0
2019-09-09,20:00,12,73,0,325,8,0
2019-09-09,21:00,11,78,0,328,7,0
2019-09-09,22:00,10,84,0,325,6,0
2019-09-09,23:00,9,89,0,311,5,0
2019-09-10,00:00,9,91,0,305,4,0
2019-09-10,01:00,8,92,0,288,4,0
2019-09-10,02:00,8,93,0,280,4,0
2019-09-10,03:00,9,94,0,279,4,0
2019-09-10,04:00,8,95,0,281,5,0
2019-09-10,05:00,8,95,0,284,3,0
2019-09-10,06:00,8,96,0,255,4,0
2019-09-10,07:00,9,94,12,198,3,0
2019-09-10,08:00,11,88,47,198,4,0
2019-09-10,09:00,12,79,76,214,4,0
2019-09-10,10:00,13,70,122,230,6,0
2019-09-10,11:00,14,67,109,223,8,0
2019-09-10,12:00,14,68,87,221,8,0
2019-09-10,13:00,15,65,107,233,11,0
2019-09-10,14:00,15,67,104,226,10,0
2019-09-10,15:00,15,68,72,220,9,0
2019-09-10,16:00,15,71,54,206,8,0
2019-09-10,17:00,15,76,42,204,10,0.2
2019-09-10,18:00,14,82,12,203,10,0.2
2019-09-10,19:00,14,85,5,207,10,0
2019-09-10,20:00,15,85,0,210,11,0
2019-09-10,21:00,15,88,0,214,11,0
2019-09-10,22:00,16,89,0,222,12,0.1
2019-09-10,23:00,16,90,0,228,12,0
2019-09-11,00:00,16,91,0,233,12,0.5
2019-09-11,01:00,16,92,0,235,13,0.3
2019-09-11,02:00,16,92,0,234,13,0.2
2019-09-11,03:00,16,93,0,240,12,0.3
2019-09-11,04:00,16,93,0,247,12,0.4
2019-09-11,05:00,16,94,0,263,12,0.3
2019-09-11,06:00,15,90,0,270,12,0.1
2019-09-11,07:00,14,87,8,271,10,0
2019-09-11,08:00,14,82,37,265,10,0
2019-09-11,09:00,15,75,95,255,9,0
2019-09-11,10:00,16,69,142,267,12,0
2019-09-11,11:00,16,68,128,264,13,0.1
2019-09-11,12:00,16,66,130,267,13,0.1
2019-09-11,13:00,16,65,100,267,12,0
2019-09-11,14:00,16,69,99,263,13,0.1
2019-09-11,15:00,16,70,73,267,11,0
2019-09-11,16:00,16,66,107,265,11,0
2019-09-11,17:00,16,68,77,265,10,0
2019-09-11,18:00,15,73,36,260,8,0
