Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Friday 18/10/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-10-18,01:00,7,90,0,161,9,0
2019-10-18,02:00,7,88,0,167,9,0
2019-10-18,03:00,8,88,0,168,9,0.6
2019-10-18,04:00,8,90,0,184,8,0.1
2019-10-18,05:00,8,91,0,187,8,0
2019-10-18,06:00,7,92,0,181,7,0
2019-10-18,07:00,7,92,0,163,7,0
2019-10-18,08:00,7,92,9,145,6,0
2019-10-18,09:00,8,91,42,121,6,0
2019-10-18,10:00,9,89,63,113,4,0.4
2019-10-18,11:00,9,89,44,82,4,0.3
2019-10-18,12:00,9,92,21,30,3,0.4
2019-10-18,13:00,10,90,38,347,3,0.1
2019-10-18,14:00,10,90,89,320,4,0.1
2019-10-18,15:00,10,90,59,314,6,0.7
2019-10-18,16:00,10,90,58,319,7,0.3
2019-10-18,17:00,9,90,22,323,6,0.4
2019-10-18,18:00,8,93,2,299,5,0
2019-10-18,19:00,8,93,0,291,6,0
2019-10-18,20:00,8,93,0,298,6,0
2019-10-18,21:00,8,94,0,289,5,0
2019-10-18,22:00,7,94,0,287,5,0.1
2019-10-18,23:00,7,94,0,295,5,0
2019-10-19,00:00,7,94,0,300,5,0
2019-10-19,01:00,6,96,0,297,4,0
2019-10-19,02:00,6,96,0,289,4,0
2019-10-19,03:00,6,97,0,291,4,0
2019-10-19,04:00,5,98,0,311,4,0
2019-10-19,05:00,5,98,0,293,4,0
2019-10-19,06:00,5,98,0,287,4,0
2019-10-19,07:00,5,98,0,285,4,0
2019-10-19,08:00,6,98,7,290,4,0
2019-10-19,09:00,7,97,24,297,4,0.1
2019-10-19,10:00,8,96,29,302,5,0.2
2019-10-19,11:00,9,89,80,321,6,0.2
2019-10-19,12:00,10,86,86,327,7,0
2019-10-19,13:00,11,85,76,331,6,0.1
2019-10-19,14:00,12,84,95,325,6,0.1
2019-10-19,15:00,12,86,69,324,7,0.2
2019-10-19,16:00,11,86,31,345,10,2.8
2019-10-19,17:00,10,85,18,336,6,0.1
2019-10-19,18:00,9,85,1,332,6,0
2019-10-19,19:00,8,88,0,332,6,0
2019-10-19,20:00,7,90,0,337,6,0
2019-10-19,21:00,7,91,0,336,6,0
2019-10-19,22:00,6,92,0,334,6,0
2019-10-19,23:00,6,94,0,332,5,0
2019-10-20,00:00,6,95,0,333,5,0
2019-10-20,01:00,6,95,0,332,5,0
2019-10-20,02:00,6,96,0,340,6,0
2019-10-20,03:00,7,95,0,352,7,0
2019-10-20,04:00,6,93,0,355,7,0
2019-10-20,05:00,6,93,0,344,6,0
2019-10-20,06:00,6,92,0,333,6,0
2019-10-20,07:00,6,90,0,337,7,0
2019-10-20,08:00,6,90,8,342,7,0
2019-10-20,09:00,8,91,42,349,7,0
2019-10-20,10:00,9,84,88,0,8,0
2019-10-20,11:00,10,77,111,10,10,0
2019-10-20,12:00,11,72,129,2,10,0.1
2019-10-20,13:00,11,64,139,4,11,0
2019-10-20,14:00,11,64,102,5,11,0.1
2019-10-20,15:00,10,57,75,5,11,0
2019-10-20,16:00,10,54,37,11,9,0
2019-10-20,17:00,9,59,24,4,7,0
2019-10-20,18:00,8,63,1,2,7,0
2019-10-20,19:00,8,69,0,359,7,0
2019-10-20,20:00,8,73,0,355,7,0
2019-10-20,21:00,7,78,0,358,7,0
2019-10-20,22:00,6,83,0,359,6,0
2019-10-20,23:00,6,87,0,359,5,0
2019-10-21,00:00,5,90,0,355,5,0
2019-10-21,01:00,5,91,0,352,5,0
2019-10-21,02:00,4,90,0,0,5,0
2019-10-21,03:00,5,89,0,6,4,0
2019-10-21,04:00,4,89,0,339,4,0
2019-10-21,05:00,4,90,0,359,4,0
2019-10-21,06:00,3,91,0,3,4,0
2019-10-21,07:00,3,91,0,359,3,0
2019-10-21,08:00,4,89,9,341,2,0
2019-10-21,09:00,5,86,50,328,2,0
2019-10-21,10:00,7,80,94,330,2,0
2019-10-21,11:00,8,74,129,334,2,0
2019-10-21,12:00,9,68,151,331,2,0
2019-10-21,13:00,10,61,155,327,2,0
2019-10-21,14:00,10,59,136,320,3,0
2019-10-21,15:00,10,58,105,317,3,0
2019-10-21,16:00,10,64,66,307,3,0
2019-10-21,17:00,8,72,25,292,2,0
2019-10-21,18:00,8,70,1,217,2,0
