Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Saturday 16/11/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-11-16,01:00,1,94,0,315,4,0
2019-11-16,02:00,1,94,0,324,4,0
2019-11-16,03:00,0,96,0,329,3,0
2019-11-16,04:00,1,95,0,326,3,0
2019-11-16,05:00,1,95,0,322,3,0
2019-11-16,06:00,0,95,0,297,4,0
2019-11-16,07:00,0,96,0,316,4,0
2019-11-16,08:00,1,95,0,305,2,0
2019-11-16,09:00,1,95,7,119,1,0
2019-11-16,10:00,2,91,21,67,1,0
2019-11-16,11:00,3,89,23,269,1,0
2019-11-16,12:00,4,87,32,271,1,0
2019-11-16,13:00,4,86,36,287,2,0
2019-11-16,14:00,4,84,48,289,2,0
2019-11-16,15:00,4,87,29,296,2,0
2019-11-16,16:00,4,90,12,270,3,0
2019-11-16,17:00,4,92,1,273,2,0.1
2019-11-16,18:00,3,94,0,305,3,0.1
2019-11-16,19:00,4,93,0,359,2,0.1
2019-11-16,20:00,3,94,0,21,2,0
2019-11-16,21:00,3,94,0,346,2,0
2019-11-16,22:00,3,95,0,307,2,0
2019-11-16,23:00,3,95,0,288,2,0
2019-11-17,00:00,3,96,0,319,2,0
2019-11-17,01:00,3,96,0,326,2,0
2019-11-17,02:00,3,96,0,349,3,0
2019-11-17,03:00,2,97,0,338,3,0
2019-11-17,04:00,2,97,0,349,4,0
2019-11-17,05:00,1,96,0,347,5,0
2019-11-17,06:00,1,95,0,339,4,0
2019-11-17,07:00,2,93,0,315,4,0
2019-11-17,08:00,3,92,0,330,5,0
2019-11-17,09:00,4,91,3,347,8,0
2019-11-17,10:00,5,88,13,353,9,0
2019-11-17,11:00,6,87,21,359,9,0
2019-11-17,12:00,6,86,43,353,8,0
2019-11-17,13:00,6,83,57,354,8,0
2019-11-17,14:00,7,80,76,354,8,0
2019-11-17,15:00,6,79,62,355,9,0
2019-11-17,16:00,6,81,29,1,8,0
2019-11-17,17:00,4,86,2,358,6,0
2019-11-17,18:00,3,90,0,354,6,0
2019-11-17,19:00,3,91,0,353,6,0
2019-11-17,20:00,2,91,0,6,6,0
2019-11-17,21:00,2,91,0,12,6,0
2019-11-17,22:00,1,92,0,17,5,0
2019-11-17,23:00,0,92,0,10,4,0
2019-11-18,00:00,0,93,0,1,4,0
2019-11-18,01:00,-1,95,0,343,4,0
2019-11-18,02:00,-1,95,0,54,4,0
2019-11-18,03:00,-2,93,0,93,4,0
2019-11-18,04:00,-1,91,0,100,4,0
2019-11-18,05:00,-1,90,0,90,3,0
2019-11-18,06:00,-1,90,0,107,4,0
2019-11-18,07:00,-1,90,0,130,5,0
2019-11-18,08:00,-1,90,0,145,5,0
2019-11-18,09:00,0,90,11,129,5,0
2019-11-18,10:00,2,88,45,130,5,0
2019-11-18,11:00,4,85,77,131,5,0
2019-11-18,12:00,5,82,96,133,5,0
2019-11-18,13:00,6,81,97,135,5,0
2019-11-18,14:00,6,81,84,136,5,0
2019-11-18,15:00,6,85,43,132,6,0
2019-11-18,16:00,6,87,22,131,6,0
2019-11-18,17:00,5,91,2,128,7,0
2019-11-18,18:00,5,93,0,126,9,0
2019-11-18,19:00,5,94,0,131,8,0
2019-11-18,20:00,6,94,0,144,8,0
2019-11-18,21:00,6,91,0,146,8,0
2019-11-18,22:00,6,90,0,149,8,0
2019-11-18,23:00,6,88,0,147,8,0
2019-11-19,00:00,6,86,0,149,8,0
2019-11-19,01:00,6,87,0,143,8,0
2019-11-19,02:00,6,89,0,134,9,0
2019-11-19,03:00,6,91,0,138,9,0
2019-11-19,04:00,6,91,0,141,9,0
2019-11-19,05:00,6,87,0,139,10,0
2019-11-19,06:00,7,86,0,142,9,0
2019-11-19,07:00,7,85,0,145,9,0.1
2019-11-19,08:00,7,88,0,154,8,0.4
2019-11-19,09:00,7,93,1,154,6,0.5
2019-11-19,10:00,7,94,7,163,5,0.6
2019-11-19,11:00,7,94,10,182,5,0.2
2019-11-19,12:00,8,91,46,198,4,0
2019-11-19,13:00,8,84,94,202,3,0
2019-11-19,14:00,8,80,85,195,3,0
2019-11-19,15:00,8,83,62,162,3,0
2019-11-19,16:00,7,89,28,145,4,0
2019-11-19,17:00,5,92,2,137,5,0
2019-11-19,18:00,5,94,0,140,6,0
