Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Thursday 20/04/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-20,01:00,10,91,0,276,4,0
2017-04-20,02:00,10,92,0,299,4,0
2017-04-20,03:00,10,92,0,324,5,0
2017-04-20,04:00,10,91,0,333,6,0
2017-04-20,05:00,10,90,0,337,6,0
2017-04-20,06:00,10,86,3,343,6,0
2017-04-20,07:00,10,84,24,342,6,0
2017-04-20,08:00,11,80,49,343,5,0
2017-04-20,09:00,12,76,100,343,4,0
2017-04-20,10:00,13,70,154,344,2,0
2017-04-20,11:00,14,64,205,178,1,0.2
2017-04-20,12:00,14,72,167,173,5,0
2017-04-20,13:00,12,80,118,174,6,0
2017-04-20,14:00,12,79,95,184,6,0
2017-04-20,15:00,12,77,103,210,6,0
2017-04-20,16:00,12,75,104,215,6,0
2017-04-20,17:00,12,76,60,215,6,0
2017-04-20,18:00,12,78,33,218,6,0
2017-04-20,19:00,11,83,11,225,6,0
2017-04-20,20:00,11,88,1,238,4,0
2017-04-20,21:00,11,85,0,290,3,0
2017-04-20,22:00,12,80,0,318,4,0
2017-04-20,23:00,11,81,0,329,5,0
2017-04-21,00:00,10,84,0,337,5,0
2017-04-21,01:00,10,87,0,334,5,0
2017-04-21,02:00,9,89,0,329,5,0
2017-04-21,03:00,9,90,0,326,6,0
2017-04-21,04:00,9,91,0,326,5,0
2017-04-21,05:00,9,90,0,331,5,0
2017-04-21,06:00,9,89,5,340,5,0
2017-04-21,07:00,10,85,30,353,5,0
2017-04-21,08:00,12,78,81,15,4,0
2017-04-21,09:00,12,74,121,28,3,0
2017-04-21,10:00,13,65,193,32,2,0
2017-04-21,11:00,14,62,218,120,1,0
2017-04-21,12:00,13,69,220,163,3,0
2017-04-21,13:00,13,75,190,189,6,0
2017-04-21,14:00,13,72,171,200,7,0
2017-04-21,15:00,13,72,126,211,8,0
2017-04-21,16:00,13,74,109,217,7,0
2017-04-21,17:00,12,76,71,221,7,0
2017-04-21,18:00,12,76,44,233,7,0
2017-04-21,19:00,12,78,17,253,6,0
2017-04-21,20:00,12,79,2,275,5,0
2017-04-21,21:00,12,80,0,290,4,0
2017-04-21,22:00,12,79,0,308,4,0
2017-04-21,23:00,11,77,0,331,5,0
2017-04-22,00:00,11,79,0,343,7,0
2017-04-22,01:00,11,80,0,357,7,0
2017-04-22,02:00,10,79,0,0,6,0
2017-04-22,03:00,10,79,0,353,6,0
2017-04-22,04:00,10,79,0,352,6,0
2017-04-22,05:00,9,83,0,7,6,0
2017-04-22,06:00,9,86,4,18,6,0
2017-04-22,07:00,9,86,41,27,6,0
2017-04-22,08:00,10,82,100,45,7,0
2017-04-22,09:00,10,80,140,55,7,0
2017-04-22,10:00,10,78,168,62,7,0
2017-04-22,11:00,10,78,168,68,7,0
2017-04-22,12:00,10,75,192,80,7,0
2017-04-22,13:00,10,74,216,82,6,0
2017-04-22,14:00,11,74,208,86,5,0
2017-04-22,15:00,10,75,175,91,4,0
2017-04-22,16:00,10,76,134,90,3,0
2017-04-22,17:00,10,76,99,123,2,0
2017-04-22,18:00,10,78,63,136,2,0
2017-04-22,19:00,10,81,26,120,4,0
2017-04-22,20:00,8,84,3,145,3,0
2017-04-22,21:00,8,86,0,185,3,0
2017-04-22,22:00,8,89,0,177,2,0
2017-04-22,23:00,8,91,0,185,2,0
2017-04-23,00:00,8,90,0,197,3,0
2017-04-23,01:00,8,90,0,198,4,0
2017-04-23,02:00,8,91,0,207,5,0
2017-04-23,03:00,8,92,0,223,5,0
2017-04-23,04:00,8,93,0,231,6,0
2017-04-23,05:00,8,94,0,240,5,0
2017-04-23,06:00,9,95,6,244,6,0
2017-04-23,07:00,10,92,39,246,5,0
2017-04-23,08:00,11,87,82,247,5,0
2017-04-23,09:00,12,84,116,237,5,0
2017-04-23,10:00,12,80,166,231,6,0
2017-04-23,11:00,13,77,222,223,8,0.2
2017-04-23,12:00,12,81,217,221,9,0
2017-04-23,13:00,12,81,131,222,9,0
2017-04-23,14:00,12,80,114,225,8,0
2017-04-23,15:00,13,78,149,229,8,0
2017-04-23,16:00,13,77,133,223,9,0
2017-04-23,17:00,12,73,96,233,9,0
2017-04-23,18:00,12,73,50,235,9,0
