Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Tuesday 13/06/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-06-13,01:00,13,93,0,235,11,0
2017-06-13,02:00,13,93,0,237,12,0
2017-06-13,03:00,13,94,0,240,11,0
2017-06-13,04:00,12,96,0,247,10,0
2017-06-13,05:00,12,94,7,251,9,0
2017-06-13,06:00,13,90,36,245,8,0
2017-06-13,07:00,14,85,82,239,10,0
2017-06-13,08:00,14,83,109,233,10,0
2017-06-13,09:00,14,85,136,220,10,0
2017-06-13,10:00,14,85,122,218,10,0.1
2017-06-13,11:00,14,85,97,220,11,0
2017-06-13,12:00,15,83,180,222,12,0
2017-06-13,13:00,15,80,243,220,11,0
2017-06-13,14:00,15,79,273,219,11,0
2017-06-13,15:00,15,82,278,217,11,0
2017-06-13,16:00,15,84,217,214,10,0
2017-06-13,17:00,14,86,190,213,10,0
2017-06-13,18:00,14,88,129,209,9,0
2017-06-13,19:00,13,90,70,209,9,0
2017-06-13,20:00,13,93,20,211,9,0
2017-06-13,21:00,12,96,4,203,8,0
2017-06-13,22:00,12,97,0,200,8,0
2017-06-13,23:00,12,97,0,196,8,0
2017-06-14,00:00,12,97,0,203,8,0
2017-06-14,01:00,12,97,0,209,7,0
2017-06-14,02:00,12,97,0,201,7,0
2017-06-14,03:00,12,98,0,187,6,0
2017-06-14,04:00,12,98,0,191,6,0
2017-06-14,05:00,12,98,7,196,6,0
2017-06-14,06:00,12,94,36,192,7,0
2017-06-14,07:00,13,92,70,183,7,0
2017-06-14,08:00,13,90,104,193,8,0
2017-06-14,09:00,13,88,116,201,8,0
2017-06-14,10:00,14,87,167,197,8,0
2017-06-14,11:00,14,83,231,198,9,0
2017-06-14,12:00,14,83,226,204,9,0
2017-06-14,13:00,15,81,285,206,10,0
2017-06-14,14:00,15,80,280,204,10,0
2017-06-14,15:00,14,79,238,210,11,0
2017-06-14,16:00,14,82,184,206,11,0
2017-06-14,17:00,14,83,138,205,11,0
2017-06-14,18:00,14,87,82,209,11,0
2017-06-14,19:00,13,90,33,209,11,0
2017-06-14,20:00,13,91,18,207,10,0
2017-06-14,21:00,13,92,2,198,11,0.3
2017-06-14,22:00,12,93,0,195,11,0
2017-06-14,23:00,13,92,0,200,13,0
2017-06-15,00:00,13,91,0,200,14,0
2017-06-15,01:00,13,91,0,204,14,0
2017-06-15,02:00,14,92,0,205,16,0.2
2017-06-15,03:00,14,94,0,219,15,0.1
2017-06-15,04:00,14,95,0,230,13,0
2017-06-15,05:00,13,92,6,241,14,0
2017-06-15,06:00,13,88,43,246,13,0
2017-06-15,07:00,14,83,97,241,13,0
2017-06-15,08:00,14,80,153,239,15,0
2017-06-15,09:00,14,77,186,240,15,0
2017-06-15,10:00,15,74,223,236,14,0
2017-06-15,11:00,15,78,253,228,16,0
2017-06-15,12:00,15,74,240,230,17,0
2017-06-15,13:00,15,72,294,233,19,0
2017-06-15,14:00,15,74,277,232,20,0
2017-06-15,15:00,15,75,229,233,19,0
2017-06-15,16:00,15,73,185,237,17,0
2017-06-15,17:00,15,76,138,236,15,0
2017-06-15,18:00,15,76,44,245,10,0
2017-06-15,19:00,15,69,42,252,10,0
2017-06-15,20:00,15,64,25,264,11,0
2017-06-15,21:00,14,66,4,268,9,0
2017-06-15,22:00,13,70,0,269,9,0
2017-06-15,23:00,13,73,0,264,9,0
2017-06-16,00:00,12,76,0,261,9,0
2017-06-16,01:00,12,78,0,260,9,0
2017-06-16,02:00,11,81,0,259,9,0
2017-06-16,03:00,11,83,0,257,9,0
2017-06-16,04:00,11,84,0,255,9,0
2017-06-16,05:00,12,86,7,252,10,0
2017-06-16,06:00,13,85,37,255,10,0
2017-06-16,07:00,14,80,84,262,11,0
2017-06-16,08:00,15,79,139,263,10,0
2017-06-16,09:00,16,77,176,251,9,0
2017-06-16,10:00,16,77,203,234,9,0
2017-06-16,11:00,16,81,239,220,11,0
2017-06-16,12:00,16,84,189,220,11,0
2017-06-16,13:00,16,85,158,226,12,0
2017-06-16,14:00,16,86,158,227,11,0
2017-06-16,15:00,16,86,155,230,11,0
2017-06-16,16:00,16,87,129,233,10,0
2017-06-16,17:00,17,86,150,235,10,0
2017-06-16,18:00,17,87,103,239,10,0
