Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Monday 10/07/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-07-10,01:00,15,82,0,286,8,0
2017-07-10,02:00,14,85,0,285,8,0
2017-07-10,03:00,13,89,0,280,7,0
2017-07-10,04:00,13,91,0,277,7,0
2017-07-10,05:00,12,91,3,276,7,0
2017-07-10,06:00,13,89,26,276,7,0
2017-07-10,07:00,14,81,65,290,8,0
2017-07-10,08:00,15,75,88,291,6,0
2017-07-10,09:00,16,74,81,297,6,0.1
2017-07-10,10:00,16,71,102,300,4,0.2
2017-07-10,11:00,16,68,132,238,5,0.2
2017-07-10,12:00,16,77,149,240,8,0.3
2017-07-10,13:00,16,76,150,250,8,0.1
2017-07-10,14:00,16,76,166,239,9,0.2
2017-07-10,15:00,16,74,164,239,9,0.1
2017-07-10,16:00,16,78,108,237,9,0
2017-07-10,17:00,15,82,54,234,8,0
2017-07-10,18:00,15,84,38,236,7,0
2017-07-10,19:00,15,85,27,232,5,0
2017-07-10,20:00,15,88,17,227,5,0
2017-07-10,21:00,14,92,2,240,3,0
2017-07-10,22:00,14,95,0,243,2,0
2017-07-10,23:00,14,94,0,235,3,0
2017-07-11,00:00,14,92,0,248,5,0
2017-07-11,01:00,14,91,0,256,4,0.1
2017-07-11,02:00,14,91,0,267,3,0
2017-07-11,03:00,14,93,0,254,3,0.1
2017-07-11,04:00,14,94,0,246,4,0.2
2017-07-11,05:00,14,94,1,248,3,0.2
2017-07-11,06:00,14,93,4,237,3,0.3
2017-07-11,07:00,14,93,10,220,3,0.3
2017-07-11,08:00,14,93,17,205,3,0.3
2017-07-11,09:00,14,91,38,203,4,0.2
2017-07-11,10:00,14,90,41,173,3,0.1
2017-07-11,11:00,14,91,42,140,4,0.2
2017-07-11,12:00,14,90,51,127,4,0.2
2017-07-11,13:00,15,89,59,101,3,0.2
2017-07-11,14:00,15,89,52,81,4,0.2
2017-07-11,15:00,15,88,61,60,6,0.1
2017-07-11,16:00,15,87,92,61,7,0.1
2017-07-11,17:00,15,87,95,49,8,0
2017-07-11,18:00,15,84,97,38,8,0
2017-07-11,19:00,15,84,56,34,10,0
2017-07-11,20:00,14,87,22,29,10,0
2017-07-11,21:00,14,89,3,23,10,0
2017-07-11,22:00,13,88,0,21,10,0
2017-07-11,23:00,13,88,0,17,10,0
2017-07-12,00:00,13,87,0,19,10,0
2017-07-12,01:00,13,83,0,18,10,0
2017-07-12,02:00,12,81,0,11,10,0
2017-07-12,03:00,12,82,0,6,9,0
2017-07-12,04:00,12,81,0,1,8,0
2017-07-12,05:00,11,80,4,353,7,0
2017-07-12,06:00,12,79,33,350,7,0
2017-07-12,07:00,14,76,86,350,6,0
2017-07-12,08:00,15,70,143,7,5,0
2017-07-12,09:00,16,63,199,21,5,0
2017-07-12,10:00,17,57,248,58,4,0
2017-07-12,11:00,17,65,279,97,6,0
2017-07-12,12:00,16,74,250,115,6,0
2017-07-12,13:00,17,69,316,135,4,0
2017-07-12,14:00,17,67,311,157,5,0
2017-07-12,15:00,17,67,285,161,6,0
2017-07-12,16:00,17,68,248,179,7,0
2017-07-12,17:00,16,69,198,210,7,0
2017-07-12,18:00,16,73,133,218,6,0
2017-07-12,19:00,15,79,83,227,6,0
2017-07-12,20:00,14,83,36,229,5,0
2017-07-12,21:00,14,88,4,230,5,0
2017-07-12,22:00,13,90,0,233,5,0
2017-07-12,23:00,13,90,0,228,5,0
2017-07-13,00:00,13,91,0,223,5,0
2017-07-13,01:00,13,92,0,221,6,0
2017-07-13,02:00,14,92,0,220,6,0
2017-07-13,03:00,14,93,0,218,6,0
2017-07-13,04:00,14,94,0,215,6,0
2017-07-13,05:00,14,94,3,211,6,0
2017-07-13,06:00,15,91,19,206,7,0
2017-07-13,07:00,15,91,16,208,7,0
2017-07-13,08:00,15,89,38,215,9,0.1
2017-07-13,09:00,15,90,36,214,9,0.2
2017-07-13,10:00,16,87,67,215,9,0.1
2017-07-13,11:00,16,83,136,220,10,0.1
2017-07-13,12:00,17,83,191,216,10,0
2017-07-13,13:00,17,79,272,218,12,0.1
2017-07-13,14:00,17,84,202,222,12,0
2017-07-13,15:00,17,85,187,225,12,0
2017-07-13,16:00,17,84,172,229,12,0
2017-07-13,17:00,17,82,132,235,12,0
2017-07-13,18:00,17,81,106,264,9,0
