Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Sunday 14/01/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-01-14,01:00,8,90,0,179,10,0
2018-01-14,02:00,8,90,0,185,9,0
2018-01-14,03:00,8,89,0,185,9,0
2018-01-14,04:00,8,88,0,179,8,0
2018-01-14,05:00,8,88,0,170,8,0.1
2018-01-14,06:00,8,87,0,169,8,0
2018-01-14,07:00,8,87,0,163,10,0
2018-01-14,08:00,8,86,0,165,11,0
2018-01-14,09:00,8,84,1,170,10,0
2018-01-14,10:00,8,84,16,180,11,0
2018-01-14,11:00,9,85,32,188,12,0
2018-01-14,12:00,9,87,50,193,13,0.1
2018-01-14,13:00,9,85,64,216,12,0.1
2018-01-14,14:00,9,82,58,210,13,0
2018-01-14,15:00,9,82,42,209,16,0
2018-01-14,16:00,9,84,16,216,16,0
2018-01-14,17:00,9,85,2,223,16,0
2018-01-14,18:00,9,84,0,222,18,0.2
2018-01-14,19:00,9,82,0,217,19,0.8
2018-01-14,20:00,9,87,0,211,21,0.8
2018-01-14,21:00,9,87,0,210,23,0.9
2018-01-14,22:00,9,89,0,213,24,1.1
2018-01-14,23:00,9,92,0,221,23,1.2
2018-01-15,00:00,10,94,0,227,21,0.6
2018-01-15,01:00,10,96,0,234,19,0.3
2018-01-15,02:00,10,96,0,236,17,0.5
2018-01-15,03:00,10,93,0,232,18,0.1
2018-01-15,04:00,10,94,0,239,21,0.7
2018-01-15,05:00,10,93,0,247,17,0.1
2018-01-15,06:00,10,91,0,247,18,0.2
2018-01-15,07:00,10,88,0,257,16,0
2018-01-15,08:00,9,86,0,260,15,0
2018-01-15,09:00,9,86,1,260,15,0
2018-01-15,10:00,9,81,8,271,15,0
2018-01-15,11:00,9,78,45,277,16,0
2018-01-15,12:00,9,76,70,273,15,0
2018-01-15,13:00,8,73,90,270,17,0
2018-01-15,14:00,8,72,85,272,17,0
2018-01-15,15:00,8,72,52,269,15,0
2018-01-15,16:00,8,73,22,269,13,0
2018-01-15,17:00,7,73,3,269,13,0
2018-01-15,18:00,7,74,0,263,13,0
2018-01-15,19:00,7,75,0,262,14,0.1
2018-01-15,20:00,7,76,0,263,15,0.1
2018-01-15,21:00,7,76,0,270,15,0.1
2018-01-15,22:00,6,76,0,276,16,0
2018-01-15,23:00,6,76,0,276,16,0
2018-01-16,00:00,5,76,0,273,16,0
2018-01-16,01:00,5,74,0,271,16,0
2018-01-16,02:00,4,75,0,271,16,0
2018-01-16,03:00,4,75,0,266,16,0
2018-01-16,04:00,4,76,0,267,16,0
2018-01-16,05:00,4,75,0,266,16,0
2018-01-16,06:00,4,74,0,267,16,0
2018-01-16,07:00,4,73,0,265,15,0
2018-01-16,08:00,4,72,0,262,16,0
2018-01-16,09:00,4,72,2,259,15,0
2018-01-16,10:00,5,68,28,259,17,0
2018-01-16,11:00,5,69,59,261,16,0
2018-01-16,12:00,5,68,75,259,18,0
2018-01-16,13:00,5,69,78,257,17,0
2018-01-16,14:00,5,69,66,259,19,0
2018-01-16,15:00,5,69,49,260,20,0
2018-01-16,16:00,4,70,25,262,17,0
2018-01-16,17:00,4,66,4,265,19,0
2018-01-16,18:00,4,66,0,266,19,0
2018-01-16,19:00,3,64,0,266,19,0
2018-01-16,20:00,3,65,0,262,19,0
2018-01-16,21:00,3,62,0,261,20,0
2018-01-16,22:00,3,63,0,259,21,0
2018-01-16,23:00,3,64,0,262,21,0
2018-01-17,00:00,4,64,0,263,20,0
2018-01-17,01:00,4,64,0,269,21,0
2018-01-17,02:00,4,65,0,275,20,0
2018-01-17,03:00,4,64,0,279,20,0
2018-01-17,04:00,4,64,0,280,19,0
2018-01-17,05:00,4,65,0,279,18,0
2018-01-17,06:00,4,68,0,280,18,0
2018-01-17,07:00,4,70,0,281,18,0
2018-01-17,08:00,4,72,0,278,18,0
2018-01-17,09:00,4,72,2,274,17,0
2018-01-17,10:00,5,70,28,272,17,0
2018-01-17,11:00,5,69,60,267,15,0
2018-01-17,12:00,6,68,84,264,16,0
2018-01-17,13:00,6,67,92,264,16,0
2018-01-17,14:00,6,67,84,270,16,0
2018-01-17,15:00,6,68,68,261,15,0
2018-01-17,16:00,6,68,33,261,14,0
2018-01-17,17:00,6,69,5,255,13,0
2018-01-17,18:00,6,70,0,247,14,0
