Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Saturday 18/08/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-08-18,01:00,16,91,0,242,14,0
2018-08-18,02:00,16,91,0,243,13,0
2018-08-18,03:00,15,90,0,242,13,0
2018-08-18,04:00,15,91,0,240,13,0
2018-08-18,05:00,16,93,0,239,14,0
2018-08-18,06:00,16,91,3,240,14,0
2018-08-18,07:00,17,88,35,241,12,0
2018-08-18,08:00,17,84,81,243,13,0
2018-08-18,09:00,18,82,125,245,12,0
2018-08-18,10:00,18,85,105,235,12,0.1
2018-08-18,11:00,18,89,127,229,12,0.1
2018-08-18,12:00,18,88,156,235,12,0
2018-08-18,13:00,19,87,201,228,12,0
2018-08-18,14:00,19,87,229,230,13,0
2018-08-18,15:00,19,87,220,229,13,0
2018-08-18,16:00,18,89,129,229,14,0
2018-08-18,17:00,18,92,67,227,14,0
2018-08-18,18:00,18,94,37,226,17,0
2018-08-18,19:00,17,96,14,223,14,0
2018-08-18,20:00,17,97,3,216,13,0
2018-08-18,21:00,17,95,0,208,15,0.1
2018-08-18,22:00,17,94,0,205,16,0
2018-08-18,23:00,17,93,0,200,18,0.1
2018-08-19,00:00,17,93,0,206,21,0.6
2018-08-19,01:00,17,93,0,213,20,0.3
2018-08-19,02:00,17,96,0,226,20,0.4
2018-08-19,03:00,17,94,0,236,19,0.1
2018-08-19,04:00,17,94,0,241,17,0
2018-08-19,05:00,16,94,0,241,15,0
2018-08-19,06:00,16,95,4,240,14,0
2018-08-19,07:00,17,93,25,242,14,0
2018-08-19,08:00,17,92,44,243,13,0
2018-08-19,09:00,18,89,63,245,12,0
2018-08-19,10:00,18,87,106,239,10,0
2018-08-19,11:00,19,85,115,237,10,0
2018-08-19,12:00,20,81,152,238,10,0
2018-08-19,13:00,21,77,183,241,10,0
2018-08-19,14:00,21,75,215,235,10,0
2018-08-19,15:00,21,76,217,233,9,0
2018-08-19,16:00,20,80,169,237,10,0
2018-08-19,17:00,21,82,142,247,8,0
2018-08-19,18:00,21,80,86,271,7,0
2018-08-19,19:00,21,77,39,288,7,0
2018-08-19,20:00,19,79,5,292,6,0
2018-08-19,21:00,18,83,0,290,5,0
2018-08-19,22:00,17,89,0,244,6,0
2018-08-19,23:00,17,94,0,241,7,0
2018-08-20,00:00,16,96,0,236,8,0
2018-08-20,01:00,16,96,0,230,9,0
2018-08-20,02:00,16,98,0,242,10,0
2018-08-20,03:00,16,97,0,257,9,0
2018-08-20,04:00,16,96,0,261,8,0
2018-08-20,05:00,16,96,0,262,7,0
2018-08-20,06:00,16,95,4,258,7,0
2018-08-20,07:00,17,92,35,258,7,0
2018-08-20,08:00,18,84,83,266,7,0
2018-08-20,09:00,19,80,125,250,6,0
2018-08-20,10:00,19,82,156,228,7,0
2018-08-20,11:00,18,85,140,224,8,0.1
2018-08-20,12:00,19,83,188,222,8,0.1
2018-08-20,13:00,19,81,211,219,8,0
2018-08-20,14:00,19,80,219,222,9,0
2018-08-20,15:00,19,80,188,223,9,0
2018-08-20,16:00,19,81,159,227,9,0
2018-08-20,17:00,18,83,93,232,7,0
2018-08-20,18:00,18,85,55,228,7,0
2018-08-20,19:00,18,87,27,234,7,0
2018-08-20,20:00,17,90,4,242,6,0
2018-08-20,21:00,16,92,0,244,5,0
2018-08-20,22:00,16,93,0,249,4,0
2018-08-20,23:00,16,94,0,249,4,0
2018-08-21,00:00,15,96,0,244,3,0
2018-08-21,01:00,15,97,0,244,2,0
2018-08-21,02:00,14,98,0,261,3,0
2018-08-21,03:00,15,98,0,289,2,0
2018-08-21,04:00,15,98,0,319,2,0
2018-08-21,05:00,14,99,0,311,2,0
2018-08-21,06:00,14,99,4,300,1,0
2018-08-21,07:00,16,96,36,289,1,0
2018-08-21,08:00,18,90,92,244,2,0
2018-08-21,09:00,19,85,141,229,5,0
2018-08-21,10:00,19,81,195,230,8,0
2018-08-21,11:00,19,79,229,228,9,0
2018-08-21,12:00,19,77,259,223,11,0
2018-08-21,13:00,18,77,271,220,12,0
2018-08-21,14:00,18,80,261,224,13,0
2018-08-21,15:00,18,80,236,226,12,0
2018-08-21,16:00,18,82,193,219,13,0
2018-08-21,17:00,18,86,148,221,14,0
2018-08-21,18:00,18,88,89,230,14,0
