Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Wednesday 19/06/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-06-19,01:00,11,93,0,276,5,0
2019-06-19,02:00,11,91,0,291,5,0
2019-06-19,03:00,11,89,0,315,5,0
2019-06-19,04:00,11,88,0,323,6,0
2019-06-19,05:00,11,86,7,321,7,0
2019-06-19,06:00,12,85,34,319,7,0
2019-06-19,07:00,13,82,77,321,7,0
2019-06-19,08:00,14,77,131,319,6,0
2019-06-19,09:00,15,72,186,308,4,0
2019-06-19,10:00,16,66,238,261,4,0.1
2019-06-19,11:00,16,63,268,229,6,0.1
2019-06-19,12:00,16,70,254,222,9,0.1
2019-06-19,13:00,15,73,264,224,10,0.2
2019-06-19,14:00,15,73,237,225,13,0
2019-06-19,15:00,15,74,211,235,13,0
2019-06-19,16:00,15,73,196,241,12,0
2019-06-19,17:00,14,77,150,249,12,0
2019-06-19,18:00,14,80,72,253,8,0.1
2019-06-19,19:00,14,76,21,268,7,0
2019-06-19,20:00,14,74,16,268,8,0
2019-06-19,21:00,13,76,3,265,8,0
2019-06-19,22:00,13,76,0,276,8,0
2019-06-19,23:00,12,76,0,277,8,0
2019-06-20,00:00,12,78,0,275,7,0
2019-06-20,01:00,11,81,0,270,7,0
2019-06-20,02:00,11,84,0,269,8,0
2019-06-20,03:00,11,84,0,275,8,0
2019-06-20,04:00,10,85,0,276,8,0
2019-06-20,05:00,10,87,7,277,7,0
2019-06-20,06:00,10,84,43,275,7,0
2019-06-20,07:00,11,79,94,270,7,0
2019-06-20,08:00,12,74,139,263,8,0
2019-06-20,09:00,13,74,176,249,7,0
2019-06-20,10:00,13,74,236,236,9,0
2019-06-20,11:00,14,74,255,230,10,0
2019-06-20,12:00,14,71,258,225,12,0
2019-06-20,13:00,14,69,251,224,14,0
2019-06-20,14:00,14,68,260,230,14,0.1
2019-06-20,15:00,14,68,233,234,14,0
2019-06-20,16:00,14,68,188,236,12,0
2019-06-20,17:00,14,70,151,235,10,0
2019-06-20,18:00,14,63,110,247,8,0.1
2019-06-20,19:00,15,60,79,259,7,0
2019-06-20,20:00,14,62,40,284,7,0
2019-06-20,21:00,12,67,6,289,7,0
2019-06-20,22:00,12,68,0,286,8,0
2019-06-20,23:00,11,70,0,291,8,0
2019-06-21,00:00,10,75,0,291,8,0
2019-06-21,01:00,10,80,0,288,7,0
2019-06-21,02:00,9,84,0,288,6,0
2019-06-21,03:00,8,87,0,284,6,0
2019-06-21,04:00,8,88,0,282,6,0
2019-06-21,05:00,8,87,8,285,6,0
2019-06-21,06:00,10,84,46,287,6,0
2019-06-21,07:00,11,80,88,280,5,0
2019-06-21,08:00,12,74,121,270,5,0
2019-06-21,09:00,13,66,173,262,4,0
2019-06-21,10:00,14,63,238,226,5,0
2019-06-21,11:00,14,63,273,225,7,0
2019-06-21,12:00,14,66,246,210,10,0
2019-06-21,13:00,14,67,293,211,10,0
2019-06-21,14:00,14,72,258,208,10,0
2019-06-21,15:00,14,73,240,210,10,0
2019-06-21,16:00,14,74,203,211,9,0
2019-06-21,17:00,14,73,156,210,9,0
2019-06-21,18:00,14,78,106,206,8,0
2019-06-21,19:00,14,80,67,203,7,0
2019-06-21,20:00,13,84,32,199,7,0
2019-06-21,21:00,13,89,5,200,7,0
2019-06-21,22:00,12,90,0,197,7,0
2019-06-21,23:00,12,91,0,196,7,0
2019-06-22,00:00,12,91,0,198,7,0
2019-06-22,01:00,12,91,0,203,6,0
2019-06-22,02:00,12,92,0,202,5,0
2019-06-22,03:00,12,92,0,198,4,0
2019-06-22,04:00,12,93,0,192,4,0
2019-06-22,05:00,12,93,7,177,4,0
2019-06-22,06:00,13,92,41,157,5,0
2019-06-22,07:00,13,86,90,154,7,0
2019-06-22,08:00,14,82,139,150,8,0
2019-06-22,09:00,14,79,199,143,8,0
2019-06-22,10:00,14,79,244,138,8,0
2019-06-22,11:00,15,78,284,140,8,0
2019-06-22,12:00,15,70,291,137,7,0
2019-06-22,13:00,15,66,269,133,6,0
2019-06-22,14:00,15,68,295,128,6,0
2019-06-22,15:00,15,70,283,120,6,0
2019-06-22,16:00,15,71,249,102,5,0
2019-06-22,17:00,15,71,193,86,6,0
2019-06-22,18:00,15,72,133,73,6,0
