Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Friday 02/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-02,01:00,13,94,0,331,3,0
2019-08-02,02:00,13,94,0,337,3,0
2019-08-02,03:00,12,96,0,338,4,0
2019-08-02,04:00,12,94,0,351,4,0
2019-08-02,05:00,12,93,0,4,4,0
2019-08-02,06:00,14,91,16,18,5,0
2019-08-02,07:00,15,86,57,35,6,0
2019-08-02,08:00,17,82,113,50,7,0
2019-08-02,09:00,17,81,171,59,8,0
2019-08-02,10:00,18,82,213,64,8,0
2019-08-02,11:00,18,83,251,68,8,0
2019-08-02,12:00,18,84,281,76,7,0
2019-08-02,13:00,18,84,279,84,7,0
2019-08-02,14:00,19,83,270,93,6,0
2019-08-02,15:00,19,83,255,104,6,0
2019-08-02,16:00,18,83,195,111,5,0
2019-08-02,17:00,18,84,152,110,5,0
2019-08-02,18:00,18,86,104,108,4,0
2019-08-02,19:00,17,89,60,97,4,0
2019-08-02,20:00,16,93,18,85,4,0
2019-08-02,21:00,16,95,0,80,4,0
2019-08-02,22:00,16,95,0,82,4,0
2019-08-02,23:00,16,95,0,80,4,0
2019-08-03,00:00,16,94,0,75,4,0
2019-08-03,01:00,16,93,0,74,4,0
2019-08-03,02:00,16,93,0,85,4,0
2019-08-03,03:00,16,94,0,95,3,0
2019-08-03,04:00,15,96,0,123,3,0
2019-08-03,05:00,16,96,0,152,3,0
2019-08-03,06:00,16,96,6,153,4,0
2019-08-03,07:00,17,89,22,161,6,0.2
2019-08-03,08:00,17,92,49,171,7,0.1
2019-08-03,09:00,18,87,77,187,9,0
2019-08-03,10:00,17,81,79,185,7,0.2
2019-08-03,11:00,17,85,79,174,5,0.3
2019-08-03,12:00,18,85,128,167,9,0.3
2019-08-03,13:00,18,82,112,179,7,0
2019-08-03,14:00,18,80,173,175,7,0
2019-08-03,15:00,18,80,192,164,7,0
2019-08-03,16:00,18,81,192,173,7,0
2019-08-03,17:00,18,82,109,164,7,0
2019-08-03,18:00,17,87,42,160,7,0
2019-08-03,19:00,17,89,34,160,7,0
2019-08-03,20:00,16,92,13,167,7,0
2019-08-03,21:00,16,90,0,161,7,0
2019-08-03,22:00,16,89,0,161,8,0.2
2019-08-03,23:00,16,90,0,168,10,0.3
2019-08-04,00:00,16,93,0,172,10,0.4
2019-08-04,01:00,16,96,0,177,9,0.9
2019-08-04,02:00,16,97,0,179,8,0.8
2019-08-04,03:00,16,97,0,201,5,0.8
2019-08-04,04:00,16,96,0,185,5,0.2
2019-08-04,05:00,16,94,0,177,4,0.1
2019-08-04,06:00,16,95,12,178,5,0
2019-08-04,07:00,16,93,50,176,5,0
2019-08-04,08:00,17,90,93,185,5,0
2019-08-04,09:00,18,85,147,187,7,0
2019-08-04,10:00,18,81,203,186,9,0
2019-08-04,11:00,18,85,228,193,11,0.1
2019-08-04,12:00,18,84,249,203,12,0.2
2019-08-04,13:00,18,82,273,202,12,0
2019-08-04,14:00,18,80,252,193,13,0
2019-08-04,15:00,18,81,228,191,15,0.1
2019-08-04,16:00,18,86,132,191,14,0.2
2019-08-04,17:00,17,88,111,194,15,0.7
2019-08-04,18:00,17,92,53,184,13,0.8
2019-08-04,19:00,17,93,15,186,15,0.4
2019-08-04,20:00,17,94,4,202,13,0.4
2019-08-04,21:00,16,94,0,217,9,0.5
2019-08-04,22:00,16,93,0,225,9,0
2019-08-04,23:00,16,94,0,230,10,0
2019-08-05,00:00,16,91,0,240,10,0
2019-08-05,01:00,15,91,0,243,10,0
2019-08-05,02:00,15,90,0,247,10,0
2019-08-05,03:00,14,90,0,248,9,0
2019-08-05,04:00,14,91,0,247,9,0
2019-08-05,05:00,14,92,0,243,9,0
2019-08-05,06:00,15,90,15,241,10,0
2019-08-05,07:00,15,88,57,239,10,0
2019-08-05,08:00,16,83,107,237,12,0
2019-08-05,09:00,17,78,157,235,13,0
2019-08-05,10:00,17,76,190,233,15,0.1
2019-08-05,11:00,17,75,221,229,16,0.1
2019-08-05,12:00,18,75,240,227,16,0.2
2019-08-05,13:00,18,76,250,228,16,0
2019-08-05,14:00,18,74,254,228,17,0
2019-08-05,15:00,17,74,226,229,17,0
2019-08-05,16:00,17,74,196,227,17,0
2019-08-05,17:00,17,77,168,225,17,0
2019-08-05,18:00,17,81,115,226,16,0
