Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Saturday 06/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-06,01:00,12,94,0,346,8,0.2
2019-07-06,02:00,12,92,0,339,8,0.1
2019-07-06,03:00,12,88,0,334,7,0.1
2019-07-06,04:00,11,85,0,338,7,0
2019-07-06,05:00,11,84,7,337,7,0
2019-07-06,06:00,12,79,27,331,8,0
2019-07-06,07:00,12,74,57,334,9,0
2019-07-06,08:00,13,74,79,349,9,0
2019-07-06,09:00,13,74,106,1,9,0.1
2019-07-06,10:00,13,68,184,353,8,0
2019-07-06,11:00,14,66,243,352,7,0
2019-07-06,12:00,14,68,256,354,7,0
2019-07-06,13:00,14,66,249,344,7,0
2019-07-06,14:00,14,65,242,341,7,0
2019-07-06,15:00,14,67,248,352,7,0
2019-07-06,16:00,13,70,219,355,8,0
2019-07-06,17:00,13,71,162,354,8,0
2019-07-06,18:00,13,71,125,352,8,0
2019-07-06,19:00,12,72,93,355,8,0
2019-07-06,20:00,12,75,44,359,8,0
2019-07-06,21:00,11,79,11,0,7,0
2019-07-06,22:00,11,81,0,352,7,0
2019-07-06,23:00,10,82,0,352,7,0
2019-07-07,00:00,10,83,0,351,7,0
2019-07-07,01:00,10,86,0,355,6,0
2019-07-07,02:00,10,87,0,5,6,0
2019-07-07,03:00,10,90,0,16,6,0
2019-07-07,04:00,10,88,0,22,7,0
2019-07-07,05:00,10,84,7,19,7,0
2019-07-07,06:00,11,77,35,15,9,0
2019-07-07,07:00,11,76,77,11,10,0
2019-07-07,08:00,11,73,117,9,10,0
2019-07-07,09:00,12,71,164,11,10,0
2019-07-07,10:00,12,70,211,14,10,0
2019-07-07,11:00,12,69,235,17,10,0
2019-07-07,12:00,13,67,263,21,9,0
2019-07-07,13:00,13,66,286,18,9,0
2019-07-07,14:00,14,66,276,16,9,0
2019-07-07,15:00,13,67,242,9,8,0
2019-07-07,16:00,13,69,213,6,8,0
2019-07-07,17:00,13,70,181,3,7,0
2019-07-07,18:00,13,74,112,359,6,0
2019-07-07,19:00,12,76,85,356,6,0
2019-07-07,20:00,12,79,50,1,5,0
2019-07-07,21:00,10,88,12,359,3,0
2019-07-07,22:00,9,91,0,1,4,0
2019-07-07,23:00,8,92,0,355,4,0
2019-07-08,00:00,10,88,0,1,3,0
2019-07-08,01:00,11,86,0,322,2,0
2019-07-08,02:00,10,88,0,253,1,0
2019-07-08,03:00,10,87,0,210,1,0
2019-07-08,04:00,8,91,0,197,2,0
2019-07-08,05:00,9,92,8,199,2,0
2019-07-08,06:00,10,87,30,185,4,0
2019-07-08,07:00,12,78,86,174,3,0
2019-07-08,08:00,13,71,106,166,5,0
2019-07-08,09:00,14,62,153,173,5,0
2019-07-08,10:00,16,57,225,183,4,0
2019-07-08,11:00,16,58,246,175,3,0
2019-07-08,12:00,17,57,274,159,2,0
2019-07-08,13:00,17,56,205,107,2,0
2019-07-08,14:00,16,68,93,70,4,0
2019-07-08,15:00,16,70,109,78,1,0
2019-07-08,16:00,16,71,112,51,1,0
2019-07-08,17:00,16,75,81,92,1,0.1
2019-07-08,18:00,15,79,51,262,0,0.3
2019-07-08,19:00,15,85,20,205,2,0.6
2019-07-08,20:00,15,90,6,182,3,0.8
2019-07-08,21:00,14,91,2,190,5,0.5
2019-07-08,22:00,14,92,0,186,7,0.2
2019-07-08,23:00,14,93,0,192,9,0.7
2019-07-09,00:00,14,94,0,207,9,0.2
2019-07-09,01:00,14,95,0,222,9,0.3
2019-07-09,02:00,14,96,0,238,9,0.2
2019-07-09,03:00,14,97,0,245,10,0.3
2019-07-09,04:00,15,96,0,248,11,0.1
2019-07-09,05:00,15,96,1,247,12,0.1
2019-07-09,06:00,15,96,10,246,12,0
2019-07-09,07:00,15,95,12,248,12,0
2019-07-09,08:00,15,94,23,247,12,0
2019-07-09,09:00,16,94,34,248,12,0.7
2019-07-09,10:00,16,94,40,248,13,0.8
2019-07-09,11:00,16,90,92,255,15,0
2019-07-09,12:00,16,90,66,254,15,0.1
2019-07-09,13:00,16,89,73,255,15,0.2
2019-07-09,14:00,16,88,85,256,15,0.2
2019-07-09,15:00,16,88,77,257,14,0.1
2019-07-09,16:00,16,88,70,254,14,0.1
2019-07-09,17:00,16,89,67,253,14,0
2019-07-09,18:00,16,90,52,254,14,0
