Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Sunday 07/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-07,01:00,11,90,0,2,8,0
2019-07-07,02:00,11,90,0,13,8,0
2019-07-07,03:00,10,88,0,17,8,0
2019-07-07,04:00,10,87,0,17,9,0
2019-07-07,05:00,10,84,8,19,9,0
2019-07-07,06:00,11,78,41,17,9,0
2019-07-07,07:00,11,74,89,15,10,0
2019-07-07,08:00,12,72,136,11,10,0
2019-07-07,09:00,12,71,167,18,10,0
2019-07-07,10:00,12,68,200,23,10,0
2019-07-07,11:00,13,66,267,28,10,0
2019-07-07,12:00,13,66,281,28,9,0
2019-07-07,13:00,13,67,293,25,8,0
2019-07-07,14:00,14,68,296,16,7,0
2019-07-07,15:00,13,68,262,13,6,0
2019-07-07,16:00,13,68,234,7,6,0
2019-07-07,17:00,13,72,125,9,6,0
2019-07-07,18:00,12,73,80,10,5,0
2019-07-07,19:00,12,75,50,11,5,0
2019-07-07,20:00,12,80,22,3,4,0
2019-07-07,21:00,11,87,7,358,2,0
2019-07-07,22:00,11,86,0,32,2,0
2019-07-07,23:00,11,85,0,136,2,0
2019-07-08,00:00,10,87,0,187,2,0
2019-07-08,01:00,10,87,0,203,2,0
2019-07-08,02:00,10,85,0,189,2,0
2019-07-08,03:00,11,82,0,179,3,0
2019-07-08,04:00,11,79,0,176,4,0
2019-07-08,05:00,11,80,5,175,5,0
2019-07-08,06:00,12,75,16,176,5,0
2019-07-08,07:00,12,72,24,173,5,0
2019-07-08,08:00,13,74,25,175,5,0.1
2019-07-08,09:00,13,79,27,173,5,0.5
2019-07-08,10:00,13,82,38,170,5,0.7
2019-07-08,11:00,14,85,55,168,5,0.5
2019-07-08,12:00,14,86,55,155,4,0.5
2019-07-08,13:00,14,86,69,142,4,0.4
2019-07-08,14:00,15,85,87,131,4,0.3
2019-07-08,15:00,16,84,83,147,5,0.3
2019-07-08,16:00,16,84,57,164,4,0.3
2019-07-08,17:00,15,87,46,190,2,0.5
2019-07-08,18:00,15,92,30,223,2,0.6
2019-07-08,19:00,14,94,20,259,2,0.5
2019-07-08,20:00,14,96,6,196,2,0.4
2019-07-08,21:00,14,95,2,194,4,0.2
2019-07-08,22:00,14,94,0,196,6,0.2
2019-07-08,23:00,14,94,0,195,6,0.8
2019-07-09,00:00,14,93,0,194,7,1.2
2019-07-09,01:00,14,93,0,201,8,0.4
2019-07-09,02:00,14,94,0,209,7,0.2
2019-07-09,03:00,14,95,0,219,8,0.2
2019-07-09,04:00,14,95,0,235,8,0.5
2019-07-09,05:00,14,96,2,246,9,0.6
2019-07-09,06:00,15,97,9,250,9,0.3
2019-07-09,07:00,15,96,20,250,10,0.2
2019-07-09,08:00,15,93,33,255,11,0.2
2019-07-09,09:00,16,94,38,257,11,0.5
2019-07-09,10:00,16,94,57,260,12,0.5
2019-07-09,11:00,16,92,92,262,13,0.3
2019-07-09,12:00,17,91,89,260,13,0.1
2019-07-09,13:00,17,89,97,259,13,0
2019-07-09,14:00,17,90,73,260,12,0.1
2019-07-09,15:00,16,91,68,261,11,0.2
2019-07-09,16:00,16,92,49,262,11,0.2
2019-07-09,17:00,16,91,58,257,11,0.1
2019-07-09,18:00,16,92,38,254,11,0.1
2019-07-09,19:00,16,92,24,249,11,0
2019-07-09,20:00,16,93,13,251,10,0.2
2019-07-09,21:00,15,96,3,252,9,1.3
2019-07-09,22:00,15,97,0,251,9,0.8
2019-07-09,23:00,15,97,0,249,9,0.8
2019-07-10,00:00,15,97,0,248,8,1.1
2019-07-10,01:00,15,96,0,240,8,1
2019-07-10,02:00,15,96,0,234,7,0.5
2019-07-10,03:00,15,96,0,228,8,0.2
2019-07-10,04:00,15,96,0,228,8,0
2019-07-10,05:00,14,96,3,226,8,0.1
2019-07-10,06:00,15,95,15,221,8,0.4
2019-07-10,07:00,15,94,49,219,8,0.4
2019-07-10,08:00,16,91,92,225,8,0.5
2019-07-10,09:00,16,84,110,236,9,0.5
2019-07-10,10:00,17,81,105,242,9,0.4
2019-07-10,11:00,17,82,85,244,9,0.4
2019-07-10,12:00,18,78,121,247,8,0.1
2019-07-10,13:00,17,84,79,264,8,0.2
2019-07-10,14:00,17,85,72,246,8,0.2
2019-07-10,15:00,17,84,117,252,10,0.6
2019-07-10,16:00,16,89,78,257,10,1.1
2019-07-10,17:00,16,90,37,250,9,0.3
2019-07-10,18:00,15,90,26,249,9,0.3
