Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Friday 12/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-12,01:00,14,99,0,295,11,0.5
2019-07-12,02:00,14,98,0,294,11,0.2
2019-07-12,03:00,14,98,0,292,11,0.1
2019-07-12,04:00,14,98,0,292,12,0.1
2019-07-12,05:00,14,98,2,294,12,0.2
2019-07-12,06:00,13,97,9,297,12,0.4
2019-07-12,07:00,14,97,25,297,12,0.2
2019-07-12,08:00,14,95,70,294,13,0.2
2019-07-12,09:00,14,92,93,294,14,0.4
2019-07-12,10:00,14,90,99,297,14,0.7
2019-07-12,11:00,14,90,88,298,14,0.5
2019-07-12,12:00,14,91,100,302,13,0.6
2019-07-12,13:00,14,90,106,301,13,0.5
2019-07-12,14:00,14,90,133,302,12,0.6
2019-07-12,15:00,15,88,145,300,12,0.3
2019-07-12,16:00,14,88,119,300,12,0.2
2019-07-12,17:00,14,88,97,301,12,0.1
2019-07-12,18:00,14,88,61,301,11,0.1
2019-07-12,19:00,14,89,34,302,11,0.1
2019-07-12,20:00,14,89,15,303,11,0.1
2019-07-12,21:00,13,95,4,301,10,0
2019-07-12,22:00,13,96,0,301,10,0
2019-07-12,23:00,13,96,0,303,10,0
2019-07-13,00:00,13,96,0,308,9,0
2019-07-13,01:00,13,95,0,310,9,0
2019-07-13,02:00,13,96,0,316,9,0
2019-07-13,03:00,13,95,0,321,9,0.1
2019-07-13,04:00,13,95,0,322,9,0.1
2019-07-13,05:00,13,94,3,320,9,0.1
2019-07-13,06:00,13,90,16,323,11,0.1
2019-07-13,07:00,13,86,31,325,10,0
2019-07-13,08:00,13,79,73,321,10,0
2019-07-13,09:00,13,78,107,322,9,0
2019-07-13,10:00,14,77,135,324,9,0
2019-07-13,11:00,14,74,164,317,8,0
2019-07-13,12:00,15,74,232,320,10,0
2019-07-13,13:00,14,77,170,318,9,0
2019-07-13,14:00,15,77,218,319,9,0
2019-07-13,15:00,15,78,193,319,9,0
2019-07-13,16:00,14,77,181,320,9,0
2019-07-13,17:00,14,79,150,322,9,0
2019-07-13,18:00,14,80,120,322,8,0
2019-07-13,19:00,14,80,77,324,8,0
2019-07-13,20:00,13,83,36,328,7,0
2019-07-13,21:00,12,87,8,332,6,0
2019-07-13,22:00,12,91,0,334,5,0
2019-07-13,23:00,12,92,0,335,5,0
2019-07-14,00:00,12,93,0,333,5,0
2019-07-14,01:00,12,94,0,329,4,0
2019-07-14,02:00,11,94,0,333,3,0
2019-07-14,03:00,10,96,0,345,3,0
2019-07-14,04:00,10,97,0,354,4,0
2019-07-14,05:00,11,97,6,0,3,0
2019-07-14,06:00,12,93,37,359,3,0
2019-07-14,07:00,13,87,81,354,3,0
2019-07-14,08:00,14,84,129,357,3,0
2019-07-14,09:00,14,81,181,3,3,0
2019-07-14,10:00,15,79,226,3,3,0
2019-07-14,11:00,16,77,265,357,4,0
2019-07-14,12:00,16,76,289,354,4,0
2019-07-14,13:00,16,74,299,357,5,0
2019-07-14,14:00,16,73,290,0,5,0
2019-07-14,15:00,16,72,257,4,5,0
2019-07-14,16:00,16,72,217,14,5,0
2019-07-14,17:00,16,76,174,28,4,0
2019-07-14,18:00,15,80,135,34,4,0
2019-07-14,19:00,15,84,87,51,3,0
2019-07-14,20:00,14,87,40,80,3,0
2019-07-14,21:00,12,94,9,112,3,0
2019-07-14,22:00,12,94,0,135,2,0
2019-07-14,23:00,12,93,0,133,2,0
2019-07-15,00:00,12,94,0,107,3,0
2019-07-15,01:00,12,95,0,107,3,0
2019-07-15,02:00,11,96,0,127,3,0
2019-07-15,03:00,12,96,0,151,3,0
2019-07-15,04:00,12,96,0,160,3,0
2019-07-15,05:00,12,95,4,147,3,0
2019-07-15,06:00,13,92,25,128,3,0
2019-07-15,07:00,15,89,59,120,3,0
2019-07-15,08:00,16,86,85,112,3,0
2019-07-15,09:00,16,83,135,112,3,0
2019-07-15,10:00,17,81,178,109,3,0
2019-07-15,11:00,18,78,208,105,4,0
2019-07-15,12:00,18,80,253,87,5,0.1
2019-07-15,13:00,18,86,207,89,6,0
2019-07-15,14:00,18,83,204,98,7,0
2019-07-15,15:00,18,82,200,100,7,0
2019-07-15,16:00,18,82,160,101,7,0
2019-07-15,17:00,18,84,132,105,6,0.1
2019-07-15,18:00,18,84,82,116,6,0.1
