Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Thursday 08/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-08,01:00,14,91,0,335,4,0.1
2019-08-08,02:00,13,93,0,332,5,0.1
2019-08-08,03:00,13,93,0,329,4,0
2019-08-08,04:00,13,93,0,327,4,0
2019-08-08,05:00,13,92,0,332,4,0
2019-08-08,06:00,13,91,13,340,4,0
2019-08-08,07:00,14,89,45,351,5,0.1
2019-08-08,08:00,14,86,87,4,5,0.1
2019-08-08,09:00,15,83,130,21,5,0.1
2019-08-08,10:00,15,79,170,28,4,0
2019-08-08,11:00,16,76,202,35,4,0
2019-08-08,12:00,16,76,219,40,6,0
2019-08-08,13:00,15,78,179,52,6,0
2019-08-08,14:00,16,76,229,63,5,0
2019-08-08,15:00,16,77,245,51,7,0
2019-08-08,16:00,16,79,214,59,7,0
2019-08-08,17:00,16,80,163,63,8,0
2019-08-08,18:00,15,80,108,73,9,0
2019-08-08,19:00,14,83,55,80,9,0
2019-08-08,20:00,14,85,15,90,9,0
2019-08-08,21:00,14,84,0,86,9,0
2019-08-08,22:00,14,80,0,95,10,0
2019-08-08,23:00,14,79,0,93,11,0
2019-08-09,00:00,14,82,0,90,12,0
2019-08-09,01:00,15,82,0,92,16,0
2019-08-09,02:00,15,84,0,94,18,0.5
2019-08-09,03:00,15,90,0,91,18,2
2019-08-09,04:00,14,92,0,92,20,2.3
2019-08-09,05:00,14,92,0,89,22,3.3
2019-08-09,06:00,14,92,1,91,20,3
2019-08-09,07:00,14,92,8,97,19,2
2019-08-09,08:00,15,92,18,100,18,0.7
2019-08-09,09:00,16,92,40,107,14,0.1
2019-08-09,10:00,18,82,104,147,13,0
2019-08-09,11:00,20,67,230,148,13,0
2019-08-09,12:00,20,72,225,138,13,0.1
2019-08-09,13:00,20,72,199,134,13,0.7
2019-08-09,14:00,19,75,176,135,14,0.2
2019-08-09,15:00,19,78,130,139,14,0.2
2019-08-09,16:00,19,80,133,127,12,0
2019-08-09,17:00,18,79,119,129,12,0.1
2019-08-09,18:00,18,84,85,127,11,0.1
2019-08-09,19:00,17,86,35,117,9,0
2019-08-09,20:00,16,88,12,117,9,0
2019-08-09,21:00,16,89,0,116,10,0
2019-08-09,22:00,16,91,0,117,9,0
2019-08-09,23:00,15,94,0,111,7,0
2019-08-10,00:00,15,96,0,106,5,0
2019-08-10,01:00,14,96,0,99,4,0
2019-08-10,02:00,14,97,0,82,3,0
2019-08-10,03:00,14,98,0,82,2,0
2019-08-10,04:00,14,98,0,100,2,0
2019-08-10,05:00,14,96,0,36,1,0
2019-08-10,06:00,15,96,7,7,2,0
2019-08-10,07:00,15,95,27,5,3,0
2019-08-10,08:00,15,95,42,355,4,0
2019-08-10,09:00,15,95,58,348,4,0.4
2019-08-10,10:00,16,93,102,348,6,0.1
2019-08-10,11:00,16,92,111,349,8,0.1
2019-08-10,12:00,16,91,102,357,9,0.2
2019-08-10,13:00,16,90,128,359,9,0.2
2019-08-10,14:00,15,89,97,354,9,0.4
2019-08-10,15:00,15,89,62,353,11,0.2
2019-08-10,16:00,15,88,80,355,13,0.1
2019-08-10,17:00,15,86,71,352,13,0
2019-08-10,18:00,14,84,53,350,14,0.1
2019-08-10,19:00,14,86,28,350,14,0.1
2019-08-10,20:00,14,84,14,351,14,0.1
2019-08-10,21:00,13,85,0,352,14,0.1
2019-08-10,22:00,13,86,0,352,14,0.2
2019-08-10,23:00,13,84,0,352,14,0.1
2019-08-11,00:00,12,78,0,350,14,0
2019-08-11,01:00,12,78,0,348,13,0.1
2019-08-11,02:00,12,80,0,344,14,0.2
2019-08-11,03:00,13,64,0,343,12,0.1
2019-08-11,04:00,12,79,0,340,14,0
2019-08-11,05:00,12,66,0,328,13,0
2019-08-11,06:00,12,75,8,329,13,0
2019-08-11,07:00,12,69,22,327,12,0
2019-08-11,08:00,13,66,50,333,12,0
2019-08-11,09:00,13,68,101,336,11,0.2
2019-08-11,10:00,13,65,109,337,11,0.3
2019-08-11,11:00,14,66,154,339,10,0.3
2019-08-11,12:00,13,67,161,329,10,0.3
2019-08-11,13:00,13,74,141,345,10,0.2
2019-08-11,14:00,13,71,145,329,9,0.1
2019-08-11,15:00,13,72,141,333,9,0.2
2019-08-11,16:00,13,70,97,335,8,0
2019-08-11,17:00,13,66,74,321,8,0
2019-08-11,18:00,13,62,66,327,9,0
