Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Wednesday 04/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-04,01:00,11,82,0,244,12,0
2019-09-04,02:00,11,84,0,234,12,0
2019-09-04,03:00,10,88,0,235,14,0.1
2019-09-04,04:00,10,88,0,235,14,0.1
2019-09-04,05:00,11,86,0,246,17,0.2
2019-09-04,06:00,11,79,0,246,18,0.6
2019-09-04,07:00,11,86,5,251,19,1.1
2019-09-04,08:00,12,88,14,272,25,0.4
2019-09-04,09:00,12,85,38,283,24,0.3
2019-09-04,10:00,13,91,75,290,22,0.5
2019-09-04,11:00,13,85,132,311,27,0.7
2019-09-04,12:00,13,82,143,317,26,0.2
2019-09-04,13:00,13,78,173,322,26,0.3
2019-09-04,14:00,12,76,123,327,26,0.3
2019-09-04,15:00,12,71,87,331,25,0.2
2019-09-04,16:00,11,74,74,333,27,0.2
2019-09-04,17:00,11,74,74,334,24,0.3
2019-09-04,18:00,11,68,43,339,24,0
2019-09-04,19:00,12,61,14,339,22,0
2019-09-04,20:00,11,66,0,335,19,0
2019-09-04,21:00,11,67,0,332,19,0
2019-09-04,22:00,12,66,0,326,18,0
2019-09-04,23:00,12,62,0,320,17,0
2019-09-05,00:00,12,68,0,317,16,0
2019-09-05,01:00,12,68,0,311,15,0
2019-09-05,02:00,12,69,0,311,15,0
2019-09-05,03:00,12,70,0,307,17,0.1
2019-09-05,04:00,11,77,0,303,16,0
2019-09-05,05:00,12,74,0,302,15,0.1
2019-09-05,06:00,12,70,0,291,16,0.1
2019-09-05,07:00,12,82,11,289,16,0
2019-09-05,08:00,13,81,46,287,17,0.1
2019-09-05,09:00,13,76,63,281,16,0.1
2019-09-05,10:00,14,72,106,277,17,0
2019-09-05,11:00,14,69,156,273,18,0
2019-09-05,12:00,14,68,172,267,18,0
2019-09-05,13:00,15,66,199,264,18,0
2019-09-05,14:00,15,64,200,259,17,0
2019-09-05,15:00,15,64,196,255,16,0
2019-09-05,16:00,15,64,157,248,16,0
2019-09-05,17:00,14,66,63,241,15,0
2019-09-05,18:00,14,70,41,238,16,0
2019-09-05,19:00,13,72,9,243,16,0
2019-09-05,20:00,13,80,0,239,17,0.1
2019-09-05,21:00,13,83,0,227,17,1
2019-09-05,22:00,13,85,0,239,18,0.1
2019-09-05,23:00,12,84,0,234,18,0.3
2019-09-06,00:00,13,90,0,238,18,0.8
2019-09-06,01:00,13,92,0,248,19,1
2019-09-06,02:00,13,94,0,269,20,1.2
2019-09-06,03:00,13,88,0,284,16,0.3
2019-09-06,04:00,12,85,0,290,16,0
2019-09-06,05:00,12,82,0,288,15,0
2019-09-06,06:00,12,76,0,285,16,0
2019-09-06,07:00,12,76,10,281,16,0
2019-09-06,08:00,12,82,43,283,19,0.1
2019-09-06,09:00,13,74,65,281,19,0.2
2019-09-06,10:00,13,73,132,284,21,0.1
2019-09-06,11:00,12,79,76,284,19,0.2
2019-09-06,12:00,13,80,100,282,18,0.1
2019-09-06,13:00,13,81,99,289,20,0.2
2019-09-06,14:00,12,87,46,287,17,0.4
2019-09-06,15:00,13,86,96,289,18,0.2
2019-09-06,16:00,13,85,87,289,18,0.1
2019-09-06,17:00,12,86,58,293,18,0.3
2019-09-06,18:00,12,85,41,295,18,0.2
2019-09-06,19:00,12,87,9,297,17,0.2
2019-09-06,20:00,12,87,0,300,15,0.2
2019-09-06,21:00,12,86,0,307,15,0.2
2019-09-06,22:00,12,88,0,314,14,0.2
2019-09-06,23:00,12,89,0,318,13,0.1
2019-09-07,00:00,12,90,0,318,12,0.1
2019-09-07,01:00,12,91,0,320,12,0.1
2019-09-07,02:00,12,90,0,318,11,0
2019-09-07,03:00,12,90,0,321,10,0.1
2019-09-07,04:00,12,91,0,329,10,0.1
2019-09-07,05:00,12,92,0,336,9,0.2
2019-09-07,06:00,11,92,0,340,8,0.2
2019-09-07,07:00,12,89,15,348,7,0.1
2019-09-07,08:00,12,85,44,356,7,0
2019-09-07,09:00,13,80,104,1,6,0
2019-09-07,10:00,13,77,145,8,6,0
2019-09-07,11:00,13,76,163,7,6,0
2019-09-07,12:00,13,76,189,4,6,0
2019-09-07,13:00,13,76,187,354,5,0
2019-09-07,14:00,14,74,208,356,5,0
2019-09-07,15:00,13,74,192,350,5,0
2019-09-07,16:00,13,73,156,344,5,0
2019-09-07,17:00,13,74,115,342,3,0
2019-09-07,18:00,12,77,62,331,2,0
