Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Monday 09/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-09,01:00,13,86,0,214,12,2.1
2019-09-09,02:00,12,86,0,220,12,2.4
2019-09-09,03:00,12,91,0,275,9,1
2019-09-09,04:00,12,88,0,306,13,0.1
2019-09-09,05:00,12,86,0,309,13,0
2019-09-09,06:00,12,83,0,312,12,0
2019-09-09,07:00,12,84,15,315,12,0.1
2019-09-09,08:00,12,81,54,317,13,0.1
2019-09-09,09:00,12,81,84,319,14,0.2
2019-09-09,10:00,12,82,120,319,14,0.2
2019-09-09,11:00,13,81,153,322,14,0
2019-09-09,12:00,13,79,163,326,14,0
2019-09-09,13:00,13,78,163,326,14,0.1
2019-09-09,14:00,13,79,158,327,14,0.1
2019-09-09,15:00,13,76,137,326,14,0
2019-09-09,16:00,13,75,117,328,13,0.2
2019-09-09,17:00,13,76,94,325,13,0.2
2019-09-09,18:00,12,78,51,321,11,0.1
2019-09-09,19:00,12,79,12,317,11,0
2019-09-09,20:00,12,81,0,318,10,0
2019-09-09,21:00,11,82,0,319,9,0
2019-09-09,22:00,11,81,0,320,9,0
2019-09-09,23:00,11,80,0,320,9,0
2019-09-10,00:00,12,80,0,317,8,0
2019-09-10,01:00,11,79,0,303,6,0
2019-09-10,02:00,11,79,0,294,6,0
2019-09-10,03:00,11,80,0,282,5,0
2019-09-10,04:00,10,81,0,269,5,0
2019-09-10,05:00,10,86,0,246,6,0
2019-09-10,06:00,10,90,0,224,6,0
2019-09-10,07:00,10,86,10,201,6,0
2019-09-10,08:00,11,81,35,200,7,0
2019-09-10,09:00,12,80,46,192,8,0
2019-09-10,10:00,12,77,76,196,10,0
2019-09-10,11:00,13,75,83,199,12,0
2019-09-10,12:00,12,77,58,192,12,0.2
2019-09-10,13:00,12,80,47,181,12,0.7
2019-09-10,14:00,13,82,48,187,15,0.7
2019-09-10,15:00,13,84,37,187,16,0.3
2019-09-10,16:00,14,85,37,191,18,0.4
2019-09-10,17:00,13,90,21,192,18,1.7
2019-09-10,18:00,14,91,6,199,18,2.9
2019-09-10,19:00,14,91,1,204,18,1.4
2019-09-10,20:00,15,92,0,207,18,0.4
2019-09-10,21:00,15,92,0,213,17,0.6
2019-09-10,22:00,16,92,0,220,16,1.4
2019-09-10,23:00,16,92,0,230,16,2.7
2019-09-11,00:00,16,92,0,241,17,1.2
2019-09-11,01:00,15,93,0,261,21,0.9
2019-09-11,02:00,14,91,0,258,21,0.1
2019-09-11,03:00,13,86,0,255,21,0.1
2019-09-11,04:00,13,83,0,254,19,0.1
2019-09-11,05:00,13,82,0,252,19,0
2019-09-11,06:00,13,83,0,255,20,0
2019-09-11,07:00,13,83,12,257,20,0
2019-09-11,08:00,14,81,47,260,21,0.1
2019-09-11,09:00,14,78,79,263,22,0.1
2019-09-11,10:00,14,74,130,265,23,0
2019-09-11,11:00,14,72,166,264,21,0
2019-09-11,12:00,15,69,188,263,19,0
2019-09-11,13:00,15,69,211,266,19,0
2019-09-11,14:00,14,70,147,263,19,0.1
2019-09-11,15:00,14,68,141,264,19,0.2
2019-09-11,16:00,14,73,102,265,17,0.1
2019-09-11,17:00,14,72,88,265,17,0
2019-09-11,18:00,13,75,36,259,15,0
2019-09-11,19:00,12,79,8,253,13,0
2019-09-11,20:00,12,80,0,247,11,0
2019-09-11,21:00,12,78,0,241,11,0
2019-09-11,22:00,12,78,0,243,10,0
2019-09-11,23:00,12,80,0,242,10,0
2019-09-12,00:00,12,83,0,231,9,0
2019-09-12,01:00,12,86,0,226,9,0
2019-09-12,02:00,12,86,0,214,8,0
2019-09-12,03:00,12,87,0,206,8,0
2019-09-12,04:00,11,90,0,199,7,0
2019-09-12,05:00,12,89,0,193,6,0.2
2019-09-12,06:00,12,91,0,186,6,0.7
2019-09-12,07:00,12,93,2,189,6,0.8
2019-09-12,08:00,12,93,9,190,6,1.1
2019-09-12,09:00,13,94,16,193,6,1.3
2019-09-12,10:00,13,94,18,188,4,0.9
2019-09-12,11:00,13,94,29,235,3,1
2019-09-12,12:00,13,94,42,303,8,0.7
2019-09-12,13:00,13,92,35,314,11,0.3
2019-09-12,14:00,13,86,96,307,11,0
2019-09-12,15:00,14,81,166,303,14,0
2019-09-12,16:00,13,80,122,301,14,0
2019-09-12,17:00,13,81,89,300,14,0
2019-09-12,18:00,12,82,45,297,14,0
