Location MalinHead 55.37N 7.34W 
Nearest Gridpoint used 55.36N  7.312W 
Based on ECMWF analysis of  00Z on Tuesday 12/11/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-11-12,01:00,6,86,0,300,27,0.8
2019-11-12,02:00,6,83,0,304,28,1
2019-11-12,03:00,6,86,0,306,28,1
2019-11-12,04:00,6,88,0,312,28,1.1
2019-11-12,05:00,7,86,0,316,26,0.8
2019-11-12,06:00,7,82,0,319,22,0.7
2019-11-12,07:00,7,87,0,319,22,0.8
2019-11-12,08:00,7,82,0,324,21,1
2019-11-12,09:00,8,82,5,328,20,0.3
2019-11-12,10:00,8,75,20,335,20,0.3
2019-11-12,11:00,8,71,45,333,19,0
2019-11-12,12:00,8,71,57,330,18,0
2019-11-12,13:00,8,69,64,329,17,0
2019-11-12,14:00,8,64,66,329,16,0
2019-11-12,15:00,8,70,44,333,16,0
2019-11-12,16:00,7,72,18,331,15,0
2019-11-12,17:00,7,72,1,332,14,0
2019-11-12,18:00,7,70,0,334,12,0
2019-11-12,19:00,6,70,0,328,11,0
2019-11-12,20:00,6,74,0,324,10,0.1
2019-11-12,21:00,6,72,0,322,9,0.1
2019-11-12,22:00,6,70,0,324,8,0
2019-11-12,23:00,6,70,0,326,6,0
2019-11-13,00:00,5,74,0,323,5,0
2019-11-13,01:00,4,80,0,308,4,0
2019-11-13,02:00,4,81,0,251,3,0
2019-11-13,03:00,4,88,0,232,6,0
2019-11-13,04:00,4,91,0,238,5,0
2019-11-13,05:00,3,92,0,211,3,0
2019-11-13,06:00,3,91,0,179,5,0
2019-11-13,07:00,3,93,0,173,6,0
2019-11-13,08:00,3,93,0,169,7,0
2019-11-13,09:00,3,91,6,166,7,0
2019-11-13,10:00,4,87,28,154,7,0
2019-11-13,11:00,5,83,50,141,8,0
2019-11-13,12:00,5,80,71,138,9,0
2019-11-13,13:00,6,78,81,139,10,0
2019-11-13,14:00,6,77,42,123,9,0
2019-11-13,15:00,6,77,47,113,10,0
2019-11-13,16:00,5,77,21,109,9,0
2019-11-13,17:00,5,75,1,114,8,0
2019-11-13,18:00,5,78,0,104,9,0
2019-11-13,19:00,5,81,0,90,11,0.2
2019-11-13,20:00,5,83,0,77,12,0.5
2019-11-13,21:00,5,73,0,70,11,0
2019-11-13,22:00,4,73,0,65,11,0
2019-11-13,23:00,4,72,0,58,11,0
2019-11-14,00:00,4,76,0,49,11,0
2019-11-14,01:00,4,77,0,43,10,0
2019-11-14,02:00,4,75,0,39,9,0
2019-11-14,03:00,4,70,0,36,9,0
2019-11-14,04:00,4,67,0,21,9,0
2019-11-14,05:00,5,65,0,14,11,0
2019-11-14,06:00,5,64,0,18,12,0
2019-11-14,07:00,5,65,0,21,12,0
2019-11-14,08:00,5,62,0,20,13,0
2019-11-14,09:00,6,63,9,21,13,0
2019-11-14,10:00,6,65,33,17,13,0
2019-11-14,11:00,7,63,60,16,14,0.1
2019-11-14,12:00,7,60,76,16,16,0.1
2019-11-14,13:00,7,58,83,14,15,0
2019-11-14,14:00,7,57,65,12,14,0.1
2019-11-14,15:00,6,55,35,12,14,0
2019-11-14,16:00,6,58,18,11,14,0.4
2019-11-14,17:00,6,55,1,13,16,0
2019-11-14,18:00,6,58,0,14,16,0
2019-11-14,19:00,6,60,0,15,16,0
2019-11-14,20:00,6,58,0,15,16,0
2019-11-14,21:00,6,62,0,9,15,0.2
2019-11-14,22:00,6,63,0,7,14,0
2019-11-14,23:00,6,62,0,8,13,0.1
2019-11-15,00:00,6,62,0,11,14,0.1
2019-11-15,01:00,6,64,0,17,14,0
2019-11-15,02:00,6,64,0,21,14,0
2019-11-15,03:00,6,63,0,20,14,0
2019-11-15,04:00,6,63,0,18,14,0
2019-11-15,05:00,6,66,0,21,13,0
2019-11-15,06:00,6,65,0,21,13,0
2019-11-15,07:00,6,65,0,19,13,0
2019-11-15,08:00,6,65,0,19,13,0
2019-11-15,09:00,6,65,8,19,13,0
2019-11-15,10:00,6,65,39,21,13,0
2019-11-15,11:00,7,65,62,23,12,0
2019-11-15,12:00,7,65,72,22,12,0
2019-11-15,13:00,7,66,80,22,11,0
2019-11-15,14:00,7,68,70,19,10,0
2019-11-15,15:00,6,70,48,12,9,0
2019-11-15,16:00,6,72,20,17,9,0
2019-11-15,17:00,5,74,1,17,8,0
2019-11-15,18:00,5,74,0,15,7,0
