Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Tuesday 02/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-02,01:00,11,96,0,277,5,0
2019-07-02,02:00,11,96,0,273,5,0
2019-07-02,03:00,11,95,0,276,4,0
2019-07-02,04:00,11,94,0,273,4,0
2019-07-02,05:00,11,93,4,275,4,0
2019-07-02,06:00,12,89,25,301,5,0
2019-07-02,07:00,13,80,60,321,7,0.1
2019-07-02,08:00,13,76,90,326,7,0
2019-07-02,09:00,14,71,134,326,7,0
2019-07-02,10:00,14,69,146,325,8,0
2019-07-02,11:00,15,66,186,328,8,0
2019-07-02,12:00,15,67,156,329,8,0.1
2019-07-02,13:00,16,63,232,329,8,0
2019-07-02,14:00,15,61,194,333,7,0
2019-07-02,15:00,16,61,228,330,8,0
2019-07-02,16:00,15,62,224,332,8,0
2019-07-02,17:00,15,62,174,333,7,0
2019-07-02,18:00,15,65,157,333,7,0
2019-07-02,19:00,13,71,67,333,7,0
2019-07-02,20:00,13,76,29,335,6,0
2019-07-02,21:00,12,84,11,334,6,0
2019-07-02,22:00,11,88,0,335,5,0
2019-07-02,23:00,10,91,0,341,5,0
2019-07-03,00:00,10,92,0,354,4,0
2019-07-03,01:00,9,93,0,4,4,0
2019-07-03,02:00,9,94,0,14,3,0
2019-07-03,03:00,9,96,0,25,3,0
2019-07-03,04:00,8,98,0,31,3,0
2019-07-03,05:00,9,99,6,28,3,0
2019-07-03,06:00,10,93,37,22,2,0
2019-07-03,07:00,12,85,84,26,2,0
2019-07-03,08:00,13,75,138,26,3,0
2019-07-03,09:00,14,70,172,13,3,0
2019-07-03,10:00,14,66,183,12,2,0
2019-07-03,11:00,15,64,218,19,2,0
2019-07-03,12:00,16,62,261,18,2,0
2019-07-03,13:00,17,58,289,11,2,0
2019-07-03,14:00,18,53,273,9,2,0
2019-07-03,15:00,18,55,265,346,5,0
2019-07-03,16:00,17,67,241,337,7,0
2019-07-03,17:00,17,65,203,341,6,0
2019-07-03,18:00,17,66,151,343,6,0
2019-07-03,19:00,16,72,96,334,6,0
2019-07-03,20:00,15,79,48,332,5,0
2019-07-03,21:00,13,86,11,339,5,0
2019-07-03,22:00,12,92,0,342,4,0
2019-07-03,23:00,12,93,0,339,5,0
2019-07-04,00:00,11,95,0,348,3,0
2019-07-04,01:00,11,97,0,339,2,0
2019-07-04,02:00,10,99,0,328,3,0
2019-07-04,03:00,10,100,0,269,1,0
2019-07-04,04:00,9,100,0,273,1,0
2019-07-04,05:00,9,100,5,281,2,0
2019-07-04,06:00,10,98,26,294,2,0
2019-07-04,07:00,12,95,49,309,2,0
2019-07-04,08:00,14,85,96,304,4,0
2019-07-04,09:00,15,75,160,293,4,0
2019-07-04,10:00,16,70,200,285,4,0
2019-07-04,11:00,17,65,235,281,5,0
2019-07-04,12:00,16,65,143,291,6,0
2019-07-04,13:00,16,67,92,307,6,0
2019-07-04,14:00,16,68,99,314,7,0
2019-07-04,15:00,16,68,103,296,6,0
2019-07-04,16:00,17,64,170,281,6,0
2019-07-04,17:00,17,64,158,287,6,0
2019-07-04,18:00,16,66,96,292,7,0
2019-07-04,19:00,16,69,66,292,6,0
2019-07-04,20:00,15,75,39,278,5,0
2019-07-04,21:00,13,81,10,262,5,0
2019-07-04,22:00,13,85,0,251,5,0
2019-07-04,23:00,12,87,0,253,5,0
2019-07-05,00:00,12,91,0,249,6,0
2019-07-05,01:00,12,93,0,248,6,0
2019-07-05,02:00,12,93,0,252,6,0
2019-07-05,03:00,13,93,0,253,6,0
2019-07-05,04:00,13,93,0,250,6,0
2019-07-05,05:00,13,93,1,255,6,0.1
2019-07-05,06:00,14,93,7,260,6,0.1
2019-07-05,07:00,14,88,22,281,8,0.1
2019-07-05,08:00,15,85,41,283,8,0
2019-07-05,09:00,16,80,91,292,9,0.2
2019-07-05,10:00,16,79,94,298,10,0.2
2019-07-05,11:00,16,81,105,303,9,0.2
2019-07-05,12:00,16,83,86,309,9,0.1
2019-07-05,13:00,16,82,113,309,9,0.1
2019-07-05,14:00,16,79,106,316,9,0.1
2019-07-05,15:00,16,76,119,316,9,0
2019-07-05,16:00,15,79,100,317,9,0
2019-07-05,17:00,15,81,75,318,9,0.1
2019-07-05,18:00,15,82,44,321,8,0.1
