Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Monday 08/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-08,01:00,13,88,0,75,2,0
2019-07-08,02:00,13,85,0,126,3,0
2019-07-08,03:00,13,86,0,134,3,0
2019-07-08,04:00,13,86,0,159,2,0
2019-07-08,05:00,13,87,2,181,2,0.2
2019-07-08,06:00,13,88,7,190,3,0.4
2019-07-08,07:00,13,89,14,209,3,0.2
2019-07-08,08:00,14,85,51,226,3,0
2019-07-08,09:00,14,82,62,222,3,0
2019-07-08,10:00,15,79,95,217,4,0.1
2019-07-08,11:00,16,78,110,232,5,0.1
2019-07-08,12:00,16,78,115,234,5,0.1
2019-07-08,13:00,17,76,108,233,5,0.1
2019-07-08,14:00,17,76,93,233,6,0.1
2019-07-08,15:00,17,77,84,236,6,0.1
2019-07-08,16:00,17,77,68,237,6,0
2019-07-08,17:00,17,76,73,243,6,0
2019-07-08,18:00,17,76,52,239,5,0
2019-07-08,19:00,17,77,36,236,4,0
2019-07-08,20:00,16,79,18,240,4,0
2019-07-08,21:00,16,83,2,243,4,0.1
2019-07-08,22:00,15,85,0,241,5,0.3
2019-07-08,23:00,14,89,0,236,6,0.1
2019-07-09,00:00,14,90,0,230,6,0.1
2019-07-09,01:00,14,92,0,229,5,0
2019-07-09,02:00,14,94,0,230,5,0
2019-07-09,03:00,14,94,0,221,5,0
2019-07-09,04:00,14,95,0,217,5,0
2019-07-09,05:00,13,95,3,213,5,0
2019-07-09,06:00,14,92,18,220,5,0.1
2019-07-09,07:00,14,90,34,215,4,0.3
2019-07-09,08:00,15,84,70,217,4,0.1
2019-07-09,09:00,16,77,108,234,6,0
2019-07-09,10:00,18,70,160,233,7,0
2019-07-09,11:00,19,69,204,236,7,0.4
2019-07-09,12:00,18,72,101,245,5,0.8
2019-07-09,13:00,18,74,118,232,4,0.6
2019-07-09,14:00,19,76,122,247,2,0.6
2019-07-09,15:00,19,75,115,245,3,0.4
2019-07-09,16:00,19,77,94,228,6,0.3
2019-07-09,17:00,18,78,77,231,7,0.4
2019-07-09,18:00,18,79,71,232,6,0.1
2019-07-09,19:00,18,82,55,228,6,0
2019-07-09,20:00,17,84,27,216,5,0
2019-07-09,21:00,16,86,5,209,6,0
2019-07-09,22:00,16,89,0,207,6,0
2019-07-09,23:00,16,90,0,207,6,0.1
2019-07-10,00:00,15,92,0,211,6,0.1
2019-07-10,01:00,15,94,0,208,6,0.2
2019-07-10,02:00,15,96,0,206,6,0.3
2019-07-10,03:00,15,97,0,208,6,0.6
2019-07-10,04:00,15,98,0,208,6,0.9
2019-07-10,05:00,15,98,1,206,6,0.5
2019-07-10,06:00,15,97,7,201,6,0.4
2019-07-10,07:00,15,98,16,196,5,0.3
2019-07-10,08:00,16,97,28,202,6,0.3
2019-07-10,09:00,16,97,39,204,5,0.3
2019-07-10,10:00,17,97,61,199,5,0.5
2019-07-10,11:00,17,97,42,203,5,0.7
2019-07-10,12:00,17,96,46,212,4,0.4
2019-07-10,13:00,18,94,66,200,5,0.2
2019-07-10,14:00,18,92,90,206,6,0.2
2019-07-10,15:00,18,90,92,204,6,0.2
2019-07-10,16:00,18,86,84,201,7,0
2019-07-10,17:00,19,77,111,213,9,0.1
2019-07-10,18:00,18,76,99,213,9,0
2019-07-10,19:00,18,79,67,215,9,0
2019-07-10,20:00,17,82,28,212,7,0
2019-07-10,21:00,16,86,6,205,7,0
2019-07-10,22:00,15,88,0,199,7,0
2019-07-10,23:00,15,90,0,193,6,0
2019-07-11,00:00,14,91,0,186,6,0
2019-07-11,01:00,15,90,0,178,6,0
2019-07-11,02:00,14,92,0,167,6,0
2019-07-11,03:00,14,93,0,165,7,0
2019-07-11,04:00,14,92,0,162,7,0.5
2019-07-11,05:00,14,94,1,163,7,0.2
2019-07-11,06:00,15,93,8,172,7,0.1
2019-07-11,07:00,15,92,27,190,8,0
2019-07-11,08:00,16,91,33,217,8,0.1
2019-07-11,09:00,17,87,69,255,7,0.2
2019-07-11,10:00,18,82,175,250,7,0
2019-07-11,11:00,18,75,208,238,8,0
2019-07-11,12:00,18,67,218,237,8,0
2019-07-11,13:00,18,62,213,247,9,0
2019-07-11,14:00,18,62,174,257,9,0
2019-07-11,15:00,18,61,159,259,9,0
2019-07-11,16:00,18,62,142,276,9,0
2019-07-11,17:00,17,66,116,279,9,0
2019-07-11,18:00,17,68,64,268,8,0
