Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Saturday 27/07/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-27,01:00,12,95,0,200,4,0
2019-07-27,02:00,11,96,0,191,3,0
2019-07-27,03:00,11,97,0,220,4,0
2019-07-27,04:00,11,97,0,209,3,0
2019-07-27,05:00,11,98,1,210,4,0
2019-07-27,06:00,12,96,22,208,4,0
2019-07-27,07:00,13,90,66,213,3,0
2019-07-27,08:00,14,82,117,236,4,0
2019-07-27,09:00,16,74,144,237,3,0
2019-07-27,10:00,16,67,156,247,4,0
2019-07-27,11:00,18,59,193,248,5,0
2019-07-27,12:00,18,56,182,247,5,0
2019-07-27,13:00,18,56,160,254,5,0
2019-07-27,14:00,19,56,197,274,6,0.1
2019-07-27,15:00,18,64,148,315,6,0
2019-07-27,16:00,17,72,127,332,6,0.1
2019-07-27,17:00,17,72,112,326,6,0
2019-07-27,18:00,16,75,77,333,6,0
2019-07-27,19:00,15,80,40,336,6,0
2019-07-27,20:00,15,85,20,331,5,0
2019-07-27,21:00,14,90,2,322,5,0
2019-07-27,22:00,14,91,0,313,4,0
2019-07-27,23:00,13,94,0,306,4,0
2019-07-28,00:00,13,94,0,305,4,0
2019-07-28,01:00,13,95,0,307,5,0
2019-07-28,02:00,13,94,0,318,5,0
2019-07-28,03:00,13,94,0,316,6,0
2019-07-28,04:00,13,92,0,318,6,0
2019-07-28,05:00,13,92,0,318,5,0
2019-07-28,06:00,13,90,14,306,5,0
2019-07-28,07:00,14,84,48,317,8,0
2019-07-28,08:00,15,77,84,317,8,0
2019-07-28,09:00,16,71,125,314,8,0
2019-07-28,10:00,16,66,164,316,9,0
2019-07-28,11:00,16,70,164,318,10,0.1
2019-07-28,12:00,16,70,165,314,9,0
2019-07-28,13:00,17,66,248,313,9,0.1
2019-07-28,14:00,17,64,197,320,9,0
2019-07-28,15:00,17,63,204,321,9,0
2019-07-28,16:00,17,64,193,320,9,0
2019-07-28,17:00,16,67,154,311,9,0
2019-07-28,18:00,16,73,103,312,9,0
2019-07-28,19:00,15,79,58,312,8,0
2019-07-28,20:00,14,83,19,308,7,0
2019-07-28,21:00,14,85,1,296,6,0
2019-07-28,22:00,14,87,0,285,6,0
2019-07-28,23:00,13,89,0,275,6,0
2019-07-29,00:00,13,89,0,264,6,0
2019-07-29,01:00,13,89,0,252,5,0.1
2019-07-29,02:00,13,90,0,253,5,0.2
2019-07-29,03:00,14,92,0,264,5,0.2
2019-07-29,04:00,14,94,0,295,5,0.2
2019-07-29,05:00,14,94,0,307,5,0.5
2019-07-29,06:00,14,95,5,291,4,0.1
2019-07-29,07:00,14,94,15,275,4,0.1
2019-07-29,08:00,14,92,36,273,4,0
2019-07-29,09:00,15,89,64,273,4,0
2019-07-29,10:00,15,84,87,257,3,0
2019-07-29,11:00,16,81,94,251,3,0
2019-07-29,12:00,16,78,108,242,3,0.1
2019-07-29,13:00,17,73,152,261,3,0
2019-07-29,14:00,18,70,164,285,2,0
2019-07-29,15:00,18,69,173,307,2,0.2
2019-07-29,16:00,17,74,140,327,3,0.2
2019-07-29,17:00,17,78,102,348,4,0.2
2019-07-29,18:00,16,80,52,344,5,0.1
2019-07-29,19:00,16,85,21,329,6,0.1
2019-07-29,20:00,15,89,17,337,6,0
2019-07-29,21:00,14,91,1,342,5,0
2019-07-29,22:00,14,93,0,344,5,0
2019-07-29,23:00,14,93,0,338,5,0.1
2019-07-30,00:00,14,94,0,339,6,1.4
2019-07-30,01:00,14,95,0,343,6,1.1
2019-07-30,02:00,14,96,0,351,6,1.1
2019-07-30,03:00,14,96,0,358,6,0.5
2019-07-30,04:00,13,95,0,4,6,0.7
2019-07-30,05:00,13,95,0,7,6,0.1
2019-07-30,06:00,13,94,13,359,7,0
2019-07-30,07:00,14,92,32,355,7,0.1
2019-07-30,08:00,14,91,48,357,7,0.2
2019-07-30,09:00,14,92,37,356,8,0.2
2019-07-30,10:00,15,86,84,358,9,0.1
2019-07-30,11:00,16,85,81,353,9,0.2
2019-07-30,12:00,16,85,75,344,10,0.1
2019-07-30,13:00,16,83,101,342,10,0.1
2019-07-30,14:00,16,81,105,339,11,0.1
2019-07-30,15:00,16,82,128,335,11,0.1
2019-07-30,16:00,16,82,73,330,11,0.1
2019-07-30,17:00,16,83,45,333,11,0.1
2019-07-30,18:00,15,84,58,334,11,0.1
