Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Wednesday 14/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-14,01:00,13,95,0,129,5,0.4
2019-08-14,02:00,13,97,0,126,5,0.4
2019-08-14,03:00,13,97,0,130,6,0.1
2019-08-14,04:00,13,98,0,131,5,0
2019-08-14,05:00,14,98,0,132,4,0
2019-08-14,06:00,13,98,3,123,4,0
2019-08-14,07:00,14,94,19,125,5,0.1
2019-08-14,08:00,15,91,35,138,5,0
2019-08-14,09:00,15,88,50,153,5,0
2019-08-14,10:00,16,86,67,169,5,0
2019-08-14,11:00,17,83,82,203,4,0.1
2019-08-14,12:00,18,79,98,225,5,0.1
2019-08-14,13:00,18,74,118,234,8,0.2
2019-08-14,14:00,17,84,95,253,11,1.1
2019-08-14,15:00,16,87,71,264,9,0.4
2019-08-14,16:00,18,77,168,264,12,0.2
2019-08-14,17:00,17,76,118,253,10,0.1
2019-08-14,18:00,17,80,92,246,10,0.1
2019-08-14,19:00,16,83,47,251,10,0
2019-08-14,20:00,15,86,11,254,11,0
2019-08-14,21:00,15,88,0,262,10,0.2
2019-08-14,22:00,15,91,0,281,10,0.3
2019-08-14,23:00,14,91,0,280,10,0.1
2019-08-15,00:00,14,89,0,270,10,0
2019-08-15,01:00,13,90,0,278,10,0
2019-08-15,02:00,13,90,0,295,11,0.1
2019-08-15,03:00,13,90,0,298,11,0.1
2019-08-15,04:00,13,91,0,293,9,0
2019-08-15,05:00,12,92,0,290,8,0.1
2019-08-15,06:00,12,92,5,286,7,0
2019-08-15,07:00,13,90,32,279,7,0
2019-08-15,08:00,14,85,78,277,7,0
2019-08-15,09:00,14,76,128,283,8,0
2019-08-15,10:00,16,70,143,271,8,0
2019-08-15,11:00,16,71,91,251,7,0
2019-08-15,12:00,17,68,118,242,8,0
2019-08-15,13:00,18,71,137,227,8,0.2
2019-08-15,14:00,18,73,123,232,8,0.1
2019-08-15,15:00,18,73,116,232,9,0.2
2019-08-15,16:00,18,76,107,228,9,0.3
2019-08-15,17:00,18,78,115,226,10,0.1
2019-08-15,18:00,17,80,80,217,10,0.2
2019-08-15,19:00,16,84,38,208,9,0
2019-08-15,20:00,16,86,8,204,9,0
2019-08-15,21:00,15,87,0,198,9,0.1
2019-08-15,22:00,15,91,0,189,9,0.6
2019-08-15,23:00,14,94,0,191,10,1
2019-08-16,00:00,14,95,0,185,10,0.6
2019-08-16,01:00,14,95,0,182,11,0.2
2019-08-16,02:00,14,93,0,178,11,0.1
2019-08-16,03:00,14,94,0,174,11,0.4
2019-08-16,04:00,14,94,0,166,12,0.5
2019-08-16,05:00,14,94,0,158,11,1.4
2019-08-16,06:00,14,94,1,162,12,1.8
2019-08-16,07:00,15,94,3,176,12,1.8
2019-08-16,08:00,16,95,14,194,11,0.4
2019-08-16,09:00,16,90,27,239,13,0.3
2019-08-16,10:00,17,86,101,228,10,0.1
2019-08-16,11:00,18,79,205,224,12,0.1
2019-08-16,12:00,18,72,213,228,12,0.2
2019-08-16,13:00,18,70,192,231,13,0.2
2019-08-16,14:00,18,70,185,225,14,0.2
2019-08-16,15:00,18,70,156,225,13,0.1
2019-08-16,16:00,17,71,105,222,12,0.2
2019-08-16,17:00,17,72,95,227,13,0.2
2019-08-16,18:00,16,75,66,227,11,0.1
2019-08-16,19:00,16,80,29,219,8,0.1
2019-08-16,20:00,15,84,8,214,9,0.1
2019-08-16,21:00,14,86,0,210,9,0.1
2019-08-16,22:00,14,89,0,203,8,0
2019-08-16,23:00,14,91,0,197,8,0
2019-08-17,00:00,13,90,0,198,9,0
2019-08-17,01:00,13,89,0,202,9,0.1
2019-08-17,02:00,14,89,0,192,10,0.1
2019-08-17,03:00,14,89,0,201,10,0.2
2019-08-17,04:00,14,90,0,204,9,0.2
2019-08-17,05:00,14,91,0,234,11,0.4
2019-08-17,06:00,13,92,2,241,12,0.4
2019-08-17,07:00,13,89,14,262,13,0.7
2019-08-17,08:00,13,87,48,251,12,0.1
2019-08-17,09:00,14,79,117,246,12,0.2
2019-08-17,10:00,14,74,158,240,13,0.2
2019-08-17,11:00,15,66,190,244,16,0.1
2019-08-17,12:00,15,65,202,241,16,0.2
2019-08-17,13:00,15,57,204,241,16,0.1
2019-08-17,14:00,15,63,200,244,16,0.1
2019-08-17,15:00,15,63,198,235,18,0.1
2019-08-17,16:00,14,71,144,229,17,0.5
2019-08-17,17:00,14,72,99,226,16,0.2
2019-08-17,18:00,12,82,26,224,15,0.8
