Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Thursday 22/08/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-22,01:00,14,90,0,210,9,0.2
2019-08-22,02:00,14,90,0,214,8,0.3
2019-08-22,03:00,14,90,0,214,9,0.3
2019-08-22,04:00,13,90,0,213,9,0.2
2019-08-22,05:00,13,93,0,207,8,0.2
2019-08-22,06:00,13,94,1,209,8,0.2
2019-08-22,07:00,14,94,5,209,8,0.1
2019-08-22,08:00,14,93,15,215,9,0.3
2019-08-22,09:00,15,94,28,207,8,0.3
2019-08-22,10:00,16,94,26,214,10,0.3
2019-08-22,11:00,16,93,32,214,10,0.3
2019-08-22,12:00,16,94,37,210,12,0.5
2019-08-22,13:00,17,93,39,220,12,0.3
2019-08-22,14:00,17,92,52,225,12,0.2
2019-08-22,15:00,17,90,61,233,13,0.2
2019-08-22,16:00,17,89,76,235,12,0.1
2019-08-22,17:00,17,88,41,230,11,0.1
2019-08-22,18:00,17,86,63,228,11,0
2019-08-22,19:00,17,87,33,225,10,0
2019-08-22,20:00,16,88,4,211,9,0
2019-08-22,21:00,15,91,0,207,10,0
2019-08-22,22:00,15,94,0,205,10,0
2019-08-22,23:00,15,94,0,202,10,0
2019-08-23,00:00,15,93,0,203,10,0
2019-08-23,01:00,15,92,0,204,10,0
2019-08-23,02:00,15,92,0,204,10,0
2019-08-23,03:00,14,91,0,204,10,0
2019-08-23,04:00,14,90,0,199,10,0
2019-08-23,05:00,14,90,0,197,10,0
2019-08-23,06:00,14,91,1,194,10,0
2019-08-23,07:00,15,89,15,193,10,0
2019-08-23,08:00,16,83,56,202,14,0
2019-08-23,09:00,16,76,85,203,14,0
2019-08-23,10:00,17,71,113,200,14,0
2019-08-23,11:00,19,66,176,203,14,0
2019-08-23,12:00,19,66,118,202,13,0
2019-08-23,13:00,20,65,131,195,12,0
2019-08-23,14:00,20,62,153,194,13,0
2019-08-23,15:00,21,59,157,195,12,0
2019-08-23,16:00,21,59,135,192,11,0
2019-08-23,17:00,20,61,106,192,10,0
2019-08-23,18:00,19,67,52,196,8,0
2019-08-23,19:00,18,70,19,196,6,0
2019-08-23,20:00,16,76,4,182,5,0
2019-08-23,21:00,16,79,0,173,7,0
2019-08-23,22:00,16,78,0,172,9,0.2
2019-08-23,23:00,16,80,0,166,9,0
2019-08-24,00:00,15,81,0,165,10,0
2019-08-24,01:00,15,81,0,162,9,0
2019-08-24,02:00,14,82,0,166,8,0
2019-08-24,03:00,14,83,0,154,7,0
2019-08-24,04:00,14,87,0,154,9,0.4
2019-08-24,05:00,14,88,0,153,9,0
2019-08-24,06:00,13,92,1,139,8,0.6
2019-08-24,07:00,14,94,6,140,9,0.7
2019-08-24,08:00,14,93,24,136,9,0.1
2019-08-24,09:00,15,90,65,140,9,0
2019-08-24,10:00,17,85,106,146,9,0
2019-08-24,11:00,18,80,124,153,9,0
2019-08-24,12:00,19,73,165,161,9,0.1
2019-08-24,13:00,18,81,63,147,6,0.7
2019-08-24,14:00,18,90,48,141,5,1.2
2019-08-24,15:00,17,92,28,124,3,0.9
2019-08-24,16:00,18,92,38,102,2,0.5
2019-08-24,17:00,18,91,42,87,2,0.3
2019-08-24,18:00,18,90,37,89,2,0
2019-08-24,19:00,18,91,17,143,2,0.3
2019-08-24,20:00,18,87,3,206,2,0.4
2019-08-24,21:00,16,96,0,240,2,0.3
2019-08-24,22:00,16,97,0,218,2,0.1
2019-08-24,23:00,16,98,0,137,1,0
2019-08-25,00:00,14,100,0,124,2,0.1
2019-08-25,01:00,14,100,0,136,2,0.1
2019-08-25,02:00,14,100,0,184,2,0.2
2019-08-25,03:00,14,100,0,193,2,0.1
2019-08-25,04:00,14,100,0,184,2,0
2019-08-25,05:00,14,100,0,204,2,0
2019-08-25,06:00,14,99,1,235,2,0
2019-08-25,07:00,15,97,12,261,3,0
2019-08-25,08:00,16,92,34,305,3,0
2019-08-25,09:00,16,91,54,329,3,0
2019-08-25,10:00,17,91,57,325,4,0.1
2019-08-25,11:00,18,86,70,316,4,0.2
2019-08-25,12:00,18,81,90,329,3,0
2019-08-25,13:00,20,73,148,336,3,0
2019-08-25,14:00,20,69,134,339,3,0
2019-08-25,15:00,20,71,173,327,5,0
2019-08-25,16:00,19,82,102,326,7,0
2019-08-25,17:00,18,84,80,323,7,0
2019-08-25,18:00,17,86,78,326,7,0
