Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Friday 25/10/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-10-25,01:00,2,98,0,213,2,0
2019-10-25,02:00,2,98,0,204,3,0
2019-10-25,03:00,2,98,0,186,2,0
2019-10-25,04:00,2,98,0,160,2,0
2019-10-25,05:00,3,98,0,150,3,0
2019-10-25,06:00,3,96,0,140,4,0
2019-10-25,07:00,4,95,0,135,4,0
2019-10-25,08:00,4,95,1,124,4,0.1
2019-10-25,09:00,4,94,13,131,5,0.1
2019-10-25,10:00,5,92,24,130,4,0.2
2019-10-25,11:00,6,89,40,140,5,0.2
2019-10-25,12:00,7,86,45,158,5,0.1
2019-10-25,13:00,7,80,67,167,4,0.1
2019-10-25,14:00,7,79,44,179,3,0.1
2019-10-25,15:00,7,80,29,196,3,0.1
2019-10-25,16:00,7,84,19,192,3,0.1
2019-10-25,17:00,6,90,8,216,3,0.1
2019-10-25,18:00,6,93,0,225,3,0
2019-10-25,19:00,6,94,0,236,3,0
2019-10-25,20:00,5,95,0,250,3,0
2019-10-25,21:00,5,95,0,259,3,0
2019-10-25,22:00,5,94,0,280,3,0
2019-10-25,23:00,5,94,0,281,3,0
2019-10-26,00:00,5,94,0,268,3,0
2019-10-26,01:00,4,94,0,246,3,0
2019-10-26,02:00,4,91,0,276,4,0
2019-10-26,03:00,4,88,0,280,4,0
2019-10-26,04:00,4,88,0,273,5,0
2019-10-26,05:00,3,89,0,281,4,0
2019-10-26,06:00,2,90,0,257,4,0
2019-10-26,07:00,2,90,0,256,5,0
2019-10-26,08:00,2,89,3,252,5,0
2019-10-26,09:00,4,84,33,247,6,0
2019-10-26,10:00,5,78,76,246,6,0
2019-10-26,11:00,6,71,111,258,7,0
2019-10-26,12:00,7,64,123,261,9,0
2019-10-26,13:00,7,58,128,262,11,0.1
2019-10-26,14:00,7,55,103,266,12,0
2019-10-26,15:00,7,62,85,266,11,0
2019-10-26,16:00,6,65,54,279,10,0
2019-10-26,17:00,5,70,17,276,8,0
2019-10-26,18:00,5,76,0,282,8,0.1
2019-10-26,19:00,5,82,0,276,9,0
2019-10-26,20:00,5,82,0,278,8,0
2019-10-26,21:00,5,81,0,272,8,0
2019-10-26,22:00,4,81,0,264,7,0
2019-10-26,23:00,5,80,0,262,8,0
2019-10-27,00:00,5,80,0,265,7,0
2019-10-27,01:00,5,81,0,269,7,0
2019-10-27,02:00,5,81,0,270,7,0
2019-10-27,03:00,5,82,0,274,7,0
2019-10-27,04:00,5,84,0,270,7,0
2019-10-27,05:00,5,85,0,273,6,0
2019-10-27,06:00,5,85,0,269,6,0
2019-10-27,07:00,5,84,0,266,6,0
2019-10-27,08:00,5,83,3,260,5,0
2019-10-27,09:00,6,79,30,264,5,0
2019-10-27,10:00,8,75,60,302,4,0
2019-10-27,11:00,9,67,80,325,7,0
2019-10-27,12:00,10,66,91,335,8,0.1
2019-10-27,13:00,10,64,92,333,7,0
2019-10-27,14:00,10,62,91,335,7,0
2019-10-27,15:00,10,64,72,341,7,0
2019-10-27,16:00,9,69,42,343,6,0
2019-10-27,17:00,7,78,16,343,4,0
2019-10-27,18:00,6,82,0,353,4,0
2019-10-27,19:00,6,83,0,9,4,0
2019-10-27,20:00,6,84,0,19,4,0
2019-10-27,21:00,5,87,0,22,3,0
2019-10-27,22:00,4,90,0,26,3,0
2019-10-27,23:00,3,91,0,33,3,0
2019-10-28,00:00,3,93,0,42,4,0
2019-10-28,01:00,2,93,0,50,4,0
2019-10-28,02:00,2,94,0,39,4,0
2019-10-28,03:00,2,93,0,35,4,0
2019-10-28,04:00,2,93,0,33,4,0
2019-10-28,05:00,2,92,0,34,5,0
2019-10-28,06:00,2,92,0,38,5,0
2019-10-28,07:00,2,92,0,46,4,0
2019-10-28,08:00,2,92,3,47,5,0
2019-10-28,09:00,4,89,33,46,5,0
2019-10-28,10:00,6,82,74,46,5,0
2019-10-28,11:00,8,76,107,48,6,0
2019-10-28,12:00,8,66,128,52,8,0
2019-10-28,13:00,8,61,123,53,9,0
2019-10-28,14:00,8,58,118,52,9,0
2019-10-28,15:00,8,59,91,55,8,0
2019-10-28,16:00,7,64,57,59,7,0
2019-10-28,17:00,6,72,16,56,5,0
2019-10-28,18:00,4,79,0,52,6,0
