Location Markee 54.18N 8.46W 
Nearest Gridpoint used 54.165N  8.437W 
Based on ECMWF analysis of  00Z on Sunday 17/11/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-11-17,01:00,2,96,0,245,3,0
2019-11-17,02:00,3,94,0,222,4,0
2019-11-17,03:00,2,96,0,258,3,0.1
2019-11-17,04:00,3,96,0,242,2,0.7
2019-11-17,05:00,3,96,0,324,4,0.5
2019-11-17,06:00,5,92,0,343,10,0.1
2019-11-17,07:00,6,91,0,350,13,0.4
2019-11-17,08:00,6,91,0,358,12,0.3
2019-11-17,09:00,5,91,2,4,11,0.2
2019-11-17,10:00,6,89,10,6,10,0.1
2019-11-17,11:00,6,87,48,7,9,0
2019-11-17,12:00,7,85,49,5,10,0
2019-11-17,13:00,7,82,57,2,9,0
2019-11-17,14:00,7,81,58,0,9,0
2019-11-17,15:00,7,80,46,357,8,0
2019-11-17,16:00,6,81,22,2,7,0
2019-11-17,17:00,4,86,2,2,6,0
2019-11-17,18:00,4,88,0,356,6,0
2019-11-17,19:00,3,88,0,353,6,0
2019-11-17,20:00,3,89,0,354,5,0
2019-11-17,21:00,2,88,0,14,4,0
2019-11-17,22:00,1,89,0,32,3,0
2019-11-17,23:00,0,91,0,52,4,0
2019-11-18,00:00,2,88,0,328,2,0
2019-11-18,01:00,0,92,0,32,3,0
2019-11-18,02:00,0,93,0,60,3,0
2019-11-18,03:00,0,93,0,35,3,0
2019-11-18,04:00,-1,94,0,72,4,0
2019-11-18,05:00,-1,96,0,120,3,0
2019-11-18,06:00,-1,92,0,153,4,0
2019-11-18,07:00,0,91,0,158,4,0
2019-11-18,08:00,0,92,0,141,5,0
2019-11-18,09:00,0,92,8,136,5,0
2019-11-18,10:00,2,89,40,135,6,0
2019-11-18,11:00,3,85,72,138,6,0
2019-11-18,12:00,4,84,91,136,7,0
2019-11-18,13:00,4,85,93,140,7,0
2019-11-18,14:00,5,87,72,139,7,0
2019-11-18,15:00,4,89,42,142,8,0
2019-11-18,16:00,4,93,16,143,8,0
2019-11-18,17:00,4,94,1,144,8,0
2019-11-18,18:00,4,94,0,145,9,0
2019-11-18,19:00,4,94,0,141,9,0
2019-11-18,20:00,4,94,0,142,9,0
2019-11-18,21:00,4,94,0,141,10,0
2019-11-18,22:00,4,94,0,143,11,0
2019-11-18,23:00,5,94,0,143,11,0
2019-11-19,00:00,5,93,0,142,12,0
2019-11-19,01:00,5,92,0,142,12,0
2019-11-19,02:00,5,91,0,142,12,0
2019-11-19,03:00,5,91,0,141,11,0
2019-11-19,04:00,5,91,0,139,11,0
2019-11-19,05:00,5,92,0,137,11,0
2019-11-19,06:00,6,90,0,140,12,0.1
2019-11-19,07:00,6,90,0,140,11,0.5
2019-11-19,08:00,6,92,0,135,11,0.8
2019-11-19,09:00,6,92,1,139,11,0.6
2019-11-19,10:00,7,92,4,145,10,0.3
2019-11-19,11:00,7,93,4,150,9,0.4
2019-11-19,12:00,7,94,7,151,7,0.6
2019-11-19,13:00,7,95,7,149,4,1.1
2019-11-19,14:00,7,97,3,148,3,1.5
2019-11-19,15:00,6,98,5,171,2,1
2019-11-19,16:00,6,98,7,189,2,0
2019-11-19,17:00,5,100,1,189,3,0
2019-11-19,18:00,4,100,0,172,3,0
2019-11-19,19:00,4,100,0,163,4,0
2019-11-19,20:00,3,98,0,156,5,0
2019-11-19,21:00,3,98,0,147,5,0
2019-11-19,22:00,3,99,0,144,6,0
2019-11-19,23:00,3,99,0,140,6,0
2019-11-20,00:00,3,98,0,139,7,0
2019-11-20,01:00,3,98,0,139,7,0
2019-11-20,02:00,3,97,0,135,7,0
2019-11-20,03:00,3,97,0,133,7,0
2019-11-20,04:00,2,97,0,127,7,0
2019-11-20,05:00,2,99,0,119,7,0
2019-11-20,06:00,2,100,0,114,7,0
2019-11-20,07:00,3,100,0,110,7,0
2019-11-20,08:00,3,98,0,107,5,0
2019-11-20,09:00,3,97,4,102,4,0
2019-11-20,10:00,4,97,27,123,3,0
2019-11-20,11:00,6,95,39,125,4,0
2019-11-20,12:00,7,93,45,130,6,0
2019-11-20,13:00,7,92,48,127,7,0
2019-11-20,14:00,8,90,44,142,8,0
2019-11-20,15:00,8,91,29,131,7,0
2019-11-20,16:00,7,91,19,121,7,0
2019-11-20,17:00,6,90,1,122,9,0
2019-11-20,18:00,6,88,0,125,11,0.2
