Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Wednesday 19/04/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-19,01:00,8,85,0,231,2,0
2017-04-19,02:00,8,86,0,255,2,0
2017-04-19,03:00,8,88,0,225,2,0
2017-04-19,04:00,8,88,0,201,3,0
2017-04-19,05:00,8,89,0,214,2,0
2017-04-19,06:00,8,90,1,252,2,0
2017-04-19,07:00,8,88,15,249,2,0
2017-04-19,08:00,10,83,44,272,1,0
2017-04-19,09:00,11,78,105,304,1,0
2017-04-19,10:00,12,72,125,313,1,0
2017-04-19,11:00,12,67,107,306,1,0
2017-04-19,12:00,13,64,99,303,1,0
2017-04-19,13:00,14,62,131,251,1,0
2017-04-19,14:00,14,62,112,203,2,0
2017-04-19,15:00,13,66,86,193,5,0
2017-04-19,16:00,12,65,52,201,6,0
2017-04-19,17:00,12,66,51,207,5,0
2017-04-19,18:00,12,68,39,209,5,0
2017-04-19,19:00,12,71,21,221,4,0
2017-04-19,20:00,11,73,1,232,4,0
2017-04-19,21:00,11,78,0,282,3,0
2017-04-19,22:00,11,82,0,322,5,0
2017-04-19,23:00,10,87,0,325,5,0
2017-04-20,00:00,9,91,0,330,5,0
2017-04-20,01:00,8,95,0,335,5,0
2017-04-20,02:00,8,96,0,327,5,0
2017-04-20,03:00,7,97,0,324,5,0
2017-04-20,04:00,7,97,0,324,5,0
2017-04-20,05:00,7,97,0,326,5,0
2017-04-20,06:00,7,97,3,330,5,0
2017-04-20,07:00,7,94,26,332,5,0
2017-04-20,08:00,9,88,79,332,5,0
2017-04-20,09:00,11,77,143,328,5,0
2017-04-20,10:00,12,66,199,325,5,0
2017-04-20,11:00,13,58,237,319,5,0
2017-04-20,12:00,14,56,270,313,5,0
2017-04-20,13:00,15,52,276,314,6,0
2017-04-20,14:00,15,54,263,322,7,0
2017-04-20,15:00,15,58,217,331,6,0
2017-04-20,16:00,14,60,140,333,7,0
2017-04-20,17:00,14,63,94,337,6,0
2017-04-20,18:00,13,66,76,337,5,0
2017-04-20,19:00,12,71,30,348,5,0
2017-04-20,20:00,11,77,4,342,5,0
2017-04-20,21:00,10,80,0,340,6,0
2017-04-20,22:00,9,84,0,336,6,0
2017-04-20,23:00,8,88,0,333,5,0
2017-04-21,00:00,8,89,0,331,5,0
2017-04-21,01:00,8,90,0,329,5,0
2017-04-21,02:00,8,90,0,333,5,0
2017-04-21,03:00,8,93,0,333,5,0
2017-04-21,04:00,8,94,0,331,5,0
2017-04-21,05:00,8,97,0,329,5,0
2017-04-21,06:00,7,99,2,327,5,0
2017-04-21,07:00,8,97,23,329,5,0
2017-04-21,08:00,9,94,60,329,5,0
2017-04-21,09:00,10,88,100,327,5,0
2017-04-21,10:00,11,80,173,332,4,0
2017-04-21,11:00,12,72,209,331,4,0
2017-04-21,12:00,14,66,249,335,4,0
2017-04-21,13:00,14,66,190,332,4,0
2017-04-21,14:00,14,65,171,331,5,0
2017-04-21,15:00,14,64,144,322,5,0
2017-04-21,16:00,14,63,101,318,5,0
2017-04-21,17:00,14,64,86,314,5,0
2017-04-21,18:00,14,65,59,312,5,0
2017-04-21,19:00,13,75,24,292,2,0
2017-04-21,20:00,12,77,4,304,3,0
2017-04-21,21:00,11,79,0,330,7,0
2017-04-21,22:00,9,88,0,327,7,0
2017-04-21,23:00,8,93,0,325,6,0
2017-04-22,00:00,7,95,0,323,6,0
2017-04-22,01:00,6,96,0,324,6,0
2017-04-22,02:00,6,97,0,330,6,0
2017-04-22,03:00,6,97,0,334,5,0
2017-04-22,04:00,6,97,0,341,5,0
2017-04-22,05:00,6,96,0,345,4,0
2017-04-22,06:00,6,95,4,347,4,0
2017-04-22,07:00,8,89,30,355,3,0
2017-04-22,08:00,10,81,59,4,3,0
2017-04-22,09:00,11,72,111,14,4,0
2017-04-22,10:00,12,62,191,3,4,0
2017-04-22,11:00,13,60,236,17,4,0
2017-04-22,12:00,13,60,199,17,4,0
2017-04-22,13:00,13,59,128,13,4,0
2017-04-22,14:00,14,59,126,25,4,0
2017-04-22,15:00,13,64,74,68,4,0
2017-04-22,16:00,11,75,61,117,6,0.1
2017-04-22,17:00,10,81,45,137,6,0
2017-04-22,18:00,10,82,37,133,5,0
