Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Saturday 06/05/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-05-06,01:00,10,58,0,75,11,0
2017-05-06,02:00,9,64,0,73,11,0
2017-05-06,03:00,9,68,0,75,11,0
2017-05-06,04:00,9,71,0,76,10,0
2017-05-06,05:00,9,74,0,72,10,0
2017-05-06,06:00,9,77,5,69,9,0
2017-05-06,07:00,9,77,27,71,11,0
2017-05-06,08:00,9,76,41,72,11,0
2017-05-06,09:00,9,73,46,74,11,0
2017-05-06,10:00,11,66,109,75,11,0
2017-05-06,11:00,11,66,149,76,10,0
2017-05-06,12:00,11,67,99,78,9,0
2017-05-06,13:00,11,68,101,80,9,0
2017-05-06,14:00,11,70,72,79,8,0
2017-05-06,15:00,12,70,60,81,8,0
2017-05-06,16:00,12,69,52,84,8,0
2017-05-06,17:00,12,70,44,83,7,0
2017-05-06,18:00,12,70,36,69,6,0
2017-05-06,19:00,12,72,23,62,4,0
2017-05-06,20:00,11,76,8,51,3,0
2017-05-06,21:00,10,80,0,35,4,0
2017-05-06,22:00,9,80,0,36,5,0
2017-05-06,23:00,8,82,0,34,5,0
2017-05-07,00:00,7,85,0,21,5,0
2017-05-07,01:00,7,87,0,9,4,0
2017-05-07,02:00,6,88,0,348,3,0
2017-05-07,03:00,6,89,0,334,4,0
2017-05-07,04:00,6,90,0,338,4,0
2017-05-07,05:00,5,90,0,340,4,0
2017-05-07,06:00,6,87,16,354,4,0
2017-05-07,07:00,9,79,58,6,4,0
2017-05-07,08:00,11,71,118,19,3,0
2017-05-07,09:00,13,66,177,39,3,0
2017-05-07,10:00,15,60,228,46,3,0
2017-05-07,11:00,16,56,241,43,3,0
2017-05-07,12:00,16,55,170,44,4,0
2017-05-07,13:00,16,55,170,68,2,0
2017-05-07,14:00,16,58,154,164,3,0
2017-05-07,15:00,15,67,128,186,7,0
2017-05-07,16:00,14,69,113,204,6,0
2017-05-07,17:00,15,65,134,231,5,0
2017-05-07,18:00,15,66,101,226,3,0
2017-05-07,19:00,14,75,61,187,3,0
2017-05-07,20:00,12,83,16,205,4,0
2017-05-07,21:00,10,85,0,202,4,0
2017-05-07,22:00,9,87,0,196,4,0
2017-05-07,23:00,9,90,0,208,4,0
2017-05-08,00:00,8,92,0,240,4,0
2017-05-08,01:00,8,93,0,267,3,0
2017-05-08,02:00,8,94,0,308,5,0
2017-05-08,03:00,7,96,0,325,4,0
2017-05-08,04:00,6,95,0,325,3,0
2017-05-08,05:00,5,96,0,340,3,0
2017-05-08,06:00,7,93,17,31,4,0
2017-05-08,07:00,10,84,63,96,5,0
2017-05-08,08:00,12,76,112,99,6,0
2017-05-08,09:00,13,70,165,98,6,0
2017-05-08,10:00,14,62,212,100,6,0
2017-05-08,11:00,15,59,262,97,6,0
2017-05-08,12:00,16,57,293,84,5,0
2017-05-08,13:00,16,58,237,112,6,0
2017-05-08,14:00,14,68,181,140,8,0
2017-05-08,15:00,14,68,239,140,7,0
2017-05-08,16:00,14,68,232,138,7,0
2017-05-08,17:00,12,70,179,132,7,0
2017-05-08,18:00,12,70,121,123,7,0
2017-05-08,19:00,11,72,63,121,6,0
2017-05-08,20:00,9,78,17,120,6,0
2017-05-08,21:00,8,80,0,106,6,0
2017-05-08,22:00,7,80,0,90,6,0
2017-05-08,23:00,6,81,0,72,5,0
2017-05-09,00:00,6,83,0,64,5,0
2017-05-09,01:00,6,84,0,63,5,0
2017-05-09,02:00,5,85,0,66,5,0
2017-05-09,03:00,5,87,0,66,5,0
2017-05-09,04:00,5,89,0,69,5,0
2017-05-09,05:00,5,91,0,71,5,0
2017-05-09,06:00,7,88,15,73,5,0
2017-05-09,07:00,9,84,51,80,5,0
2017-05-09,08:00,11,80,101,90,5,0
2017-05-09,09:00,12,70,165,100,6,0
2017-05-09,10:00,12,69,105,100,6,0
2017-05-09,11:00,12,68,104,103,7,0
2017-05-09,12:00,12,66,132,107,6,0
2017-05-09,13:00,13,65,177,109,6,0
2017-05-09,14:00,13,64,229,108,6,0
2017-05-09,15:00,13,62,206,112,5,0
2017-05-09,16:00,13,60,188,113,4,0
2017-05-09,17:00,13,62,132,116,4,0
2017-05-09,18:00,12,67,118,130,5,0
