Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Sunday 17/09/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-09-17,01:00,8,94,0,359,5,0
2017-09-17,02:00,7,95,0,358,5,0
2017-09-17,03:00,7,96,0,356,5,0
2017-09-17,04:00,6,96,0,0,5,0
2017-09-17,05:00,6,96,0,359,5,0
2017-09-17,06:00,6,96,0,3,5,0
2017-09-17,07:00,6,96,8,14,6,0
2017-09-17,08:00,8,90,49,26,7,0
2017-09-17,09:00,10,86,94,34,7,0
2017-09-17,10:00,11,84,144,39,6,0
2017-09-17,11:00,13,75,194,54,6,0
2017-09-17,12:00,15,62,216,69,6,0
2017-09-17,13:00,15,59,159,65,5,0
2017-09-17,14:00,15,58,123,52,4,0
2017-09-17,15:00,15,57,129,28,4,0
2017-09-17,16:00,15,59,93,14,5,0
2017-09-17,17:00,14,64,56,11,4,0
2017-09-17,18:00,14,71,29,354,3,0
2017-09-17,19:00,12,73,4,344,4,0
2017-09-17,20:00,12,72,0,345,4,0
2017-09-17,21:00,12,75,0,352,5,0
2017-09-17,22:00,11,77,0,352,4,0
2017-09-17,23:00,11,78,0,344,3,0
2017-09-18,00:00,11,80,0,352,2,0
2017-09-18,01:00,9,84,0,332,2,0
2017-09-18,02:00,8,88,0,309,4,0
2017-09-18,03:00,8,89,0,307,5,0
2017-09-18,04:00,8,89,0,304,5,0
2017-09-18,05:00,7,90,0,307,5,0
2017-09-18,06:00,7,92,0,310,5,0
2017-09-18,07:00,7,90,7,307,5,0
2017-09-18,08:00,9,83,49,309,4,0
2017-09-18,09:00,12,76,104,307,4,0
2017-09-18,10:00,13,69,134,306,4,0
2017-09-18,11:00,14,58,182,314,5,0
2017-09-18,12:00,15,53,175,310,6,0
2017-09-18,13:00,15,53,122,308,5,0
2017-09-18,14:00,15,53,119,296,5,0
2017-09-18,15:00,16,52,127,288,6,0
2017-09-18,16:00,16,52,99,291,6,0
2017-09-18,17:00,15,56,77,309,4,0
2017-09-18,18:00,14,69,37,322,3,0
2017-09-18,19:00,12,76,4,294,4,0
2017-09-18,20:00,11,78,0,285,5,0
2017-09-18,21:00,11,81,0,283,4,0
2017-09-18,22:00,11,84,0,272,4,0
2017-09-18,23:00,10,89,0,257,4,0
2017-09-19,00:00,9,92,0,249,4,0
2017-09-19,01:00,9,94,0,240,4,0
2017-09-19,02:00,9,95,0,212,3,0
2017-09-19,03:00,9,96,0,208,4,0
2017-09-19,04:00,10,96,0,190,4,0
2017-09-19,05:00,10,95,0,177,4,0
2017-09-19,06:00,10,97,0,163,5,0.1
2017-09-19,07:00,11,95,1,163,6,0.1
2017-09-19,08:00,12,93,5,170,6,0.2
2017-09-19,09:00,13,90,22,178,8,0
2017-09-19,10:00,14,90,27,181,9,0
2017-09-19,11:00,15,87,60,199,8,0.3
2017-09-19,12:00,16,81,93,204,9,0.2
2017-09-19,13:00,16,80,80,207,11,0.1
2017-09-19,14:00,15,84,66,206,11,0
2017-09-19,15:00,15,84,58,209,11,0
2017-09-19,16:00,15,85,69,201,10,0
2017-09-19,17:00,15,89,29,194,8,0
2017-09-19,18:00,14,90,16,195,8,0
2017-09-19,19:00,13,92,2,190,8,0
2017-09-19,20:00,13,95,0,185,8,0
2017-09-19,21:00,13,96,0,183,9,0
2017-09-19,22:00,13,96,0,180,9,0
2017-09-19,23:00,13,96,0,179,10,0
2017-09-20,00:00,13,96,0,175,11,0
2017-09-20,01:00,13,95,0,173,11,0
2017-09-20,02:00,14,94,0,173,11,0
2017-09-20,03:00,13,96,0,173,11,0
2017-09-20,04:00,13,94,0,170,11,0
2017-09-20,05:00,14,93,0,165,12,0
2017-09-20,06:00,14,95,0,166,11,0
2017-09-20,07:00,14,98,1,177,10,0
2017-09-20,08:00,15,98,8,183,11,0
2017-09-20,09:00,15,99,12,175,13,0
2017-09-20,10:00,16,96,21,174,13,0
2017-09-20,11:00,16,93,38,182,14,0.2
2017-09-20,12:00,16,96,82,180,16,0.6
2017-09-20,13:00,16,96,25,183,14,0.1
2017-09-20,14:00,16,97,18,183,12,0.6
2017-09-20,15:00,15,98,14,188,13,0.1
2017-09-20,16:00,15,99,19,173,10,1.5
2017-09-20,17:00,15,100,4,185,12,5.7
2017-09-20,18:00,15,99,2,221,8,0.5
