Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Thursday 19/10/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-10-19,01:00,12,95,0,166,12,0
2017-10-19,02:00,12,96,0,165,14,0.4
2017-10-19,03:00,12,96,0,167,14,1.1
2017-10-19,04:00,12,94,0,167,15,1.8
2017-10-19,05:00,12,95,0,167,14,2.1
2017-10-19,06:00,12,96,0,180,12,1.4
2017-10-19,07:00,12,95,0,173,9,0.9
2017-10-19,08:00,12,95,1,165,7,2.7
2017-10-19,09:00,12,96,5,167,12,2.3
2017-10-19,10:00,12,97,7,156,9,3
2017-10-19,11:00,13,94,9,151,10,1.6
2017-10-19,12:00,13,96,11,134,11,1.9
2017-10-19,13:00,13,100,16,118,8,2.6
2017-10-19,14:00,13,99,10,150,7,2
2017-10-19,15:00,13,100,11,297,7,1.8
2017-10-19,16:00,11,92,7,320,18,0.8
2017-10-19,17:00,11,90,18,318,19,0.2
2017-10-19,18:00,10,89,0,317,19,0.1
2017-10-19,19:00,10,86,0,318,18,0
2017-10-19,20:00,10,86,0,316,18,0
2017-10-19,21:00,9,83,0,315,18,0
2017-10-19,22:00,9,83,0,312,16,0
2017-10-19,23:00,9,83,0,305,15,0
2017-10-20,00:00,9,82,0,295,13,0
2017-10-20,01:00,8,80,0,291,12,0
2017-10-20,02:00,8,78,0,295,11,0
2017-10-20,03:00,8,77,0,294,9,0
2017-10-20,04:00,7,78,0,277,7,0
2017-10-20,05:00,6,80,0,251,8,0
2017-10-20,06:00,7,79,0,238,6,0
2017-10-20,07:00,6,81,0,229,7,0
2017-10-20,08:00,6,80,7,192,5,0
2017-10-20,09:00,8,75,25,153,5,0
2017-10-20,10:00,9,71,34,136,7,0
2017-10-20,11:00,10,74,47,149,10,0.2
2017-10-20,12:00,9,89,39,144,13,3.1
2017-10-20,13:00,10,90,23,149,15,2
2017-10-20,14:00,10,91,17,140,16,1.3
2017-10-20,15:00,11,93,9,142,18,1.9
2017-10-20,16:00,12,94,5,152,18,1.3
2017-10-20,17:00,14,94,4,186,17,0.7
2017-10-20,18:00,13,89,1,181,16,0.2
2017-10-20,19:00,12,86,0,183,17,0.2
2017-10-20,20:00,12,86,0,181,18,0.3
2017-10-20,21:00,12,85,0,182,19,0.2
2017-10-20,22:00,11,86,0,188,19,0.2
2017-10-20,23:00,12,87,0,187,19,0.2
2017-10-21,00:00,11,87,0,193,19,0.1
2017-10-21,01:00,11,92,0,198,19,0.2
2017-10-21,02:00,11,91,0,203,17,0.1
2017-10-21,03:00,11,90,0,211,16,0.1
2017-10-21,04:00,11,88,0,218,16,0.1
2017-10-21,05:00,11,88,0,226,17,0.5
2017-10-21,06:00,11,88,0,232,18,0.4
2017-10-21,07:00,10,90,0,240,20,1.7
2017-10-21,08:00,10,90,1,254,20,1
2017-10-21,09:00,10,92,5,264,19,0.6
2017-10-21,10:00,10,90,22,277,21,1.3
2017-10-21,11:00,10,88,35,279,21,0.9
2017-10-21,12:00,10,86,23,283,21,0.7
2017-10-21,13:00,10,85,62,289,21,0.6
2017-10-21,14:00,10,81,119,291,20,0.8
2017-10-21,15:00,10,79,81,293,21,0.2
2017-10-21,16:00,9,79,45,294,19,0.1
2017-10-21,17:00,9,78,23,292,18,0.1
2017-10-21,18:00,9,75,1,289,16,0
2017-10-21,19:00,8,76,0,288,16,0.1
2017-10-21,20:00,8,74,0,288,15,0
2017-10-21,21:00,8,75,0,286,15,0.1
2017-10-21,22:00,8,78,0,286,13,0.4
2017-10-21,23:00,8,78,0,286,13,0
2017-10-22,00:00,8,73,0,286,13,0
2017-10-22,01:00,8,70,0,288,13,0
2017-10-22,02:00,8,67,0,289,12,0
2017-10-22,03:00,8,71,0,289,12,0
2017-10-22,04:00,8,77,0,280,11,0
2017-10-22,05:00,9,82,0,278,12,0
2017-10-22,06:00,10,83,0,285,13,0
2017-10-22,07:00,10,86,0,285,13,0.1
2017-10-22,08:00,10,85,4,276,12,0.1
2017-10-22,09:00,10,83,18,270,10,0
2017-10-22,10:00,11,79,38,263,9,0
2017-10-22,11:00,12,68,119,270,14,0
2017-10-22,12:00,12,65,98,265,12,0
2017-10-22,13:00,13,66,82,257,11,0
2017-10-22,14:00,12,71,38,245,8,0
2017-10-22,15:00,12,68,32,241,7,0
2017-10-22,16:00,12,70,62,225,8,0
2017-10-22,17:00,12,76,14,211,8,0
2017-10-22,18:00,12,83,0,196,8,0.1
