Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Tuesday 12/02/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-02-12,01:00,9,92,0,193,11,0
2019-02-12,02:00,8,94,0,191,10,0
2019-02-12,03:00,8,93,0,191,10,0
2019-02-12,04:00,9,91,0,191,11,0.1
2019-02-12,05:00,9,92,0,196,12,0.2
2019-02-12,06:00,9,93,0,201,11,0.1
2019-02-12,07:00,10,94,0,209,11,0.1
2019-02-12,08:00,10,93,0,215,10,0
2019-02-12,09:00,10,91,6,214,10,0
2019-02-12,10:00,10,91,25,210,10,0
2019-02-12,11:00,11,90,26,207,11,0.1
2019-02-12,12:00,11,91,28,208,11,0
2019-02-12,13:00,12,88,50,212,13,0.1
2019-02-12,14:00,11,92,44,199,10,0
2019-02-12,15:00,11,93,42,197,9,0
2019-02-12,16:00,11,93,18,202,9,0.1
2019-02-12,17:00,10,94,9,194,9,0.1
2019-02-12,18:00,10,97,1,186,9,0.1
2019-02-12,19:00,10,98,0,185,9,0
2019-02-12,20:00,10,98,0,184,10,0
2019-02-12,21:00,9,98,0,188,11,0
2019-02-12,22:00,9,97,0,187,11,0
2019-02-12,23:00,9,95,0,188,13,0
2019-02-13,00:00,9,94,0,187,13,0
2019-02-13,01:00,9,92,0,187,12,0
2019-02-13,02:00,9,90,0,185,12,0
2019-02-13,03:00,8,91,0,182,12,0
2019-02-13,04:00,8,91,0,186,12,0
2019-02-13,05:00,8,92,0,186,12,0
2019-02-13,06:00,9,91,0,186,13,0
2019-02-13,07:00,9,91,0,189,13,0
2019-02-13,08:00,9,92,0,186,13,0
2019-02-13,09:00,9,91,9,187,13,0
2019-02-13,10:00,10,88,36,192,15,0.1
2019-02-13,11:00,10,82,72,193,16,0.1
2019-02-13,12:00,11,78,80,193,16,0
2019-02-13,13:00,11,80,78,193,15,0
2019-02-13,14:00,11,81,59,192,15,0
2019-02-13,15:00,11,80,62,193,15,0
2019-02-13,16:00,10,85,41,188,12,0
2019-02-13,17:00,10,89,22,187,11,0
2019-02-13,18:00,9,92,3,185,11,0
2019-02-13,19:00,9,92,0,186,11,0
2019-02-13,20:00,9,93,0,185,12,0
2019-02-13,21:00,9,93,0,186,12,0
2019-02-13,22:00,9,94,0,185,12,0
2019-02-13,23:00,9,93,0,185,12,0
2019-02-14,00:00,9,94,0,182,11,0
2019-02-14,01:00,9,94,0,180,11,0
2019-02-14,02:00,9,94,0,179,10,0
2019-02-14,03:00,8,95,0,174,10,0
2019-02-14,04:00,8,95,0,169,10,0
2019-02-14,05:00,8,95,0,171,10,0
2019-02-14,06:00,8,95,0,170,10,0
2019-02-14,07:00,8,95,0,167,10,0
2019-02-14,08:00,8,96,0,165,10,0
2019-02-14,09:00,8,94,11,164,10,0
2019-02-14,10:00,10,84,47,169,13,0
2019-02-14,11:00,10,83,56,164,12,0
2019-02-14,12:00,10,81,99,164,13,0
2019-02-14,13:00,10,80,85,164,13,0
2019-02-14,14:00,10,80,81,164,13,0
2019-02-14,15:00,10,82,60,165,13,0
2019-02-14,16:00,10,85,42,163,12,0
2019-02-14,17:00,9,90,20,159,10,0
2019-02-14,18:00,8,95,4,158,10,0
2019-02-14,19:00,8,96,0,160,10,0
2019-02-14,20:00,8,95,0,160,10,0
2019-02-14,21:00,8,95,0,159,10,0
2019-02-14,22:00,8,96,0,158,11,0
2019-02-14,23:00,8,96,0,161,11,0
2019-02-15,00:00,8,97,0,163,11,0
2019-02-15,01:00,8,96,0,165,12,0
2019-02-15,02:00,8,95,0,168,12,0
2019-02-15,03:00,8,94,0,172,12,0
2019-02-15,04:00,8,94,0,177,13,0
2019-02-15,05:00,9,93,0,179,13,0
2019-02-15,06:00,9,92,0,182,13,0
2019-02-15,07:00,9,90,0,185,13,0
2019-02-15,08:00,10,91,0,185,13,0
2019-02-15,09:00,10,89,17,185,13,0
2019-02-15,10:00,11,87,57,182,11,0
2019-02-15,11:00,12,82,94,194,14,0
2019-02-15,12:00,12,83,67,194,14,0
2019-02-15,13:00,12,85,58,190,12,0
2019-02-15,14:00,12,86,58,185,11,0
2019-02-15,15:00,12,89,33,183,10,0
2019-02-15,16:00,12,91,24,179,9,0
2019-02-15,17:00,11,92,21,181,9,0
2019-02-15,18:00,11,96,3,175,9,0
