Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Monday 18/03/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-03-18,01:00,5,83,0,271,7,0
2019-03-18,02:00,5,82,0,267,7,0.1
2019-03-18,03:00,5,83,0,267,7,0.1
2019-03-18,04:00,5,84,0,265,7,0.1
2019-03-18,05:00,5,85,0,260,6,0.2
2019-03-18,06:00,5,87,0,253,7,0.3
2019-03-18,07:00,5,88,0,252,7,0.2
2019-03-18,08:00,6,90,7,251,7,0.3
2019-03-18,09:00,6,92,19,256,7,0.2
2019-03-18,10:00,7,90,33,272,8,0.2
2019-03-18,11:00,8,85,49,288,9,0.3
2019-03-18,12:00,8,88,41,282,8,0.1
2019-03-18,13:00,9,87,50,285,9,0.1
2019-03-18,14:00,9,86,51,288,10,0.2
2019-03-18,15:00,8,90,25,291,9,0.5
2019-03-18,16:00,8,89,32,295,9,0.3
2019-03-18,17:00,8,89,23,294,9,0.1
2019-03-18,18:00,8,89,12,293,9,0
2019-03-18,19:00,7,90,4,296,8,0
2019-03-18,20:00,7,91,0,299,7,0
2019-03-18,21:00,6,93,0,297,6,0
2019-03-18,22:00,7,94,0,292,6,0
2019-03-18,23:00,7,93,0,286,6,0
2019-03-19,00:00,6,94,0,275,5,0
2019-03-19,01:00,4,95,0,253,4,0
2019-03-19,02:00,4,96,0,231,5,0
2019-03-19,03:00,5,95,0,225,5,0
2019-03-19,04:00,5,95,0,222,5,0
2019-03-19,05:00,6,94,0,219,6,0
2019-03-19,06:00,6,93,0,212,6,0.3
2019-03-19,07:00,7,93,0,201,6,1
2019-03-19,08:00,7,94,3,198,7,0.3
2019-03-19,09:00,9,94,30,207,8,0
2019-03-19,10:00,10,90,76,231,9,0
2019-03-19,11:00,10,94,25,236,7,0.1
2019-03-19,12:00,11,90,35,237,6,0
2019-03-19,13:00,13,77,148,286,9,0
2019-03-19,14:00,13,73,114,299,7,0
2019-03-19,15:00,14,69,111,300,7,0
2019-03-19,16:00,14,67,126,289,7,0
2019-03-19,17:00,14,70,67,283,5,0
2019-03-19,18:00,12,79,38,297,5,0
2019-03-19,19:00,10,86,5,300,6,0
2019-03-19,20:00,9,91,0,288,5,0
2019-03-19,21:00,9,92,0,260,5,0
2019-03-19,22:00,9,90,0,265,6,0
2019-03-19,23:00,9,92,0,250,4,0
2019-03-20,00:00,8,94,0,239,4,0
2019-03-20,01:00,8,95,0,232,5,0
2019-03-20,02:00,8,96,0,227,5,0
2019-03-20,03:00,8,97,0,218,5,0
2019-03-20,04:00,8,97,0,223,5,0
2019-03-20,05:00,9,97,0,223,5,0
2019-03-20,06:00,9,97,0,220,5,0
2019-03-20,07:00,9,98,1,222,5,0
2019-03-20,08:00,10,98,14,230,4,0
2019-03-20,09:00,11,91,36,245,5,0
2019-03-20,10:00,12,88,73,238,6,0
2019-03-20,11:00,13,81,93,226,7,0
2019-03-20,12:00,14,78,76,216,7,0
2019-03-20,13:00,15,75,81,219,7,0.1
2019-03-20,14:00,15,74,80,233,8,0.1
2019-03-20,15:00,15,70,107,243,8,0
2019-03-20,16:00,16,68,89,237,7,0
2019-03-20,17:00,15,73,54,228,6,0
2019-03-20,18:00,14,79,35,220,7,0
2019-03-20,19:00,12,89,5,220,7,0
2019-03-20,20:00,11,94,0,214,7,0
2019-03-20,21:00,11,97,0,212,6,0
2019-03-20,22:00,11,98,0,216,6,0
2019-03-20,23:00,11,97,0,224,6,0
2019-03-21,00:00,10,96,0,225,6,0
2019-03-21,01:00,10,94,0,227,6,0
2019-03-21,02:00,10,94,0,233,6,0
2019-03-21,03:00,10,95,0,234,5,0
2019-03-21,04:00,9,95,0,221,5,0
2019-03-21,05:00,9,96,0,196,5,0
2019-03-21,06:00,9,96,0,203,5,0
2019-03-21,07:00,9,96,1,217,5,0
2019-03-21,08:00,10,92,11,225,7,0
2019-03-21,09:00,10,85,37,229,7,0
2019-03-21,10:00,11,83,58,222,6,0
2019-03-21,11:00,12,76,88,218,7,0
2019-03-21,12:00,13,73,91,209,7,0
2019-03-21,13:00,13,74,114,205,8,0
2019-03-21,14:00,13,76,113,207,8,0
2019-03-21,15:00,12,76,99,211,8,0
2019-03-21,16:00,12,75,66,211,8,0
2019-03-21,17:00,12,77,43,202,8,0
2019-03-21,18:00,10,88,19,188,7,0
