Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Friday 26/04/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-04-26,01:00,8,94,0,223,7,1.3
2019-04-26,02:00,8,93,0,237,8,1.2
2019-04-26,03:00,9,91,0,258,9,0.7
2019-04-26,04:00,8,88,0,271,11,0.3
2019-04-26,05:00,8,88,0,275,11,0
2019-04-26,06:00,8,87,2,274,10,0
2019-04-26,07:00,8,86,17,268,10,0
2019-04-26,08:00,8,82,38,259,9,0
2019-04-26,09:00,9,72,70,258,10,0
2019-04-26,10:00,8,64,82,241,11,0
2019-04-26,11:00,9,58,114,234,12,0
2019-04-26,12:00,9,63,124,215,13,0
2019-04-26,13:00,9,73,58,201,14,0.3
2019-04-26,14:00,9,86,46,171,13,0.6
2019-04-26,15:00,9,85,58,224,20,0.8
2019-04-26,16:00,11,58,150,223,19,0.1
2019-04-26,17:00,9,65,106,219,19,0.1
2019-04-26,18:00,8,66,87,227,23,0.1
2019-04-26,19:00,7,72,43,234,24,0.1
2019-04-26,20:00,6,81,3,244,24,0.9
2019-04-26,21:00,5,88,0,263,26,1.6
2019-04-26,22:00,5,87,0,277,24,1.7
2019-04-26,23:00,5,87,0,283,22,1.1
2019-04-27,00:00,5,82,0,288,21,0.6
2019-04-27,01:00,5,81,0,287,19,0.2
2019-04-27,02:00,5,79,0,287,18,0.1
2019-04-27,03:00,5,73,0,286,17,0
2019-04-27,04:00,5,71,0,285,17,0
2019-04-27,05:00,5,70,0,283,16,0
2019-04-27,06:00,5,74,6,279,16,0
2019-04-27,07:00,6,71,38,279,14,0
2019-04-27,08:00,7,66,88,285,17,0
2019-04-27,09:00,8,63,119,288,17,0
2019-04-27,10:00,8,58,166,288,17,0
2019-04-27,11:00,9,55,219,291,17,0.1
2019-04-27,12:00,10,53,241,292,17,0
2019-04-27,13:00,10,56,224,289,16,0
2019-04-27,14:00,9,59,143,286,14,0
2019-04-27,15:00,10,59,169,293,18,0
2019-04-27,16:00,10,57,155,293,16,0
2019-04-27,17:00,9,58,69,297,15,0
2019-04-27,18:00,9,64,43,294,12,0
2019-04-27,19:00,8,64,38,292,11,0
2019-04-27,20:00,8,66,6,291,9,0
2019-04-27,21:00,7,71,0,281,7,0
2019-04-27,22:00,7,72,0,271,6,0
2019-04-27,23:00,7,75,0,264,6,0
2019-04-28,00:00,7,79,0,246,5,0
2019-04-28,01:00,7,82,0,219,4,0
2019-04-28,02:00,7,84,0,199,4,0
2019-04-28,03:00,7,87,0,182,4,0.1
2019-04-28,04:00,7,90,0,160,5,0.3
2019-04-28,05:00,8,94,0,170,5,0.1
2019-04-28,06:00,8,94,1,188,4,0
2019-04-28,07:00,9,93,18,213,4,0
2019-04-28,08:00,10,92,32,232,4,0
2019-04-28,09:00,13,82,103,247,7,0
2019-04-28,10:00,13,79,84,247,8,0
2019-04-28,11:00,14,69,125,254,9,0
2019-04-28,12:00,16,58,191,261,11,0
2019-04-28,13:00,16,61,131,257,9,0
2019-04-28,14:00,17,60,171,253,9,0.2
2019-04-28,15:00,16,64,117,234,8,0
2019-04-28,16:00,16,65,180,228,9,0
2019-04-28,17:00,16,70,125,215,8,0.1
2019-04-28,18:00,14,77,81,202,7,0
2019-04-28,19:00,13,86,48,202,7,0
2019-04-28,20:00,11,94,8,207,7,0
2019-04-28,21:00,10,96,0,207,7,0
2019-04-28,22:00,9,97,0,195,6,0
2019-04-28,23:00,10,96,0,189,5,0
2019-04-29,00:00,10,95,0,195,5,0
2019-04-29,01:00,10,95,0,196,5,0
2019-04-29,02:00,10,96,0,180,5,0
2019-04-29,03:00,10,97,0,168,6,0
2019-04-29,04:00,10,98,0,166,6,0
2019-04-29,05:00,10,98,0,166,5,0
2019-04-29,06:00,10,98,2,173,6,0
2019-04-29,07:00,11,93,14,184,7,0.1
2019-04-29,08:00,12,88,58,187,7,0
2019-04-29,09:00,13,78,109,172,8,0.1
2019-04-29,10:00,12,89,38,164,10,0.4
2019-04-29,11:00,12,93,58,191,9,0.4
2019-04-29,12:00,13,76,139,194,10,0.1
2019-04-29,13:00,13,75,135,189,11,0.1
2019-04-29,14:00,13,79,130,184,11,0.1
2019-04-29,15:00,12,82,102,183,10,0
2019-04-29,16:00,12,84,55,182,9,0
2019-04-29,17:00,12,86,50,181,10,0
2019-04-29,18:00,11,89,32,174,9,0.1
