Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Thursday 03/08/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-08-03,01:00,14,85,0,199,10,0
2017-08-03,02:00,14,85,0,204,10,0.1
2017-08-03,03:00,14,87,0,212,10,0.3
2017-08-03,04:00,14,86,0,224,10,0
2017-08-03,05:00,13,87,0,228,10,0
2017-08-03,06:00,14,86,11,231,10,0
2017-08-03,07:00,14,84,45,223,10,0
2017-08-03,08:00,15,82,54,235,12,0
2017-08-03,09:00,16,80,75,241,11,0.1
2017-08-03,10:00,17,73,120,253,11,0
2017-08-03,11:00,18,67,160,254,11,0
2017-08-03,12:00,19,61,184,261,11,0.1
2017-08-03,13:00,19,61,128,255,10,0
2017-08-03,14:00,19,61,134,254,12,0
2017-08-03,15:00,19,62,125,261,11,0
2017-08-03,16:00,19,61,145,263,11,0
2017-08-03,17:00,19,61,132,260,11,0
2017-08-03,18:00,18,64,81,266,9,0
2017-08-03,19:00,17,68,56,263,9,0
2017-08-03,20:00,16,73,18,265,8,0
2017-08-03,21:00,15,79,0,264,8,0
2017-08-03,22:00,14,83,0,267,8,0
2017-08-03,23:00,14,85,0,267,8,0.1
2017-08-04,00:00,13,88,0,273,7,0.2
2017-08-04,01:00,13,90,0,280,7,0
2017-08-04,02:00,12,91,0,282,6,0
2017-08-04,03:00,12,93,0,279,6,0
2017-08-04,04:00,11,95,0,274,5,0
2017-08-04,05:00,11,96,0,276,5,0
2017-08-04,06:00,12,93,12,279,6,0
2017-08-04,07:00,13,85,45,299,9,0
2017-08-04,08:00,14,78,85,297,8,0
2017-08-04,09:00,15,70,144,287,7,0
2017-08-04,10:00,16,61,211,293,9,0
2017-08-04,11:00,17,55,225,293,9,0
2017-08-04,12:00,18,55,214,288,9,0.1
2017-08-04,13:00,17,55,186,286,8,0
2017-08-04,14:00,18,52,193,282,7,0.1
2017-08-04,15:00,18,51,187,280,7,0.2
2017-08-04,16:00,18,51,145,277,7,0.1
2017-08-04,17:00,18,53,111,281,7,0.1
2017-08-04,18:00,16,66,77,318,5,0.4
2017-08-04,19:00,15,75,39,6,3,0
2017-08-04,20:00,14,80,12,9,3,0.4
2017-08-04,21:00,13,88,0,329,3,0
2017-08-04,22:00,12,86,0,258,2,0
2017-08-04,23:00,12,87,0,255,4,0
2017-08-05,00:00,11,88,0,262,4,0
2017-08-05,01:00,10,90,0,258,4,0
2017-08-05,02:00,10,92,0,257,4,0
2017-08-05,03:00,10,93,0,264,4,0
2017-08-05,04:00,10,94,0,265,4,0.3
2017-08-05,05:00,10,94,0,265,5,0.3
2017-08-05,06:00,10,93,11,275,5,0.1
2017-08-05,07:00,11,87,48,289,8,0
2017-08-05,08:00,13,80,81,294,8,0.1
2017-08-05,09:00,13,74,110,299,8,0.2
2017-08-05,10:00,14,70,156,302,7,0.2
2017-08-05,11:00,15,66,188,301,7,0.1
2017-08-05,12:00,16,63,201,297,7,0.1
2017-08-05,13:00,16,60,204,299,7,0.2
2017-08-05,14:00,16,56,184,292,6,0
2017-08-05,15:00,17,53,176,277,7,0
2017-08-05,16:00,16,61,152,301,9,0
2017-08-05,17:00,16,63,94,292,6,0
2017-08-05,18:00,16,61,80,288,6,0
2017-08-05,19:00,15,65,46,290,5,0
2017-08-05,20:00,14,69,13,271,4,0
2017-08-05,21:00,12,74,0,255,4,0
2017-08-05,22:00,12,77,0,250,4,0
2017-08-05,23:00,11,81,0,245,5,0
2017-08-06,00:00,10,86,0,237,5,0
2017-08-06,01:00,10,88,0,235,5,0
2017-08-06,02:00,9,92,0,223,5,0
2017-08-06,03:00,9,93,0,225,6,0
2017-08-06,04:00,9,94,0,221,5,0
2017-08-06,05:00,9,94,0,217,6,0
2017-08-06,06:00,10,91,11,215,6,0
2017-08-06,07:00,11,84,34,211,6,0
2017-08-06,08:00,12,82,34,203,6,0
2017-08-06,09:00,12,82,29,191,7,0.1
2017-08-06,10:00,13,84,37,189,7,0.6
2017-08-06,11:00,14,84,38,194,8,0
2017-08-06,12:00,14,84,34,201,9,0
2017-08-06,13:00,16,79,55,209,9,0
2017-08-06,14:00,16,80,40,234,9,0.1
2017-08-06,15:00,16,82,24,252,7,0
2017-08-06,16:00,15,83,26,247,6,0.1
2017-08-06,17:00,15,83,27,246,7,0.1
2017-08-06,18:00,15,84,11,240,7,0.1
