Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Tuesday 15/08/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-08-15,01:00,11,95,0,242,6,0
2017-08-15,02:00,11,96,0,237,6,0
2017-08-15,03:00,11,96,0,232,6,0
2017-08-15,04:00,10,97,0,234,5,0
2017-08-15,05:00,10,97,0,233,5,0
2017-08-15,06:00,10,96,7,232,6,0
2017-08-15,07:00,12,94,41,233,6,0
2017-08-15,08:00,13,84,94,251,9,0
2017-08-15,09:00,14,79,129,252,8,0
2017-08-15,10:00,15,71,169,255,9,0.2
2017-08-15,11:00,16,65,192,255,9,0.1
2017-08-15,12:00,17,60,224,256,9,0
2017-08-15,13:00,18,54,220,260,9,0
2017-08-15,14:00,18,56,179,262,10,0
2017-08-15,15:00,18,53,190,254,9,0.1
2017-08-15,16:00,18,58,114,253,8,0.1
2017-08-15,17:00,18,58,116,255,6,0
2017-08-15,18:00,17,59,97,249,4,0
2017-08-15,19:00,16,73,40,231,2,0
2017-08-15,20:00,13,80,7,200,3,0
2017-08-15,21:00,13,81,0,189,4,0
2017-08-15,22:00,13,90,0,187,6,0
2017-08-15,23:00,13,89,0,199,7,0
2017-08-16,00:00,12,88,0,203,7,0
2017-08-16,01:00,12,87,0,198,7,0
2017-08-16,02:00,12,86,0,185,7,0
2017-08-16,03:00,13,85,0,182,8,0
2017-08-16,04:00,13,83,0,180,10,0
2017-08-16,05:00,14,79,0,178,11,0
2017-08-16,06:00,13,85,1,171,12,0.2
2017-08-16,07:00,14,88,5,174,13,0
2017-08-16,08:00,15,88,24,176,14,0.9
2017-08-16,09:00,15,90,15,176,13,0
2017-08-16,10:00,15,90,16,178,13,0.1
2017-08-16,11:00,16,86,35,182,14,0
2017-08-16,12:00,16,84,47,187,17,0
2017-08-16,13:00,16,86,37,183,15,0.1
2017-08-16,14:00,16,92,37,177,12,0.5
2017-08-16,15:00,16,91,46,183,16,0
2017-08-16,16:00,16,93,24,181,14,0
2017-08-16,17:00,16,95,21,183,11,0
2017-08-16,18:00,16,94,32,199,10,0
2017-08-16,19:00,16,98,9,208,8,0.2
2017-08-16,20:00,16,96,1,201,7,0.1
2017-08-16,21:00,16,97,0,209,7,0
2017-08-16,22:00,16,94,0,211,7,0.1
2017-08-16,23:00,15,96,0,227,8,0.1
2017-08-17,00:00,15,97,0,228,6,0
2017-08-17,01:00,15,96,0,237,6,0
2017-08-17,02:00,14,96,0,238,7,0
2017-08-17,03:00,13,95,0,228,6,0
2017-08-17,04:00,12,96,0,216,7,0
2017-08-17,05:00,12,96,0,209,6,0
2017-08-17,06:00,12,96,6,198,6,0
2017-08-17,07:00,13,94,42,193,7,0
2017-08-17,08:00,15,87,75,199,9,0.1
2017-08-17,09:00,16,81,92,211,9,0.1
2017-08-17,10:00,17,74,150,217,10,0.1
2017-08-17,11:00,18,78,173,207,9,0
2017-08-17,12:00,19,79,175,209,9,0.1
2017-08-17,13:00,19,69,218,239,11,0.1
2017-08-17,14:00,18,58,160,248,11,0
2017-08-17,15:00,19,54,217,246,11,0
2017-08-17,16:00,19,54,153,240,10,0
2017-08-17,17:00,18,58,92,237,9,0
2017-08-17,18:00,17,65,42,222,6,0
2017-08-17,19:00,16,72,33,185,7,0
2017-08-17,20:00,15,77,4,187,9,0
2017-08-17,21:00,14,85,0,189,9,0
2017-08-17,22:00,14,88,0,198,8,0.1
2017-08-17,23:00,13,92,0,223,8,1.3
2017-08-18,00:00,13,92,0,230,9,0.1
2017-08-18,01:00,12,92,0,243,10,0
2017-08-18,02:00,12,89,0,263,11,0
2017-08-18,03:00,11,88,0,264,10,0
2017-08-18,04:00,11,89,0,258,9,0
2017-08-18,05:00,11,88,0,250,9,0
2017-08-18,06:00,11,88,5,245,10,0
2017-08-18,07:00,11,86,33,244,9,0
2017-08-18,08:00,12,82,62,253,12,0.1
2017-08-18,09:00,12,78,102,261,13,0.1
2017-08-18,10:00,14,78,139,262,11,0
2017-08-18,11:00,14,77,170,266,12,0.1
2017-08-18,12:00,15,62,217,265,13,0
2017-08-18,13:00,15,55,210,272,13,0
2017-08-18,14:00,16,53,204,273,13,0
2017-08-18,15:00,16,58,183,270,13,0
2017-08-18,16:00,15,67,127,274,12,0
2017-08-18,17:00,15,64,91,276,13,0
2017-08-18,18:00,14,69,50,279,11,0
