Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Sunday 12/11/2017
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-11-12,01:00,4,95,0,330,7,0
2017-11-12,02:00,4,93,0,320,7,0
2017-11-12,03:00,5,90,0,314,8,0
2017-11-12,04:00,5,88,0,308,9,0
2017-11-12,05:00,5,87,0,305,10,0
2017-11-12,06:00,5,84,0,306,10,0
2017-11-12,07:00,5,81,0,312,11,0
2017-11-12,08:00,5,78,0,315,12,0
2017-11-12,09:00,6,75,15,322,13,0
2017-11-12,10:00,6,72,40,327,14,0
2017-11-12,11:00,7,66,86,324,14,0
2017-11-12,12:00,7,61,102,331,15,0
2017-11-12,13:00,8,58,110,331,13,0
2017-11-12,14:00,8,55,98,329,12,0
2017-11-12,15:00,8,56,71,336,11,0
2017-11-12,16:00,7,60,33,335,9,0
2017-11-12,17:00,6,60,3,335,8,0
2017-11-12,18:00,5,63,0,333,8,0
2017-11-12,19:00,5,66,0,337,8,0
2017-11-12,20:00,4,68,0,334,7,0
2017-11-12,21:00,4,72,0,334,7,0
2017-11-12,22:00,3,76,0,333,6,0
2017-11-12,23:00,3,79,0,330,5,0
2017-11-13,00:00,2,80,0,328,5,0
2017-11-13,01:00,2,83,0,328,4,0
2017-11-13,02:00,1,86,0,337,3,0
2017-11-13,03:00,0,88,0,332,3,0
2017-11-13,04:00,-1,90,0,335,4,0
2017-11-13,05:00,1,83,0,300,3,0
2017-11-13,06:00,-1,90,0,248,2,0
2017-11-13,07:00,0,92,0,229,2,0
2017-11-13,08:00,1,87,0,221,4,0
2017-11-13,09:00,2,84,12,226,5,0
2017-11-13,10:00,3,79,19,222,4,0
2017-11-13,11:00,5,74,42,227,5,0
2017-11-13,12:00,6,68,82,227,5,0
2017-11-13,13:00,7,64,56,219,5,0
2017-11-13,14:00,7,66,20,209,6,0
2017-11-13,15:00,7,66,25,214,7,0
2017-11-13,16:00,7,66,12,219,7,0
2017-11-13,17:00,7,74,0,219,8,0.3
2017-11-13,18:00,7,76,0,218,7,0
2017-11-13,19:00,6,78,0,220,7,0
2017-11-13,20:00,6,81,0,224,7,0
2017-11-13,21:00,7,81,0,229,8,0.1
2017-11-13,22:00,7,84,0,230,8,0.1
2017-11-13,23:00,7,86,0,229,8,0.1
2017-11-14,00:00,7,89,0,224,8,0.9
2017-11-14,01:00,7,90,0,223,8,0
2017-11-14,02:00,8,91,0,228,8,0
2017-11-14,03:00,8,91,0,229,8,0
2017-11-14,04:00,9,92,0,225,8,0
2017-11-14,05:00,9,93,0,229,7,0
2017-11-14,06:00,9,94,0,226,7,0
2017-11-14,07:00,9,95,0,225,6,0
2017-11-14,08:00,9,97,0,227,6,0
2017-11-14,09:00,10,97,5,230,7,0
2017-11-14,10:00,10,96,12,228,7,0
2017-11-14,11:00,11,91,26,232,8,0
2017-11-14,12:00,11,90,30,237,9,0
2017-11-14,13:00,12,86,40,251,10,0
2017-11-14,14:00,12,86,30,254,7,0
2017-11-14,15:00,12,87,36,255,5,0
2017-11-14,16:00,11,89,15,253,4,0
2017-11-14,17:00,10,94,1,253,3,0
2017-11-14,18:00,10,95,0,236,2,0
2017-11-14,19:00,10,96,0,216,2,0
2017-11-14,20:00,9,98,0,202,2,0.1
2017-11-14,21:00,10,98,0,174,1,0.1
2017-11-14,22:00,10,97,0,191,3,0
2017-11-14,23:00,10,96,0,209,4,0
2017-11-15,00:00,10,95,0,220,4,0
2017-11-15,01:00,10,96,0,220,4,0
2017-11-15,02:00,10,97,0,217,5,0
2017-11-15,03:00,9,98,0,218,4,0
2017-11-15,04:00,9,99,0,228,4,0
2017-11-15,05:00,9,99,0,221,4,0
2017-11-15,06:00,9,99,0,213,3,0
2017-11-15,07:00,9,99,0,186,2,0
2017-11-15,08:00,9,99,0,184,3,0
2017-11-15,09:00,10,98,7,206,5,0
2017-11-15,10:00,10,94,30,209,4,0
2017-11-15,11:00,11,87,49,193,4,0
2017-11-15,12:00,12,85,48,190,5,0
2017-11-15,13:00,11,86,28,188,6,0
2017-11-15,14:00,12,88,25,190,7,0
2017-11-15,15:00,12,89,28,193,6,0
2017-11-15,16:00,11,92,16,178,6,0
2017-11-15,17:00,10,94,1,185,6,0
2017-11-15,18:00,10,96,0,185,6,0
