Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Friday 30/11/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-11-30,01:00,6,83,0,232,11,0
2018-11-30,02:00,6,82,0,231,11,0
2018-11-30,03:00,6,80,0,231,11,0
2018-11-30,04:00,6,82,0,234,11,0
2018-11-30,05:00,6,83,0,238,11,0
2018-11-30,06:00,6,84,0,241,11,0
2018-11-30,07:00,6,84,0,241,11,0
2018-11-30,08:00,6,82,0,242,11,0
2018-11-30,09:00,6,81,4,238,11,0
2018-11-30,10:00,6,80,30,240,11,0
2018-11-30,11:00,7,78,42,226,9,0
2018-11-30,12:00,8,74,78,236,12,0
2018-11-30,13:00,8,76,64,240,12,0.1
2018-11-30,14:00,8,75,45,249,13,0.1
2018-11-30,15:00,7,75,33,246,10,0
2018-11-30,16:00,6,76,10,243,8,0
2018-11-30,17:00,6,76,0,234,8,0
2018-11-30,18:00,6,77,0,229,8,0
2018-11-30,19:00,5,80,0,218,6,0
2018-11-30,20:00,6,78,0,215,6,0
2018-11-30,21:00,5,81,0,199,6,0
2018-11-30,22:00,5,81,0,192,6,0
2018-11-30,23:00,6,80,0,185,6,0
2018-12-01,00:00,6,84,0,173,6,0.4
2018-12-01,01:00,6,90,0,177,7,1.3
2018-12-01,02:00,6,93,0,111,5,1.2
2018-12-01,03:00,6,95,0,77,8,1.3
2018-12-01,04:00,7,93,0,86,8,1
2018-12-01,05:00,8,94,0,84,8,0.8
2018-12-01,06:00,9,95,0,93,7,0.2
2018-12-01,07:00,9,96,0,102,4,0
2018-12-01,08:00,8,97,0,97,0,0
2018-12-01,09:00,9,97,1,308,3,0
2018-12-01,10:00,8,95,11,311,4,0
2018-12-01,11:00,8,94,23,307,5,0
2018-12-01,12:00,9,93,53,310,4,0
2018-12-01,13:00,9,91,57,311,5,0
2018-12-01,14:00,9,90,24,343,6,0
2018-12-01,15:00,9,91,24,312,2,0
2018-12-01,16:00,8,95,7,300,2,0
2018-12-01,17:00,7,97,0,330,2,0
2018-12-01,18:00,7,99,0,228,1,0
2018-12-01,19:00,5,100,0,238,2,0.2
2018-12-01,20:00,6,100,0,168,2,0.2
2018-12-01,21:00,7,98,0,148,3,0.3
2018-12-01,22:00,8,97,0,141,5,1
2018-12-01,23:00,8,98,0,123,4,1
2018-12-02,00:00,8,98,0,150,3,0.1
2018-12-02,01:00,8,98,0,151,4,0.1
2018-12-02,02:00,8,97,0,169,5,0.4
2018-12-02,03:00,9,97,0,192,7,0.1
2018-12-02,04:00,10,94,0,223,9,0
2018-12-02,05:00,10,93,0,230,10,0
2018-12-02,06:00,11,91,0,229,10,0
2018-12-02,07:00,11,90,0,228,12,0.1
2018-12-02,08:00,11,90,0,230,11,0
2018-12-02,09:00,10,93,3,215,9,0
2018-12-02,10:00,11,92,23,214,10,0
2018-12-02,11:00,12,90,51,209,10,0
2018-12-02,12:00,12,89,47,215,11,0
2018-12-02,13:00,13,86,55,221,12,0
2018-12-02,14:00,13,84,48,227,12,0.1
2018-12-02,15:00,12,88,29,232,13,1.1
2018-12-02,16:00,11,89,7,235,13,0.8
2018-12-02,17:00,10,88,0,241,13,0.1
2018-12-02,18:00,10,89,0,238,12,0
2018-12-02,19:00,10,89,0,236,12,0
2018-12-02,20:00,9,89,0,235,12,0
2018-12-02,21:00,9,89,0,237,12,0
2018-12-02,22:00,9,88,0,239,12,0
2018-12-02,23:00,9,91,0,242,11,0.1
2018-12-03,00:00,9,92,0,234,9,0.1
2018-12-03,01:00,9,91,0,243,9,0.2
2018-12-03,02:00,9,93,0,257,7,0.4
2018-12-03,03:00,8,92,0,257,6,0.1
2018-12-03,04:00,8,94,0,257,5,0
2018-12-03,05:00,8,95,0,276,4,0
2018-12-03,06:00,7,96,0,279,4,0
2018-12-03,07:00,7,94,0,276,5,0
2018-12-03,08:00,7,89,0,287,5,0.5
2018-12-03,09:00,6,82,1,280,6,0.3
2018-12-03,10:00,6,83,9,278,7,0.2
2018-12-03,11:00,7,84,21,293,8,0.1
2018-12-03,12:00,7,81,77,292,9,0
2018-12-03,13:00,7,78,83,293,10,0
2018-12-03,14:00,7,76,72,295,11,0
2018-12-03,15:00,7,76,46,297,10,0
2018-12-03,16:00,6,79,16,289,8,0
2018-12-03,17:00,6,81,0,284,7,0
2018-12-03,18:00,5,82,0,284,7,0
