Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Saturday 15/12/2018
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-12-15,01:00,8,94,0,138,14,0.6
2018-12-15,02:00,8,94,0,138,14,0.4
2018-12-15,03:00,8,94,0,137,15,0.3
2018-12-15,04:00,8,94,0,133,15,0.4
2018-12-15,05:00,8,94,0,134,15,0.6
2018-12-15,06:00,8,94,0,136,16,0.7
2018-12-15,07:00,9,94,0,139,16,0.6
2018-12-15,08:00,10,94,0,142,15,0.5
2018-12-15,09:00,10,96,0,142,12,0.6
2018-12-15,10:00,10,96,4,136,13,1.8
2018-12-15,11:00,10,96,7,135,13,2.3
2018-12-15,12:00,11,95,12,152,15,2.2
2018-12-15,13:00,12,95,18,166,12,0.6
2018-12-15,14:00,12,94,14,160,14,3.2
2018-12-15,15:00,11,94,2,166,14,2.3
2018-12-15,16:00,11,86,3,164,14,0.4
2018-12-15,17:00,9,93,0,197,9,1.2
2018-12-15,18:00,7,90,0,264,23,0.5
2018-12-15,19:00,5,91,0,268,21,1
2018-12-15,20:00,5,87,0,265,17,0.7
2018-12-15,21:00,6,84,0,255,15,0.1
2018-12-15,22:00,6,81,0,247,14,0
2018-12-15,23:00,5,82,0,242,13,0
2018-12-16,00:00,5,82,0,239,12,0
2018-12-16,01:00,5,84,0,231,10,0
2018-12-16,02:00,4,86,0,226,9,0
2018-12-16,03:00,4,90,0,217,8,0
2018-12-16,04:00,3,92,0,211,8,0
2018-12-16,05:00,3,92,0,203,7,0
2018-12-16,06:00,3,92,0,196,6,0
2018-12-16,07:00,3,92,0,198,6,0
2018-12-16,08:00,3,93,0,187,5,0
2018-12-16,09:00,5,90,1,181,7,0
2018-12-16,10:00,6,89,11,183,7,0
2018-12-16,11:00,6,88,35,194,6,0
2018-12-16,12:00,7,86,53,202,6,0
2018-12-16,13:00,7,83,63,232,8,0
2018-12-16,14:00,7,83,56,237,7,0
2018-12-16,15:00,6,85,38,233,6,0
2018-12-16,16:00,5,91,13,221,5,0
2018-12-16,17:00,4,92,0,214,6,0
2018-12-16,18:00,4,92,0,222,6,0
2018-12-16,19:00,4,93,0,226,6,0
2018-12-16,20:00,4,93,0,226,7,0
2018-12-16,21:00,4,92,0,227,7,0
2018-12-16,22:00,3,93,0,225,7,0
2018-12-16,23:00,3,93,0,228,8,0
2018-12-17,00:00,3,93,0,227,7,0
2018-12-17,01:00,3,93,0,221,7,0
2018-12-17,02:00,3,93,0,218,7,0
2018-12-17,03:00,2,93,0,207,6,0
2018-12-17,04:00,3,92,0,202,7,0
2018-12-17,05:00,3,92,0,191,7,0
2018-12-17,06:00,5,92,0,188,8,0
2018-12-17,07:00,6,90,0,185,9,0
2018-12-17,08:00,7,88,0,182,11,0
2018-12-17,09:00,8,87,1,178,12,0
2018-12-17,10:00,9,87,11,181,13,0.1
2018-12-17,11:00,10,87,16,182,14,0
2018-12-17,12:00,10,86,29,180,14,0
2018-12-17,13:00,10,85,38,185,16,0.1
2018-12-17,14:00,10,86,12,186,16,0.1
2018-12-17,15:00,10,88,12,184,17,0.4
2018-12-17,16:00,11,87,4,189,18,0.5
2018-12-17,17:00,11,89,0,187,18,0
2018-12-17,18:00,11,86,0,186,18,0.1
2018-12-17,19:00,11,86,0,187,19,0.3
2018-12-17,20:00,11,88,0,188,19,0.1
2018-12-17,21:00,11,89,0,188,19,0.4
2018-12-17,22:00,11,91,0,185,20,0.6
2018-12-17,23:00,11,89,0,186,20,1.1
2018-12-18,00:00,11,89,0,186,20,1.2
2018-12-18,01:00,11,91,0,182,20,0.9
2018-12-18,02:00,11,90,0,186,20,1.2
2018-12-18,03:00,11,91,0,182,20,1.7
2018-12-18,04:00,11,90,0,177,20,2
2018-12-18,05:00,11,90,0,175,20,2.1
2018-12-18,06:00,11,91,0,173,21,2
2018-12-18,07:00,11,91,0,174,20,2.3
2018-12-18,08:00,11,92,0,170,19,2.3
2018-12-18,09:00,11,91,0,173,19,3.5
2018-12-18,10:00,11,91,1,179,15,5.6
2018-12-18,11:00,11,92,2,186,15,6.4
2018-12-18,12:00,9,95,3,265,6,5
2018-12-18,13:00,6,94,7,338,8,2.2
2018-12-18,14:00,6,95,5,306,5,1.2
2018-12-18,15:00,6,92,2,288,6,0.8
2018-12-18,16:00,6,91,2,263,3,0.3
2018-12-18,17:00,6,94,0,211,4,0.1
2018-12-18,18:00,5,93,0,215,5,0
