Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Monday 02/09/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-02,01:00,10,95,0,231,6,0
2019-09-02,02:00,10,95,0,230,6,0
2019-09-02,03:00,10,95,0,227,6,0
2019-09-02,04:00,10,96,0,226,6,0
2019-09-02,05:00,10,96,0,229,7,0
2019-09-02,06:00,11,92,0,229,7,0
2019-09-02,07:00,12,90,12,224,8,0
2019-09-02,08:00,13,87,25,225,8,0
2019-09-02,09:00,14,81,61,243,11,0
2019-09-02,10:00,16,72,106,244,11,0
2019-09-02,11:00,16,76,67,239,11,0
2019-09-02,12:00,16,72,71,249,13,0.1
2019-09-02,13:00,16,78,46,240,8,0.2
2019-09-02,14:00,16,74,83,245,11,0.1
2019-09-02,15:00,16,76,51,243,9,0
2019-09-02,16:00,16,76,68,251,10,0
2019-09-02,17:00,16,72,86,257,9,0
2019-09-02,18:00,16,73,41,255,9,0
2019-09-02,19:00,15,78,15,251,8,0
2019-09-02,20:00,14,81,0,251,8,0
2019-09-02,21:00,14,82,0,243,8,0
2019-09-02,22:00,14,80,0,243,8,0
2019-09-02,23:00,14,80,0,239,8,0
2019-09-03,00:00,14,81,0,228,8,0
2019-09-03,01:00,12,89,0,220,7,0
2019-09-03,02:00,13,87,0,218,8,0
2019-09-03,03:00,12,89,0,217,8,0
2019-09-03,04:00,13,88,0,217,8,0
2019-09-03,05:00,13,89,0,217,8,0.3
2019-09-03,06:00,14,89,0,218,9,0.1
2019-09-03,07:00,14,88,9,217,9,0
2019-09-03,08:00,15,86,34,213,8,0
2019-09-03,09:00,16,82,106,222,10,0
2019-09-03,10:00,18,79,141,231,11,0
2019-09-03,11:00,19,74,119,232,12,0.1
2019-09-03,12:00,19,72,100,230,11,0
2019-09-03,13:00,20,70,179,227,12,0.1
2019-09-03,14:00,18,82,68,221,11,0.1
2019-09-03,15:00,18,85,50,225,9,0.1
2019-09-03,16:00,18,88,36,234,9,0.7
2019-09-03,17:00,17,90,16,233,8,0.1
2019-09-03,18:00,17,88,19,237,7,0.1
2019-09-03,19:00,17,88,4,240,8,0
2019-09-03,20:00,16,89,0,239,8,0
2019-09-03,21:00,16,91,0,261,11,0.3
2019-09-03,22:00,15,88,0,274,10,0.1
2019-09-03,23:00,13,91,0,276,10,0
2019-09-04,00:00,12,87,0,279,9,0
2019-09-04,01:00,12,87,0,275,9,0
2019-09-04,02:00,11,89,0,267,8,0
2019-09-04,03:00,10,89,0,255,8,0
2019-09-04,04:00,10,90,0,249,8,0
2019-09-04,05:00,10,90,0,244,9,0
2019-09-04,06:00,10,90,0,243,9,0
2019-09-04,07:00,11,87,20,249,10,0
2019-09-04,08:00,12,82,63,264,11,0
2019-09-04,09:00,13,75,97,253,11,0
2019-09-04,10:00,14,68,127,282,16,0
2019-09-04,11:00,14,70,93,300,13,0
2019-09-04,12:00,16,64,202,308,14,0.1
2019-09-04,13:00,16,63,185,312,14,0
2019-09-04,14:00,15,60,188,316,15,0
2019-09-04,15:00,15,60,145,321,15,0
2019-09-04,16:00,15,60,149,321,14,0
2019-09-04,17:00,14,60,101,320,13,0
2019-09-04,18:00,13,59,59,323,13,0
2019-09-04,19:00,12,59,18,323,11,0
2019-09-04,20:00,12,59,0,324,11,0
2019-09-04,21:00,11,62,0,321,10,0
2019-09-04,22:00,10,66,0,319,8,0
2019-09-04,23:00,10,71,0,310,7,0
2019-09-05,00:00,10,77,0,297,7,0
2019-09-05,01:00,9,81,0,297,7,0
2019-09-05,02:00,9,83,0,295,7,0
2019-09-05,03:00,9,83,0,292,8,0
2019-09-05,04:00,9,84,0,289,7,0
2019-09-05,05:00,9,86,0,289,7,0
2019-09-05,06:00,9,86,0,289,6,0
2019-09-05,07:00,10,82,20,285,6,0
2019-09-05,08:00,11,78,55,276,6,0
2019-09-05,09:00,12,74,100,273,7,0
2019-09-05,10:00,14,65,171,292,11,0
2019-09-05,11:00,15,58,169,293,12,0
2019-09-05,12:00,16,59,122,283,12,0
2019-09-05,13:00,16,54,134,288,12,0
2019-09-05,14:00,18,49,216,293,12,0
2019-09-05,15:00,17,54,183,285,11,0
2019-09-05,16:00,17,56,152,279,10,0
2019-09-05,17:00,16,58,87,273,9,0
2019-09-05,18:00,15,62,37,265,8,0
