Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Wednesday 06/11/2019
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 1 hour); [Joules/cm2/1-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-11-06,01:00,5,93,0,276,3,0
2019-11-06,02:00,4,95,0,276,3,0
2019-11-06,03:00,3,97,0,266,3,0
2019-11-06,04:00,2,98,0,234,3,0
2019-11-06,05:00,3,97,0,227,2,0
2019-11-06,06:00,3,98,0,220,2,0
2019-11-06,07:00,3,98,0,222,2,0
2019-11-06,08:00,4,98,1,222,3,0.2
2019-11-06,09:00,4,97,4,202,3,0.4
2019-11-06,10:00,5,94,37,186,3,0.1
2019-11-06,11:00,7,90,47,184,5,0
2019-11-06,12:00,7,86,45,177,5,0
2019-11-06,13:00,7,84,34,175,6,0
2019-11-06,14:00,7,86,24,157,5,0.3
2019-11-06,15:00,7,90,9,166,6,2
2019-11-06,16:00,7,91,7,147,6,1.9
2019-11-06,17:00,7,92,1,180,7,0.2
2019-11-06,18:00,7,91,0,259,7,0
2019-11-06,19:00,6,89,0,277,7,0
2019-11-06,20:00,5,91,0,274,7,0
2019-11-06,21:00,5,92,0,265,6,0
2019-11-06,22:00,4,93,0,254,5,0
2019-11-06,23:00,4,95,0,228,5,0
2019-11-07,00:00,4,95,0,234,6,0
2019-11-07,01:00,4,95,0,233,6,0
2019-11-07,02:00,3,95,0,216,4,0
2019-11-07,03:00,2,96,0,198,4,0
2019-11-07,04:00,3,95,0,112,1,0
2019-11-07,05:00,4,95,0,63,2,0
2019-11-07,06:00,4,96,0,21,3,0
2019-11-07,07:00,4,95,0,348,5,0
2019-11-07,08:00,4,96,1,354,8,0
2019-11-07,09:00,4,94,13,353,9,0.1
2019-11-07,10:00,4,95,26,346,9,0.4
2019-11-07,11:00,5,99,28,336,10,0.6
2019-11-07,12:00,5,97,14,348,12,0.4
2019-11-07,13:00,6,92,45,357,12,0.3
2019-11-07,14:00,6,92,35,2,12,0.5
2019-11-07,15:00,6,92,21,0,11,0.4
2019-11-07,16:00,6,92,10,353,12,0.3
2019-11-07,17:00,6,90,1,346,12,0.1
2019-11-07,18:00,6,90,0,349,12,0
2019-11-07,19:00,6,92,0,349,11,0
2019-11-07,20:00,5,92,0,346,11,0
2019-11-07,21:00,5,92,0,347,11,0
2019-11-07,22:00,5,90,0,351,11,0
2019-11-07,23:00,5,92,0,354,11,0
2019-11-08,00:00,5,92,0,351,10,0
2019-11-08,01:00,4,92,0,349,10,0
2019-11-08,02:00,4,92,0,350,10,0
2019-11-08,03:00,4,92,0,347,10,0
2019-11-08,04:00,4,91,0,350,10,0
2019-11-08,05:00,3,92,0,350,9,0
2019-11-08,06:00,2,92,0,350,8,0
2019-11-08,07:00,2,92,0,349,8,0
2019-11-08,08:00,2,92,1,347,7,0
2019-11-08,09:00,3,90,26,347,7,0
2019-11-08,10:00,4,85,66,349,6,0
2019-11-08,11:00,5,81,98,353,6,0
2019-11-08,12:00,6,78,118,358,4,0
2019-11-08,13:00,7,74,121,344,4,0
2019-11-08,14:00,7,70,107,331,3,0
2019-11-08,15:00,7,71,79,341,3,0
2019-11-08,16:00,6,72,41,342,2,0
2019-11-08,17:00,6,75,6,333,1,0
2019-11-08,18:00,5,79,0,167,2,0
2019-11-08,19:00,1,90,0,170,3,0
2019-11-08,20:00,1,90,0,186,3,0
2019-11-08,21:00,1,89,0,165,5,0
2019-11-08,22:00,2,88,0,171,6,0
2019-11-08,23:00,2,90,0,162,7,0
2019-11-09,00:00,3,91,0,168,6,0
2019-11-09,01:00,3,89,0,156,7,0
2019-11-09,02:00,4,84,0,154,8,0.1
2019-11-09,03:00,6,81,0,158,9,0.7
2019-11-09,04:00,6,85,0,168,10,0.2
2019-11-09,05:00,7,88,0,183,10,1.1
2019-11-09,06:00,7,89,0,173,10,1.6
2019-11-09,07:00,7,93,0,185,7,1.6
2019-11-09,08:00,7,94,0,249,5,2.8
2019-11-09,09:00,7,90,3,303,9,0.8
2019-11-09,10:00,7,90,53,293,8,0
2019-11-09,11:00,8,85,89,306,11,0
2019-11-09,12:00,8,81,87,312,11,0
2019-11-09,13:00,8,77,94,312,10,0.1
2019-11-09,14:00,8,78,86,314,12,0
2019-11-09,15:00,8,81,58,315,10,0
2019-11-09,16:00,7,82,29,309,9,0
2019-11-09,17:00,6,86,4,305,7,0
2019-11-09,18:00,5,87,0,297,7,0
