Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Friday 16/02/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-02-16,06:00,1,82,0,205,8,0
2018-02-16,09:00,2,78,17,200,9,0
2018-02-16,12:00,7,68,215,190,10,0
2018-02-16,15:00,8,57,279,195,15,0
2018-02-16,18:00,6,75,78,190,13,0
2018-02-16,21:00,5,93,0,195,10,1.1
2018-02-17,00:00,4,95,0,220,7,0.4
2018-02-17,03:00,2,95,0,225,7,0
2018-02-17,06:00,2,95,0,220,7,0
2018-02-17,09:00,2,93,23,235,7,0
2018-02-17,12:00,7,76,281,235,7,0
2018-02-17,15:00,8,66,300,235,8,0
2018-02-17,18:00,6,78,73,205,4,0
2018-02-17,21:00,5,88,0,175,7,0
2018-02-18,00:00,6,89,0,175,8,0.7
2018-02-18,03:00,7,95,0,190,10,0.3
2018-02-18,06:00,8,97,0,205,8,0.6
2018-02-18,09:00,9,98,4,225,7,1
2018-02-18,12:00,10,97,33,240,8,1.5
2018-02-18,15:00,10,97,28,255,9,1
2018-02-18,18:00,10,96,16,260,8,0.1
2018-02-18,21:00,10,95,0,265,8,0
2018-02-19,00:00,9,97,0,260,7,0
2018-02-19,03:00,9,98,0,265,7,0
2018-02-19,06:00,9,98,0,270,5,0
2018-02-19,09:00,9,95,10,270,6,0
2018-02-19,12:00,11,84,137,285,7,0.1
2018-02-19,15:00,11,87,138,285,6,0
2018-02-19,18:00,9,95,24,275,4,0
2018-02-19,21:00,8,97,0,235,3,0
2018-02-20,00:00,8,98,0,250,4,0.2
2018-02-20,03:00,8,100,0,305,6,0.8
2018-02-20,06:00,6,93,0,335,12,3.4
2018-02-20,09:00,6,93,5,350,9,3.1
2018-02-20,12:00,6,90,60,5,8,1.8
2018-02-20,15:00,6,86,104,75,8,0.3
2018-02-20,18:00,4,85,47,60,6,0
2018-02-20,21:00,3,84,0,45,4,0
2018-02-21,00:00,3,83,0,30,3,0
